股票代码,股票名称,涨幅
300378.SZ,鼎捷数智,19.99%
688209.SH,英集芯,19.98%
301076.SZ,新瀚新材,10.60%
688205.SH,德科立,10.41%
600815.SH,厦工股份,10.12%
600691.SH,潞化科技,10.11%
300319.SZ,麦捷科技,10.11%
000912.SZ,泸天化,10.10%
600227.SH,赤天化,10.10%
000059.SZ,华锦股份,10.08%
600162.SH,香江控股,10.06%
601003.SH,柳钢股份,10.05%
000567.SZ,海德股份,10.05%
002349.SZ,精华制药,10.04%
605188.SH,国光连锁,10.04%
603007.SH,顺景科技,10.04%
002915.SZ,中欣氟材,10.03%
002229.SZ,鸿博股份,10.03%
601086.SH,国芳集团,10.03%
002631.SZ,德尔未来,10.02%
603269.SH,海鸥股份,10.02%
600929.SH,雪天盐业,10.02%
002396.SZ,星网锐捷,10.01%
600722.SH,金牛化工,10.01%
603082.SH,北自科技,10.01%
001288.SZ,运机集团,10.01%
600714.SH,金瑞矿业,10.01%
600378.SH,昊华科技,10.01%
000062.SZ,深圳华强,10.00%
000560.SZ,我爱我家,10.00%
002971.SZ,和远气体,10.00%
600251.SH,冠农股份,10.00%
002212.SZ,天融信,10.00%
603396.SH,金辰股份,10.00%
002886.SZ,沃特股份,10.00%
002918.SZ,蒙娜丽莎,10.00%
603171.SH,税友股份,10.00%
603016.SH,新宏泰,10.00%
603045.SH,福达合金,9.99%
603608.SH,天创时尚,9.99%
002165.SZ,红 宝 丽,9.99%
002279.SZ,久其软件,9.98%
603011.SH,合锻智能,9.98%
600479.SH,千金药业,9.98%
603778.SH,国晟科技,9.98%
605006.SH,山东玻纤,9.98%
601700.SH,风范股份,9.97%
000712.SZ,锦龙股份,9.97%
001376.SZ,百通能源,9.97%
600551.SH,时代出版,9.97%
000925.SZ,众合科技,9.96%
002427.SZ,尤夫股份,9.96%
002437.SZ,誉衡药业,9.95%
002354.SZ,天娱数科,9.94%
601222.SH,林洋能源,9.93%
300456.SZ,赛微电子,9.01%
