股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
688531.SH,日联科技,180.29,204.72,3.23,0.53,2420000.00,是
300959.SZ,线上线下,170.45,159.71,-6.35,0.55,1420000.00,是
300302.SZ,同有科技,47.75,143.54,3.80,0.57,2850000.00,是
600726.SH,华电能源,8.62,131.40,0.70,0.53,5540000.00,是
300903.SZ,科翔股份,81.80,110.84,4.58,0.50,3140000.00,否
300672.SZ,国科微,300.00,110.31,3.36,0.58,5220000.00,是
688478.SH,晶升股份,63.44,93.95,-0.69,0.53,989000.00,是
300939.SZ,秋田微,61.72,90.70,9.03,0.49,579000.00,是
688008.SH,澜起科技,244.17,88.41,1.70,0.55,30200000.00,是
688381.SH,帝奥微,46.45,87.97,6.07,0.59,1010000.00,否
002938.SZ,鹏鼎控股,108.19,86.74,3.39,0.51,21820000.00,是
002655.SZ,共达电声,37.18,85.81,3.62,0.44,1210000.00,是
300323.SZ,华灿光电,16.13,82.55,0.56,0.47,2710000.00,是
603936.SH,博敏电子,25.37,79.36,1.60,0.56,1300000.00,否
002185.SZ,华天科技,17.82,68.68,4.03,0.50,5000000.00,是
001339.SZ,智微智能,104.90,61.42,3.65,0.49,2750000.00,否
600330.SH,天通股份,32.39,61.39,4.69,0.54,3640000.00,是
688585.SH,上纬新材,164.21,61.01,4.59,0.51,6350000.00,是
301269.SZ,华大九天,99.61,57.25,-2.01,0.37,5190000.00,是
688362.SH,甬矽电子,64.85,56.80,2.81,0.53,2110000.00,否
688052.SH,纳芯微,257.78,56.75,2.10,0.58,3690000.00,是
002156.SZ,通富微电,62.93,56.48,2.26,0.60,8930000.00,是
300820.SZ,英杰电气,71.10,54.48,6.23,0.60,1560000.00,否
000700.SZ,模塑科技,16.11,51.75,1.70,0.57,1280000.00,是
000021.SZ,深科技,40.77,51.66,3.29,0.56,5930000.00,是
688170.SH,德龙激光,83.13,50.94,2.33,0.54,767000.00,是
300042.SZ,朗科科技,64.13,50.26,2.46,0.43,1450000.00,是
603005.SH,晶方科技,44.24,49.78,0.77,0.55,2180000.00,是
002975.SZ,博杰股份,136.87,48.62,2.52,0.57,2480000.00,否
300613.SZ,富瀚微,65.59,48.60,4.81,0.27,1480000.00,否
688981.SH,中芯国际,130.14,48.25,-0.29,0.47,95210000.00,是
000988.SZ,华工科技,164.00,47.36,1.88,0.58,15930000.00,否
688416.SH,恒烁股份,125.31,45.34,1.97,0.46,1040000.00,是
002957.SZ,科瑞技术,55.55,45.07,1.18,0.46,1970000.00,是
002364.SZ,中恒电气,52.24,44.59,2.11,0.50,2980000.00,是
300184.SZ,力源信息,16.28,44.58,3.04,0.59,1740000.00,是
300274.SZ,阳光电源,152.49,43.19,2.27,0.52,32630000.00,否
002897.SZ,意华股份,87.96,43.10,1.24,0.52,1420000.00,是
