股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
001309.SZ,德明利,655.66,43.09,2.15,0.54,15860000.00,是
002947.SZ,恒铭达,89.40,42.75,-0.12,0.44,2290000.00,是
600460.SH,士兰微,38.28,42.69,8.23,0.59,5380000.00,是
002443.SZ,金洲管道,11.70,42.21,7.83,0.45,698000.00,否
300292.SZ,吴通控股,6.39,41.94,1.75,0.46,849000.00,是
300041.SZ,回天新材,14.31,41.73,2.80,0.45,689000.00,是
300602.SZ,飞荣达,48.40,40.35,4.04,0.55,2300000.00,否
000672.SZ,上峰水泥,17.30,40.30,2.85,0.35,1760000.00,否
688807.SH,优迅股份,412.00,40.10,1.74,0.35,3810000.00,是
688182.SH,灿勤科技,40.20,40.07,11.57,0.43,1750000.00,否
300593.SZ,新雷能,39.11,37.47,8.46,0.54,1700000.00,是
300083.SZ,创世纪,11.36,36.66,5.28,0.35,1920000.00,是
300265.SZ,通光线缆,23.03,36.23,2.90,0.50,1060000.00,是
300057.SZ,万顺新材,9.29,35.10,5.09,0.41,891000.00,否
688469.SH,芯联集成-U,7.97,34.03,3.10,0.57,6520000.00,否
600601.SH,方正科技,14.10,33.99,4.83,0.45,5280000.00,否
000600.SZ,建投能源,10.51,33.44,2.64,0.41,1960000.00,否
603228.SH,景旺电子,78.15,32.18,-1.67,0.53,7020000.00,是
300276.SZ,三丰智能,8.02,32.09,1.26,0.54,1280000.00,是
600184.SH,光电股份,27.54,31.86,1.74,0.44,1570000.00,是
002902.SZ,铭普光磁,36.38,31.50,6.16,0.41,900000.00,否
300757.SZ,罗博特科,650.00,31.23,2.10,0.59,9360000.00,是
300623.SZ,捷捷微电,36.01,30.90,1.78,0.51,2730000.00,否
688411.SH,海博思创,264.00,30.57,1.54,0.48,4650000.00,否
002169.SZ,智光电气,15.29,29.78,1.33,0.51,1270000.00,是
000690.SZ,宝新能源,5.60,29.77,4.87,0.44,1250000.00,否
002079.SZ,苏州固锝,12.94,29.69,5.55,0.45,1150000.00,是
603296.SH,华勤技术,105.97,27.93,-0.23,0.36,11700000.00,是
601678.SH,滨化股份,6.17,26.93,2.66,0.42,1270000.00,否
002745.SZ,木林森,10.63,26.58,3.71,0.57,1440000.00,否
688183.SH,生益电子,138.96,26.10,4.36,0.52,8690000.00,否
600885.SH,宏发股份,34.10,25.99,4.09,0.33,5000000.00,是
300236.SZ,上海新阳,100.02,24.82,-0.47,0.54,3240000.00,是
300486.SZ,东杰智能,24.19,24.61,2.59,0.58,1050000.00,是
688006.SH,杭可科技,39.36,24.41,8.61,0.56,2050000.00,否
300316.SZ,晶盛机电,51.69,23.11,-0.88,0.53,6820000.00,是
002194.SZ,武汉凡谷,12.72,21.87,10.03,0.53,899000.00,否
301205.SZ,联特科技,337.00,21.69,4.31,0.54,3510000.00,是
002126.SZ,银轮股份,50.51,21.56,2.89,0.48,4480000.00,否
300476.SZ,胜宏科技,355.48,20.38,3.19,0.58,33120000.00,否
002050.SZ,三花智控,45.12,19.54,-1.38,0.47,22020000.00,是
600198.SH,大唐电信,9.63,19.53,2.77,0.27,1220000.00,是
601689.SH,拓普集团,60.73,19.09,-1.57,0.56,12380000.00,是
301238.SZ,瑞泰新材,25.16,17.73,7.98,0.57,1520000.00,否
600111.SH,北方稀土,51.98,17.53,2.99,0.46,18170000.00,否
002179.SZ,中航光电,38.11,17.50,-0.21,0.39,8440000.00,是
