股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
002396.SZ,星网锐捷,33.91,81.19,3.80,0.55,1890000.00,否
002821.SZ,凯莱英,177.12,52.10,3.46,0.49,4250000.00,否
002317.SZ,众生药业,28.24,45.43,2.88,0.48,2000000.00,否
000975.SZ,山金国际,26.92,41.72,4.46,0.57,6670000.00,是
000977.SZ,浪潮信息,80.68,41.36,2.39,0.35,10610000.00,否
002422.SZ,科伦药业,46.69,37.63,3.50,0.45,5140000.00,否
688111.SH,金山办公,255.44,29.58,-0.39,0.50,11830000.00,是
601899.SH,紫金矿业,33.36,27.75,2.55,0.60,82860000.00,是
603893.SH,瑞芯微,211.51,27.04,3.69,0.54,8130000.00,否
603501.SH,豪威集团,92.14,26.70,1.16,0.34,12940000.00,是
002440.SZ,闰土股份,13.04,26.09,5.42,0.49,1090000.00,否
002517.SZ,恺英网络,17.55,23.21,-4.10,0.55,3740000.00,是
600415.SH,小商品城,11.92,21.55,2.23,0.49,7800000.00,是
600660.SH,福耀玻璃,55.66,21.42,-1.08,0.44,14370000.00,是
002532.SZ,天山铝业,13.55,20.93,3.20,0.55,7060000.00,否
688169.SH,石头科技,113.24,19.84,6.20,0.56,3310000.00,是
000933.SZ,神火股份,26.56,18.92,2.83,0.54,6700000.00,否
600513.SH,联环药业,18.52,18.58,5.11,0.59,561000.00,否
002432.SZ,九安医疗,75.62,18.34,3.29,0.50,3440000.00,否
600352.SH,浙江龙盛,13.10,16.20,3.72,0.54,3760000.00,否
603979.SH,金诚信,77.59,15.02,1.23,0.54,4100000.00,是
