股票代码,股票名称,行业,总市值(亿)
920186.SZ,中科仪,其他通用设备,260.00
300503.SZ,昊志机电,其他通用设备,243.00
002384.SZ,东山精密,印制电路板,4068.00
300476.SZ,胜宏科技,印制电路板,3312.00
600183.SH,生益科技,印制电路板,2448.00
002916.SZ,深南电路,印制电路板,2264.00
002938.SZ,鹏鼎控股,印制电路板,2182.00
000338.SZ,潍柴动力,底盘与发动机系统,2888.00
601689.SH,拓普集团,底盘与发动机系统,1238.00
000559.SZ,万向钱潮,底盘与发动机系统,601.00
002126.SZ,银轮股份,底盘与发动机系统,448.00
301550.SZ,斯菱智驱,底盘与发动机系统,440.00
600032.SH,浙江新能,光伏发电,274.00
601778.SH,晶科科技,光伏发电,249.00
000591.SZ,太阳能,光伏发电,239.00
002310.SZ,东方新能,光伏发电,185.00
002617.SZ,露笑科技,光伏发电,180.00
600989.SH,宝丰能源,化学原料,2060.00
002648.SZ,卫星化学,化学原料,890.00
601216.SH,君正集团,化学原料,462.00
002601.SZ,龙佰集团,化学原料,397.00
603067.SH,振华股份,化学原料,326.00
600930.SH,华电新能,电力,2653.00
601991.SH,大唐发电,电力,1551.00
001289.SZ,龙源电力,电力,1493.00
600011.SH,华能国际,电力,1228.00
600905.SH,三峡能源,电力,1201.00
688981.SH,中芯国际,半导体,9521.00
688820.SH,盛合晶微,半导体,3403.00
688347.SH,华虹公司,半导体,2602.00
688783.SH,西安奕材-U,半导体,1437.00
600584.SH,长电科技,半导体,1088.00
601088.SH,中国神华,煤炭开采,9992.00
601225.SH,陕西煤业,煤炭开采,2365.00
601898.SH,中煤能源,煤炭开采,2287.00
600188.SH,兖矿能源,煤炭开采,2183.00
002128.SZ,电投能源,煤炭开采,677.00
002046.SZ,国机精工,磨具磨料,276.00
688028.SH,沃尔德,磨具磨料,177.00
600783.SH,鲁信创投,磨具磨料,165.00
600172.SH,黄河旋风,磨具磨料,156.00
300179.SZ,四方达,磨具磨料,144.00
300502.SZ,新易盛,通信设备,5691.00
601869.SH,长飞光纤,通信设备,3294.00
300394.SZ,天孚通信,通信设备,2828.00
002281.SZ,光迅科技,通信设备,1863.00
600487.SH,亨通光电,通信设备,1861.00
002384.SZ,东山精密,印制电路板,4068.00
300476.SZ,胜宏科技,印制电路板,3312.00
600183.SH,生益科技,印制电路板,2448.00
002916.SZ,深南电路,印制电路板,2264.00
002938.SZ,鹏鼎控股,印制电路板,2182.00
002379.SZ,宏桥控股,有色金属,2708.00
601600.SH,中国铝业,有色金属,1836.00
603799.SH,XD华友钴,有色金属,1093.00
000807.SZ,云铝股份,有色金属,1041.00
002532.SZ,天山铝业,有色金属,706.00
600930.SH,华电新能,电力,2653.00
601991.SH,大唐发电,电力,1551.00
001289.SZ,龙源电力,电力,1493.00
600011.SH,华能国际,电力,1228.00
600905.SH,三峡能源,电力,1201.00
002384.SZ,东山精密,印制电路板,4068.00
300476.SZ,胜宏科技,印制电路板,3312.00
600183.SH,生益科技,印制电路板,2448.00
002916.SZ,深南电路,印制电路板,2264.00
002938.SZ,鹏鼎控股,印制电路板,2182.00
300274.SZ,阳光电源,电力设备,3263.00
600406.SH,国电南瑞,电力设备,2166.00
002028.SZ,思源电气,电力设备,1526.00
605117.SH,德业股份,电力设备,1433.00
300014.SZ,亿纬锂能,电力设备,1424.00
600930.SH,华电新能,电力,2653.00
601991.SH,大唐发电,电力,1551.00
001289.SZ,龙源电力,电力,1493.00
600011.SH,华能国际,电力,1228.00
600905.SH,三峡能源,电力,1201.00
002001.SZ,新 和 成,化学制品,972.00
600160.SH,巨化股份,化学制品,876.00
600378.SH,昊华科技,化学制品,449.00
002407.SZ,多氟多,化学制品,443.00
600352.SH,浙江龙盛,化学制品,376.00
300274.SZ,阳光电源,电力设备,3263.00
600406.SH,国电南瑞,电力设备,2166.00
002028.SZ,思源电气,电力设备,1526.00
605117.SH,德业股份,电力设备,1433.00
300014.SZ,亿纬锂能,电力设备,1424.00
300033.SZ,同花顺,软件开发,1717.00
688111.SH,金山办公,软件开发,1183.00
002230.SZ,科大讯飞,软件开发,1180.00
601360.SH,三六零,软件开发,783.00
300803.SZ,指南针,软件开发,615.00
600900.SH,长江电力,水力发电,6668.00
600025.SH,华能水电,水力发电,1844.00
600886.SH,国投电力,水力发电,1099.00
600236.SH,桂冠电力,水力发电,879.00
600674.SH,川投能源,水力发电,757.00
600150.SH,中国船舶,国防军工,2821.00
302132.SZ,中航成飞,国防军工,1793.00
