股票代码,股票名称,触发交易日,2-10日最高涨幅(%),2-10日最低跌幅(%),11-20日最高涨幅(%),11-20日最低跌幅(%),21-40日最高涨幅(%),21-40日最低跌幅(%),41-60日最高涨幅(%),41-60日最低跌幅(%),至今最高涨幅(%),至今最低跌幅(%)
300505.SZ,川金诺,20260108,11.42,-1.57,15.33,4.67,49.04,4.52,44.02,4.6,49.04,-19.31
300537.SZ,广信材料,20260518,3.32,-9.82,,,,,,,5.01,-9.82
300545.SZ,联得装备,20260310,-1.62,-18.78,-9.02,-17.9,-4.19,-13.73,2.52,-9.13,2.52,-18.78
300552.SZ,万集科技,20251222,15.45,-7.36,16.49,3.74,11.65,-4.54,4.11,-20.54,16.49,-23.39
300569.SZ,天能重工,20260313,3.34,-8.34,-7.83,-19.26,-11.3,-21.57,-21.95,-31.19,7.06,-31.19
300576.SZ,容大感光,20251201,2.93,-3.56,4.44,-4.76,10.49,-5.95,3.98,-9.34,27.35,-19.66
300590.SZ,移为通信,20260423,6.39,0.07,10.58,2.47,5.36,0.14,,,10.58,-3.5
300592.SZ,华凯易佰,20260112,14.67,-4.77,10.36,3.18,7.87,-4.39,-0.23,-15.2,14.67,-15.2
300595.SZ,欧普康视,20250723,5.7,-1.92,5.81,1.64,6.13,-4.38,-4.93,-12.6,6.13,-34.83
300601.SZ,康泰生物,20250724,-1.91,-5.57,1.42,-7.43,11.97,-4.26,-6.17,-11.2,11.97,-31.26
300604.SZ,长川科技,20250818,26.14,-1.59,23.49,9.3,110.13,20.52,86.72,55.4,400.5,-2.28
300608.SZ,思特奇,20260514,20.97,-15.99,-21.63,-21.63,,,,,20.97,-21.63
300613.SZ,富瀚微,20260424,12.25,5.3,18.42,8.27,12.75,5.94,,,18.42,0.0
300627.SZ,华测导航,20260106,9.38,-7.54,-0.85,-11.58,-8.79,-17.13,-15.31,-25.89,9.38,-34.25
300629.SZ,新劲刚,20260108,25.69,-4.91,2.08,-7.06,9.22,-8.99,1.4,-19.12,25.69,-19.12
300632.SZ,光莆股份,20251208,-6.06,-21.07,-9.87,-20.55,-8.66,-21.36,-12.82,-21.19,143.88,-23.73
300633.SZ,开立医疗,20250908,-0.16,-5.95,-4.21,-8.52,-6.47,-22.18,-19.86,-26.99,0.0,-44.28
300634.SZ,彩讯股份,20260112,7.54,-10.5,-6.49,-14.87,-7.57,-23.6,-19.47,-31.26,7.54,-32.43
300666.SZ,江丰电子,20250924,15.89,1.17,1.85,-6.69,-4.88,-17.47,-2.08,-13.69,116.48,-17.47
300699.SZ,光威复材,20251226,33.27,8.63,23.97,12.76,19.13,4.04,19.21,-8.37,33.27,-14.2
300708.SZ,聚灿光电,20260305,-4.95,-17.41,-18.05,-27.4,-21.09,-30.43,-19.81,-27.16,0.0,-30.43
300711.SZ,广哈通信,20260112,19.43,-10.34,-2.01,-9.97,-0.89,-14.03,-9.22,-18.74,19.43,-32.88
300721.SZ,怡达股份,20260130,-0.86,-10.72,-3.31,-11.06,-4.62,-25.6,27.88,-20.35,103.88,-25.6
300726.SZ,宏达电子,20251024,8.74,1.26,2.66,-9.69,3.21,-9.71,33.61,4.61,53.02,-9.71
300737.SZ,科顺股份,20250722,-3.58,-9.88,-5.45,-9.71,-4.26,-16.01,-10.39,-14.82,39.52,-16.01
300748.SZ,金力永磁,20250711,12.14,-0.92,12.29,2.89,64.12,5.2,80.73,31.33,80.73,-0.92
300761.SZ,立华股份,20250911,3.93,-6.35,-2.8,-9.24,-7.11,-13.67,-12.88,-17.56,3.93,-19.69
300770.SZ,新媒股份,20250827,-0.59,-7.55,0.63,-5.68,1.47,-4.3,2.68,-10.05,4.36,-27.87
300775.SZ,三角防务,20251106,3.2,-8.89,-3.17,-9.87,0.85,-7.81,30.11,2.58,52.76,-19.78
300782.SZ,卓胜微,20260320,-1.33,-11.71,26.78,-2.66,56.01,10.32,38.99,19.71,56.01,-11.71
300788.SZ,中信出版,20260210,34.58,-5.45,16.66,-4.84,-3.05,-16.43,15.27,-12.22,34.58,-20.49
300820.SZ,英杰电气,20251009,-6.81,-18.31,-9.41,-17.12,-4.47,-22.53,-19.93,-24.65,16.22,-32.06
300839.SZ,博汇股份,20260303,-16.05,-23.84,-19.94,-28.49,-2.97,-19.13,16.98,-14.77,16.98,-28.49
300841.SZ,康华生物,20250711,10.29,-8.48,27.84,6.8,21.05,-2.46,14.18,1.79,27.84,-34.16
300860.SZ,锋尚文化,20250709,-4.0,-13.85,-11.64,-14.03,-6.21,-17.25,-10.51,-17.37,0.0,-31.76
300861.SZ,美畅股份,20260123,-2.95,-14.09,2.49,-4.25,-6.11,-17.82,-7.56,-20.1,13.94,-20.1
300867.SZ,圣元环保,20251114,1.54,-8.79,8.7,-6.9,-6.24,-17.45,-11.08,-16.53,8.7,-17.45
300887.SZ,谱尼测试,20260105,38.63,12.33,15.19,-2.0,4.51,-7.99,7.12,-16.41,38.63,-26.91
300913.SZ,兆龙互连,20260529,,,,,,,,,0.0,0.0
300919.SZ,中伟新材,20250904,4.52,-0.97,18.33,0.79,14.5,-1.28,19.26,-7.4,51.65,-9.12
300921.SZ,南凌科技,20260126,6.42,-2.75,19.84,-10.8,2.12,-14.01,-5.19,-15.28,19.84,-34.49
300936.SZ,中英科技,20260302,31.24,-6.4,34.78,11.9,52.44,15.36,120.0,40.64,120.0,-6.4
300957.SZ,贝泰妮,20250908,-2.06,-8.18,-9.18,-11.35,-7.26,-18.19,-14.22,-21.14,0.0,-28.79
300981.SZ,中红医疗,20260313,6.34,-16.3,-1.9,-16.74,-2.35,-15.41,-2.41,-19.85,6.34,-19.85
301028.SZ,鼎熔岩,20260508,15.04,-6.99,15.66,10.08,,,,,15.66,-6.99
301071.SZ,力量钻石,20251009,35.71,0.59,18.18,7.43,28.11,2.14,7.34,-3.8,133.26,-3.8
301080.SZ,百普赛斯,20260126,-16.11,-28.51,-26.89,-36.68,-34.46,-42.94,-27.47,-34.53,0.0,-42.94
301149.SZ,隆华新材,20260123,-7.17,-11.81,-8.04,-12.17,-6.74,-17.68,-2.54,-17.97,4.86,-17.97
301175.SZ,中科环保,20251210,0.0,-6.27,5.25,-1.69,9.83,1.36,31.86,1.02,31.86,-6.27
301176.SZ,逸豪新材,20260427,25.86,10.9,40.14,9.8,37.29,37.29,,,40.14,0.0
301188.SZ,力诺药包,20260401,22.25,3.77,39.12,21.47,140.34,27.04,,,140.34,0.0
301207.SZ,华兰疫苗,20251021,8.76,-14.11,17.07,5.26,13.93,-10.89,-7.06,-14.07,20.16,-17.9
301238.SZ,瑞泰新材,20260528,,,,,,,,,2.05,0.0
301246.SZ,宏源药业,20251013,-1.64,-6.73,17.75,0.57,26.63,-1.07,51.95,-6.16,94.46,-6.73
301248.SZ,杰创智能,20251224,16.3,-3.23,58.39,30.03,85.53,42.24,106.89,52.2,195.84,-3.23
301252.SZ,同星科技,20251230,-0.12,-5.53,-1.14,-8.89,24.03,-9.7,24.99,-0.72,34.67,-9.7
301256.SZ,华融化学,20251119,31.73,2.33,35.3,8.81,36.97,-1.09,30.71,9.68,36.97,-15.57
301262.SZ,海看股份,20251023,-8.49,-14.75,-6.58,-11.2,0.14,-17.95,-2.68,-16.95,23.7,-25.33
301269.SZ,华大九天,20251013,-0.54,-10.5,-6.74,-16.33,-17.19,-24.94,-17.74,-24.53,0.0,-40.42
301275.SZ,汉朔科技,20260114,6.07,-15.7,-15.0,-19.09,-18.77,-41.47,-41.38,-46.41,10.24,-46.41
301291.SZ,明阳电气,20260224,3.73,-7.83,16.47,-8.33,-6.03,-20.61,2.51,-15.66,16.47,-20.61
301305.SZ,朗坤科技,20251112,-6.79,-17.88,-15.43,-18.46,-3.11,-17.73,5.41,-5.37,18.27,-18.46
301330.SZ,熵基科技,20260105,23.2,4.77,5.14,-4.87,-0.88,-10.24,-1.29,-18.05,23.2,-31.42
301345.SZ,涛涛车业,20260422,1.45,-5.14,-6.79,-20.77,-20.31,-26.34,,,1.45,-26.34
301348.SZ,蓝箭电子,20260115,21.37,-2.61,-4.16,-10.44,-0.79,-14.53,-15.79,-24.93,21.37,-24.93
301373.SZ,凌玮科技,20260225,72.16,-6.6,67.76,42.34,139.97,47.99,238.45,152.3,238.45,-6.6
301382.SZ,蜂助手,20260112,2.95,-9.56,3.46,-9.81,-5.81,-18.52,-6.42,-23.7,24.96,-23.7
301439.SZ,泓淋电力,20260122,-4.13,-8.59,-1.92,-7.46,4.07,-13.79,-7.97,-14.3,10.63,-14.3
301458.SZ,钧崴电子,20260421,2.27,-7.25,7.37,-3.27,13.62,8.02,,,13.62,-7.25
301479.SZ,弘景光电,20260408,10.74,-5.77,32.05,5.95,22.67,-31.62,,,32.05,-31.62
301500.SZ,飞南资源,20260128,-2.04,-9.47,27.9,-9.1,19.52,-11.94,44.91,-5.92,49.79,-11.94
301507.SZ,民生健康,20251113,7.62,-5.69,0.12,-10.41,-1.15,-12.89,2.24,-7.92,7.62,-22.38
301510.SZ,固高科技,20251204,-2.41,-17.13,-4.14,-16.78,-1.7,-9.73,-1.38,-17.77,2.69,-27.08
301526.SZ,国际复材,20250704,32.85,15.46,21.74,15.7,90.1,16.18,84.06,50.0,498.55,0.0
