ts_code,stock_name,buy_date,buy_price,max_return_10d,max_return_20d,max_return_60d,amplitude,gain
000012.SZ,南  玻Ａ,20260225,5.18,-2.7027027027026964,-2.7027027027026964,-2.7027027027026964,12.4153498871332,9.978768577494687
000027.SZ,深圳能源,20251023,7.51,-2.6631158455392834,-2.6631158455392834,-2.6631158455392834,13.162118780096296,9.956076134699849
000035.SZ,中国天楹,20250929,5.38,14.312267657992574,14.312267657992574,15.055762081784396,23.459715639810433,7.815631262525044
000039.SZ,中集集团,20251114,8.94,4.586129753914991,6.263982102908283,27.62863534675616,8.81971465629054,9.963099630996293
000049.SZ,德赛电池,20260421,29.64,1.7881241565452128,1.7881241565452128,,20.521172638436493,7.23589001447178
000060.SZ,中金岭南,20251009,6.06,0.8250825082508368,0.8250825082508368,0.8250825082508368,28.959276018099555,6.315789473684201
000065.SZ,北方国际,20260324,14.22,13.783403656821372,13.783403656821372,,30.093457943925237,9.976798143851516
000069.SZ,华侨城Ａ,20250922,2.7,-1.8518518518518614,-1.8518518518518614,8.518518518518517,18.01801801801801,8.000000000000007
000100.SZ,TCL科技,20260106,4.93,1.014198782961475,3.448275862068964,3.448275862068964,18.024691358024704,8.35164835164835
000155.SZ,川能动力,20251029,12.2,3.852459016393448,15.16393442622952,15.737704918032788,14.922279792746107,10.009017132551843
000156.SZ,华数传媒,20260210,9.83,-4.577822990844347,-4.577822990844347,-4.577822990844347,22.29822161422709,9.95525727069352
000157.SZ,中联重科,20260203,9.35,6.63101604278076,6.9518716577540145,6.9518716577540145,24.000000000000004,8.217592592592581
000301.SZ,东方盛虹,20260123,12.08,9.437086092715237,11.092715231788079,20.695364238410598,31.74971031286209,6.4317180616740135
000338.SZ,潍柴动力,20251106,18.03,1.608430393788126,1.608430393788126,34.88630061009428,19.026870007262172,10.00610128126907
000400.SZ,许继电气,20260119,32.4,1.512345679012352,1.512345679012352,4.84567901234568,31.637661758143686,10.016977928692697
