股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
301165.SZ,锐捷网络,127.33,56.60,6.64,0.43,7910000.00,否
300209.SZ,行云科技,34.87,54.42,4.00,0.42,2600000.00,否
000676.SZ,智度股份,6.89,53.92,3.30,0.43,922000.00,否
603228.SH,景旺电子,96.49,52.64,2.76,0.56,7020000.00,否
000815.SZ,美利云,16.59,45.92,1.65,0.42,1470000.00,否
600428.SH,中远海特,11.49,45.84,0.17,0.35,2130000.00,是
300017.SZ,网宿科技,16.36,43.78,6.86,0.49,4730000.00,否
300598.SZ,诚迈科技,34.18,37.68,1.76,0.58,863000.00,否
688166.SH,博瑞医药,36.24,36.74,4.41,0.38,2620000.00,否
002432.SZ,九安医疗,70.35,36.64,3.67,0.38,3440000.00,否
002400.SZ,省广集团,6.69,36.13,3.40,0.28,1580000.00,否
301171.SZ,易点天下,38.00,35.98,7.28,0.54,2840000.00,否
688111.SH,金山办公,249.65,35.54,3.46,0.39,11830000.00,否
002131.SZ,利欧股份,4.75,34.04,3.26,0.52,5010000.00,否
603171.SH,税友股份,45.44,33.83,2.48,0.48,2440000.00,否
300058.SZ,蓝色光标,14.10,30.73,5.46,0.48,6680000.00,否
603533.SH,掌阅科技,22.59,30.53,9.98,0.43,1200000.00,否
300170.SZ,汉得信息,16.97,30.25,1.98,0.49,2280000.00,否
300063.SZ,天龙集团,9.10,28.70,3.76,0.43,943000.00,否
603629.SH,利通电子,122.16,28.60,1.84,0.53,4570000.00,否
600986.SH,浙文互联,7.46,28.15,4.34,0.37,1520000.00,否
000977.SZ,浪潮信息,85.18,27.31,9.99,0.25,10610000.00,否
600809.SH,山西汾酒,116.76,25.82,-1.91,0.40,15830000.00,是
300628.SZ,亿联网络,41.40,25.26,2.99,0.53,4920000.00,是
603296.SH,华勤技术,81.60,24.88,4.35,0.41,11700000.00,否
300182.SZ,捷成股份,5.38,24.62,9.35,0.40,1610000.00,否
603598.SH,引力传媒,17.93,24.03,6.09,0.36,667000.00,否
002421.SZ,达实智能,3.35,23.96,2.76,0.47,823000.00,否
000831.SZ,中国稀土,62.06,23.75,3.12,0.53,5480000.00,否
603236.SH,移远通信,61.64,23.28,9.99,0.37,2190000.00,否
300677.SZ,英科医疗,55.27,22.98,1.79,0.59,3300000.00,否
002115.SZ,三维通信,11.06,22.58,4.05,0.41,1130000.00,否
000917.SZ,电广传媒,7.53,22.50,6.81,0.48,1200000.00,否
688702.SH,盛科通信-U,390.00,22.09,6.82,0.33,12960000.00,否
300850.SZ,新强联,28.08,21.39,14.05,0.40,1520000.00,否
300624.SZ,万兴科技,51.90,19.92,9.91,0.41,1330000.00,否
688031.SH,星环科技-U,112.00,19.30,11.72,0.43,1520000.00,否
603466.SH,风语筑,11.88,17.97,6.55,0.49,664000.00,否
300251.SZ,光线传媒,11.67,15.29,6.87,0.24,4080000.00,否
