股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
300302.SZ,同有科技,51.03,140.88,6.87,0.58,2850000.00,否
300209.SZ,行云科技,28.38,131.63,8.53,0.54,2600000.00,否
300672.SZ,国科微,325.30,111.96,8.43,0.60,5220000.00,否
300939.SZ,秋田微,71.54,88.69,15.91,0.51,579000.00,否
002655.SZ,共达电声,38.74,87.62,4.20,0.44,1210000.00,否
688478.SH,晶升股份,67.03,84.37,5.66,0.53,989000.00,否
688008.SH,澜起科技,262.50,83.68,7.51,0.55,30200000.00,否
002787.SZ,华源控股,29.50,79.68,7.90,0.42,859000.00,否
300567.SZ,精测电子,215.76,74.15,5.34,0.54,5250000.00,否
300323.SZ,华灿光电,16.80,71.83,4.15,0.46,2710000.00,否
688585.SH,上纬新材,174.54,71.72,6.29,0.51,6350000.00,否
002185.SZ,华天科技,19.05,68.42,6.90,0.51,5000000.00,否
002979.SZ,雷赛智能,55.96,67.36,5.68,0.52,2090000.00,否
001339.SZ,智微智能,115.39,62.22,10.00,0.50,2750000.00,否
603156.SH,养元饮品,43.89,61.37,3.83,0.55,6090000.00,否
000417.SZ,合百集团,7.77,60.47,2.24,0.30,675000.00,否
688362.SH,甬矽电子,69.40,59.18,7.02,0.54,2110000.00,否
688596.SH,正帆科技,46.80,58.49,4.58,0.54,1460000.00,否
688249.SH,晶合集成,46.43,57.02,10.29,0.49,8240000.00,否
688052.SH,纳芯微,264.80,56.87,2.72,0.57,3690000.00,否
002975.SZ,博杰股份,142.57,56.24,4.16,0.57,2480000.00,否
301269.SZ,华大九天,105.01,53.93,5.42,0.37,5190000.00,否
688401.SH,路维光电,83.05,53.30,4.89,0.58,1380000.00,否
688170.SH,德龙激光,85.79,52.72,3.20,0.56,767000.00,否
603005.SH,晶方科技,46.12,51.87,4.25,0.54,2180000.00,否
000021.SZ,深科技,42.91,51.13,5.25,0.56,5930000.00,否
300042.SZ,朗科科技,67.47,49.96,5.21,0.44,1450000.00,否
000988.SZ,华工科技,170.51,49.54,3.97,0.59,15930000.00,否
688807.SH,优迅股份,422.17,46.21,2.47,0.34,3810000.00,否
301629.SZ,矽电股份,401.93,45.96,4.87,0.44,1750000.00,否
688981.SH,中芯国际,134.70,44.50,3.50,0.47,95210000.00,否
001309.SZ,德明利,709.62,42.73,8.23,0.55,15860000.00,否
002947.SZ,恒铭达,90.95,41.80,1.73,0.43,2290000.00,否
300184.SZ,力源信息,16.91,41.00,3.87,0.58,1740000.00,否
300041.SZ,回天新材,14.57,40.48,1.82,0.46,689000.00,否
002957.SZ,科瑞技术,57.36,39.05,3.26,0.48,1970000.00,否
688182.SH,灿勤科技,41.31,37.42,2.76,0.44,1750000.00,否
601133.SH,柏诚股份,33.12,37.27,3.31,0.52,1600000.00,否
300151.SZ,昌红科技,23.58,35.97,2.75,0.60,1090000.00,否
603228.SH,景旺电子,80.76,35.20,3.34,0.54,7020000.00,否
688411.SH,海博思创,276.77,32.83,4.84,0.49,4650000.00,否
002079.SZ,苏州固锝,13.52,31.46,4.48,0.45,1150000.00,否
688469.SH,芯联集成-U,8.60,29.58,7.90,0.57,6520000.00,否
301626.SZ,苏州天脉,322.64,29.41,1.81,0.51,3170000.00,否
300236.SZ,上海新阳,106.56,28.34,6.54,0.55,3240000.00,否
300623.SZ,捷捷微电,36.87,27.33,2.39,0.51,2730000.00,否
600688.SH,上海石化,3.06,23.76,3.38,0.56,3110000.00,否
000722.SZ,湖南发展,15.85,21.53,5.39,0.44,705000.00,否
002126.SZ,银轮股份,53.44,20.87,5.80,0.48,4480000.00,否
688187.SH,时代电气,58.62,19.72,2.64,0.59,7390000.00,否
300265.SZ,通光线缆,23.72,19.60,3.00,0.50,1060000.00,否
000620.SZ,盈新发展,3.01,19.37,3.08,0.44,1960000.00,否
002077.SZ,大港股份,17.74,17.83,3.99,0.51,1010000.00,否
002066.SZ,瑞泰科技,23.08,17.57,3.50,0.25,631000.00,是
300327.SZ,中颖电子,28.24,17.01,4.25,0.47,956000.00,否
601168.SH,西部矿业,31.48,15.93,1.78,0.58,7210000.00,否
