股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
000756.SZ,新华制药,100.00,20260624,12.69,16.12,75.42
000751.SZ,锌业股份,90.30,20260624,6.44,8.64,185.25
002167.SZ,东方锆业,93.00,20260624,6.13,9.99,617.89
688408.SH,中信博,84.10,20260624,5.15,13.02,64.62
300446.SZ,航天智造,156.00,20260624,4.29,11.71,61.90
002452.SZ,长高电新,73.80,20260624,4.19,9.98,93.83
000783.SZ,长江证券,465.00,20260624,3.71,7.33,493.67
600379.SH,宝光股份,49.90,20260624,3.47,9.98,102.04
300363.SZ,博腾股份,79.70,20260624,3.13,7.65,66.84
301305.SZ,朗坤科技,62.50,20260624,2.87,11.68,55.99
301160.SZ,翔楼新材,68.40,20260622,2.77,17.56,109.66
301580.SZ,爱迪特,67.40,20260623,2.65,10.83,274.07
000811.SZ,冰轮环境,378.00,20260624,2.62,10.32,426.04
002173.SZ,创新医疗,112.00,20260624,2.61,9.35,151.78
605277.SH,新亚电子,76.80,20260624,2.60,9.98,53.10
300083.SZ,创世纪,192.00,20260624,2.60,15.11,257.72
002876.SZ,三利谱,51.50,20260624,2.55,10.02,68.01
300120.SZ,经纬辉开,42.10,20260624,2.55,9.87,103.38
