股票代码,股票名称,首次满足日期,10日涨幅(%),20日涨幅(%),40日涨幅(%)
002020.SZ,京新药业,20250704,7.836570663094452,10.247823174815816,26.32283991962491
002558.SZ,巨人网络,20250704,-3.977724741447892,-4.057279236276848,25.69610182975338
002913.SZ,奥士康,20250704,1.350962920379416,13.4233975280253,17.821212992239158
003036.SZ,泰坦股份,20250704,0.5382775119617217,22.547846889952154,-4.007177033492812
300436.SZ,广生堂,20250704,36.73548889754577,99.25983638488506,162.19322165952474
301389.SZ,隆扬电子,20250704,3.759398496240588,35.0250626566416,139.03508771929822
301526.SZ,国际复材,20250704,19.082125603864736,15.700483091787449,87.68115942028986
600231.SH,凌钢股份,20250704,-3.398058252427187,-0.9708737864077678,0.4854368932038731
600267.SH,海正药业,20250704,17.276995305164316,6.4788732394366155,1.4084507042253553
600475.SH,华光环能,20250704,20.684168655529035,14.876690533015108,73.0310262529833
600744.SH,华银电力,20250704,31.691297208538582,12.15106732348112,28.24302134646962
601003.SH,柳钢股份,20250704,18.798449612403097,20.54263565891472,11.43410852713178
601208.SH,东材科技,20250704,43.15196998123827,56.28517823639775,86.49155722326452
603601.SH,再升科技,20250704,-8.102766798418958,0.7905138339920956,17.786561264822144
688068.SH,热景生物,20250704,2.150813613264205,11.133925363174374,7.11975771264309
688091.SH,上海谊众,20250704,9.630238290879198,27.576006573541484,13.689400164338547
688202.SH,美迪西,20250704,54.0443070582174,58.681092220504894,65.40443070582172
688221.SH,前沿生物-U,20250704,66.58878504672899,67.67912772585672,37.616822429906556
688520.SH,神州细胞,20250704,-0.5385786207703943,-18.604378878351483,-25.652733871911952
688553.SH,汇宇制药-W,20250704,6.784519827998096,6.975633062589588,18.2990922121357
000920.SZ,沃顿科技,20250707,0.08756567425568991,-3.6777583187390537,14.360770577933454
001896.SZ,豫能控股,20250707,10.575139146567723,1.6697588126159693,3.896103896103896
002052.SZ,同洲电子,20250707,-10.789049919484702,-16.264090177133653,34.86312399355877
002201.SZ,九鼎新材,20250707,-3.2687651331719083,-9.20096852300242,2.3002421307505996
002366.SZ,融发核电,20250707,-11.800610376398781,-17.293997965411997,-21.566632756866735
