序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1000,'688106,金宏气体,31.65,0.96%,0.3,37.2万手,3101手,31.65,31.66,0.00%,6.95%,11.6亿,870.02 ①,电子化学品Ⅱ,31.87,30.31,31.27,31.35,4.98%,0.7,37.75%,1082手,31.17,18.2万手,19.0万手,0.95,889手,205手,4.7,5.35亿,169亿元,5.35亿,169亿元,1.54%,-3.48%,26.09%,56.38%
1001,'600288,大恒科技,14.78,0.96%,0.14,9.87万手,1613手,14.77,14.78,0.14%,2.26%,1.44亿,31.55 ①,软件开发,14.83,14.42,14.62,14.64,2.80%,0.73,-51.24%,-618手,14.61,5.46万手,4.42万手,1.24,14手,54手,3.24,4.37亿,64.6亿元,4.37亿,64.6亿元,-1.53%,-5.50%,7.75%,17.76%
1002,'601058,赛轮轮胎,12.7,0.95%,0.12,33.0万手,2323手,12.69,12.7,0.00%,1.00%,4.17亿,9.88 ①,汽车,12.79,12.53,12.6,12.58,2.07%,0.74,-6.26%,-339手,12.66,16.3万手,16.7万手,0.98,1043手,495手,1.86,32.9亿,418亿元,32.9亿,418亿元,-1.78%,-6.13%,3.81%,7.80%
1003,'600814,杭州解百,7.41,0.95%,0.07,4.62万手,453手,7.41,7.42,0.00%,0.63%,3408万,15.06 ①,商贸零售,7.42,7.32,7.33,7.34,1.36%,0.69,-43.49%,-1393手,7.38,2.06万手,2.56万手,0.81,14手,745手,1.42,7.35亿,54.5亿元,7.35亿,54.5亿元,-0.54%,-2.88%,2.28%,5.17%
1004,'603421,鼎信通讯,8.47,0.95%,0.08,11.8万手,1228手,8.47,8.48,0.12%,1.82%,9901万,亏损 ①,通信设备,8.48,8.21,8.38,8.39,3.22%,0.67,20.09%,1221手,8.36,5.74万手,6.10万手,0.94,1384手,1202手,2.3,6.52亿,55.2亿元,6.52亿,55.2亿元,-1.28%,-2.31%,5.92%,15.44%
1005,'603939,益丰药房,22.34,0.95%,0.21,18.4万手,556手,22.33,22.34,0.00%,1.52%,4.12亿,13.55 ①,线下药店,22.75,21.82,21.91,22.13,4.20%,1.06,5.61%,34手,22.39,9.84万手,8.55万手,1.15,14手,28手,2.27,12.1亿,271亿元,12.1亿,271亿元,-5.50%,-3.29%,5.83%,8.64%
1006,'600906,财达证券,6.39,0.95%,0.06,18.1万手,2003手,6.38,6.39,0.16%,0.85%,1.15亿,20.46 ①,非银金融,6.41,6.3,6.33,6.33,1.74%,0.5,-42.28%,-6009手,6.36,8.36万手,9.71万手,0.86,657手,943手,1.66,32.5亿,207亿元,21.2亿,136亿元,-1.39%,-1.99%,3.26%,9.31%
1007,'600720,中交设计,6.39,0.95%,0.06,5.36万手,819手,6.39,6.41,0.00%,0.53%,3416万,51.31 ①,建筑装饰,6.42,6.31,6.31,6.33,1.74%,0.75,-32.89%,-3157手,6.37,2.18万手,3.18万手,0.69,2042手,236手,0.92,22.9亿,147亿元,10.1亿,64.5亿元,-2.44%,-4.63%,2.14%,4.08%
1008,'600399,抚顺特钢,5.33,0.95%,0.05,42.1万手,3331手,5.33,5.34,0.00%,2.14%,2.24亿,亏损 ①,特钢Ⅱ,5.41,5.22,5.29,5.28,3.60%,0.97,-46.69%,-8393手,5.31,21.1万手,21.0万手,1,1870手,3480手,1.96,19.7亿,105亿元,19.7亿,105亿元,0.95%,-6.16%,6.03%,13.10%
1009,'600973,宝胜股份,7.48,0.94%,0.07,30.6万手,1520手,7.47,7.48,0.13%,2.23%,2.26亿,51.64 ①,电力设备,7.52,7.24,7.37,7.41,3.78%,0.52,-34.65%,-3150手,7.4,14.2万手,16.4万手,0.86,1592手,50手,3.03,13.7亿,103亿元,13.7亿,103亿元,-1.84%,-0.66%,7.52%,23.68%
