序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1,'688182,灿勤科技,43.84,20.01%,7.31,12.5万手,84手,43.84,--,0.00%,3.13%,5.42亿,2685.55 ①,通信设备,43.84,39.2,39.2,36.53,12.70%,1.22,100.00%,2.38万手,43.34,9.39万手,3.12万手,3.01,2.20万手,0手,7.76,4.00亿,175亿元,4.00亿,175亿元,20.11%,23.32%,7.48%,15.91%
2,'688360,德马科技,24.18,20.00%,4.03,36.0万手,1336手,24.18,--,0.00%,14.26%,8.25亿,43.02 ①,其他通用设备,24.18,21.02,21.05,20.15,15.68%,7.27,100.00%,6.04万手,22.95,15.3万手,20.7万手,0.74,5.93万手,0手,4.28,2.64亿,63.8亿元,2.52亿,61.0亿元,26.00%,20.42%,19.87%,24.06%
3,'688419,耐科装备,55.14,20.00%,9.19,8.07万手,99手,55.14,--,0.00%,7.04%,4.07亿,110.26 ①,半导体设备,55.14,44.92,45.51,45.95,22.24%,1.96,100.00%,1.37万手,50.49,3.74万手,4.33万手,0.86,1.32万手,0手,6,1.15亿,63.2亿元,1.15亿,63.2亿元,23.77%,16.55%,14.33%,25.02%
4,'688126,沪硅产业,29.52,20.00%,4.92,261万手,1.27万手,29.52,--,0.00%,9.54%,70.2亿,亏损 ①,半导体,29.52,23.96,24.41,24.6,22.60%,1.77,100.00%,11.0万手,26.94,116万手,144万手,0.81,10.9万手,0手,5.8,33.1亿,976亿元,27.3亿,806亿元,18.22%,22.03%,19.90%,36.47%
5,'688610,埃科光电,164.71,20.00%,27.45,3.92万手,41手,164.71,--,0.00%,9.57%,6.02亿,120.67 ①,通用设备,164.71,134.78,136,137.26,21.81%,1.83,100.00%,2283手,153.75,1.75万手,2.16万手,0.81,2222手,0手,7.21,6800万,112亿元,4093万,67.4亿元,25.25%,18.24%,19.63%,35.73%
6,'688260,昀冢科技,59.11,20.00%,9.85,12.2万手,108手,59.11,--,0.00%,10.13%,6.75亿,亏损 ①,消费电子,59.11,49.26,49.69,49.26,20.00%,1.21,100.00%,1.60万手,55.55,5.45万手,6.71万手,0.81,1.57万手,0手,43.92,1.20亿,70.9亿元,1.20亿,70.9亿元,16.45%,16.61%,25.35%,51.91%
7,'688507,索辰科技,152.3,18.04%,23.28,19.3万手,1413手,152.28,152.3,-0.46%,39.15%,27.7亿,亏损 ①,软件开发,154.82,135,141.3,129.02,15.36%,4.4,-46.43%,-71手,143.88,8.89万手,10.4万手,0.86,22手,43手,4.91,8911万,136亿元,4924万,75.0亿元,63.89%,55.65%,72.14%,83.65%
8,'688521,芯原股份,299.91,15.57%,40.41,40.6万手,3342手,299.91,299.92,0.07%,7.71%,113亿,亏损 ①,数字芯片设计,301,252.78,257.37,259.5,18.58%,1.53,4.18%,7手,278.86,15.3万手,25.2万手,0.61,7手,4手,50.12,5.26亿,1577亿元,5.26亿,1577亿元,12.79%,12.16%,16.52%,32.91%
9,'688292,浩瀚深度,27.74,12.99%,3.19,16.8万手,1145手,27.74,27.75,0.11%,10.63%,4.55亿,亏损 ①,计算机,28.3,24.58,24.58,24.55,15.15%,4.6,83.50%,686手,27.04,7.57万手,9.27万手,0.82,12手,1手,4.51,1.58亿,43.9亿元,1.58亿,43.9亿元,19.06%,12.58%,15.79%,22.18%
10,'688691,灿芯股份,122.14,12.99%,14.04,15.7万手,1383手,122.13,122.14,0.00%,21.55%,18.2亿,亏损 ①,半导体,122.85,106.88,109.92,108.1,14.77%,1.7,-38.01%,-231手,115.77,6.02万手,9.70万手,0.62,150手,260手,12.15,1.20亿,147亿元,7297万,89.1亿元,4.87%,-1.35%,48.05%,85.06%
11,'688099,晶晨股份,122.3,12.10%,13.2,32.2万手,1871手,122.3,122.31,-0.02%,7.63%,37.6亿,74.34 ①,数字芯片设计,123.2,108,110.01,109.1,13.93%,1.79,-77.70%,-334手,117.09,14.8万手,17.4万手,0.85,18手,4手,6.84,4.21亿,515亿元,4.21亿,515亿元,9.36%,8.14%,16.03%,29.02%
12,'688629,华丰科技,147.24,11.71%,15.44,35.1万手,3311手,147.24,147.25,-0.03%,19.31%,48.6亿,161.44 ①,国防军工,148,127.51,133,131.8,15.55%,1.64,-35.29%,-255手,138.47,12.7万手,22.4万手,0.57,65手,443手,35.22,4.61亿,679亿元,1.82亿,268亿元,12.23%,5.54%,42.10%,78.06%
13,'688135,利扬芯片,43.8,11.45%,4.5,33.1万手,5844手,43.79,43.8,0.09%,14.20%,13.8亿,746.65 ①,半导体,43.89,38.8,40,39.3,12.95%,1.31,10.06%,120手,41.76,14.5万手,18.6万手,0.78,95手,355手,6.44,2.33亿,102亿元,2.33亿,102亿元,10.91%,12.77%,39.51%,68.56%
14,'688711,宏微科技,34.87,10.87%,3.42,21.8万手,1729手,34.86,34.87,0.06%,10.21%,7.31亿,2043.37 ①,分立器件,34.89,31.5,31.5,31.45,10.78%,1.15,-28.51%,-378手,33.59,8.89万手,12.9万手,0.69,19手,458手,7.07,2.13亿,74.3亿元,2.13亿,74.3亿元,1.25%,13.73%,26.54%,54.46%
15,'688702,盛科通信-U,316,10.67%,30.47,12.2万手,961手,315.99,316,0.00%,6.03%,36.9亿,亏损 ①,数字芯片设计,318.79,283.01,289,285.53,12.53%,1.34,-68.93%,-434手,301.05,5.07万手,7.18万手,0.71,84手,516手,58.05,4.10亿,1296亿元,2.03亿,641亿元,8.22%,-1.26%,13.25%,28.62%
16,'600481,双良节能,7.21,10.08%,0.66,181万手,4561手,7.21,--,0.00%,8.78%,12.8亿,亏损 ①,电力设备,7.21,6.61,6.62,6.55,9.16%,0.92,100.00%,15.1万手,7.05,86.2万手,95.1万手,0.91,14.3万手,0手,3.43,20.6亿,149亿元,20.6亿,149亿元,3.59%,11.61%,31.86%,56.81%
17,'603466,风语筑,11.17,10.05%,1.02,65.3万手,959手,11.17,--,0.00%,10.98%,7.17亿,38.98 ①,其他数字媒体,11.17,10.1,10.25,10.15,10.54%,1.82,100.00%,7.28万手,10.98,35.5万手,29.8万手,1.19,7.01万手,0手,3.19,5.95亿,66.4亿元,5.95亿,66.4亿元,13.40%,10.92%,19.72%,41.22%
18,'603999,读者传媒,7.45,10.04%,0.68,31.3万手,392手,7.45,--,0.00%,5.44%,2.25亿,112.78 ①,出版,7.45,6.71,6.72,6.77,10.93%,3.12,100.00%,7.43万手,7.19,15.4万手,16.0万手,0.96,7.26万手,0手,2.07,5.76亿,42.9亿元,5.76亿,42.9亿元,14.79%,9.56%,10.23%,14.16%
19,'600246,万通发展,13.92,10.04%,1.27,151万手,1757手,13.92,--,0.00%,7.97%,20.0亿,亏损 ①,房地产开发,13.92,12.2,12.6,12.65,13.60%,1.07,100.00%,8.23万手,13.29,65.2万手,85.4万手,0.76,7.89万手,0手,5.92,19.4亿,270亿元,18.9亿,263亿元,11.18%,7.99%,26.62%,45.20%
20,'603636,南威软件,12.61,10.03%,1.15,49.0万手,1365手,12.61,--,0.00%,8.44%,6.01亿,亏损 ①,IT服务Ⅲ,12.61,11.23,11.44,11.46,12.04%,0.91,100.00%,5.95万手,12.27,29.5万手,19.5万手,1.52,5.74万手,0手,3.96,5.80亿,73.2亿元,5.80亿,73.2亿元,16.87%,14.22%,24.68%,55.01%
21,'603608,天创时尚,16.89,10.03%,1.54,19.5万手,130手,16.89,--,0.00%,4.66%,3.19亿,136.29 ①,鞋帽及其他,16.89,15.2,15.2,15.35,11.01%,0.61,100.00%,3.63万手,16.33,10.9万手,8.69万手,1.25,3.49万手,0手,6.48,4.20亿,70.9亿元,4.20亿,70.9亿元,16.72%,18.78%,28.16%,42.66%
22,'603727,博迈科,18.87,10.03%,1.72,6.82万手,27手,18.87,--,0.00%,2.42%,1.25亿,亏损 ①,油服工程,18.87,16.98,16.98,17.15,11.02%,1.93,100.00%,3.41万手,18.28,3.81万手,3.01万手,1.27,2.96万手,0手,1.69,2.82亿,53.2亿元,2.82亿,53.2亿元,12.66%,7.22%,5.21%,8.69%
23,'605218,伟时电子,21.29,10.03%,1.94,10.4万手,18手,21.29,--,0.00%,4.87%,2.15亿,亏损 ①,面板,21.29,19.35,19.35,19.35,10.03%,2.56,100.00%,3.64万手,20.74,4.66万手,5.72万手,0.82,3.53万手,0手,2.91,2.43亿,51.7亿元,2.13亿,45.3亿元,18.21%,15.14%,9.69%,14.39%
24,'600831,广电网络,4.39,10.03%,0.4,73.5万手,673手,4.39,--,0.00%,10.34%,3.11亿,亏损 ①,传媒,4.39,3.89,3.96,3.99,12.53%,3.64,100.00%,6.20万手,4.24,37.8万手,35.7万手,1.06,6.04万手,0手,8.81,7.11亿,31.2亿元,7.11亿,31.2亿元,15.83%,12.28%,20.46%,24.53%
25,'600506,统一股份,19.98,10.02%,1.82,6.39万手,140手,19.98,--,0.00%,2.56%,1.28亿,19.77 ①,石油石化,19.98,19.98,19.98,18.16,0.00%,0.74,100.00%,5.67万手,19.98,6.39万手,0手,1,5.54万手,0手,7.57,2.50亿,49.9亿元,2.50亿,49.9亿元,10.20%,8.18%,9.11%,19.88%
26,'603333,尚纬股份,10.1,10.02%,0.92,30.7万手,1746手,10.1,--,0.00%,4.94%,3.03亿,2864.57 ①,电力设备,10.1,9.14,9.14,9.18,10.46%,0.84,100.00%,7.54万手,9.86,17.8万手,12.9万手,1.38,7.13万手,0手,3.07,6.22亿,62.8亿元,6.22亿,62.8亿元,15.17%,18.13%,23.74%,34.32%
27,'600850,电科数字,22.51,10.02%,2.05,49.0万手,165手,22.51,--,0.00%,7.20%,10.7亿,151.68 ①,IT服务Ⅲ,22.51,21,21.1,20.46,7.38%,3.5,100.00%,2.45万手,21.95,26.1万手,22.8万手,1.15,2.24万手,0手,3.12,6.80亿,153亿元,6.80亿,153亿元,17.55%,11.93%,11.73%,17.49%
28,'600021,上海电力,18.45,10.02%,1.68,78.0万手,1678手,18.45,--,0.00%,2.76%,14.0亿,22.95 ①,电力,18.45,16.56,16.8,16.77,11.27%,1.12,100.00%,15.3万手,18,55.9万手,22.1万手,2.53,14.8万手,0手,2.5,28.2亿,521亿元,28.2亿,521亿元,5.19%,2.05%,6.76%,15.15%
29,'600452,涪陵电力,13.62,10.02%,1.24,118万手,1858手,13.62,--,0.00%,7.67%,15.7亿,40.77 ①,电力,13.62,12.1,12.34,12.38,12.28%,1.4,100.00%,4.67万手,13.29,48.0万手,69.9万手,0.69,3.93万手,0手,3.64,15.4亿,209亿元,15.4亿,209亿元,2.41%,12.28%,17.72%,35.04%
30,'603316,诚邦股份,22.52,10.01%,2.05,30.4万手,188手,22.52,--,0.00%,11.49%,6.61亿,63.33 ①,建筑装饰,22.52,19.85,20.09,20.47,13.04%,1.29,100.00%,2.20万手,21.77,17.2万手,13.1万手,1.31,2.10万手,0手,10.77,2.64亿,59.5亿元,2.64亿,59.5亿元,21.86%,17.23%,30.86%,55.87%
31,'605358,立昂微,55.17,10.01%,5.02,64.5万手,968手,55.17,--,0.00%,9.61%,33.8亿,1281.73 ①,半导体,55.17,49.58,50.48,50.15,11.15%,1.24,100.00%,4.43万手,52.34,29.4万手,35.1万手,0.84,4.36万手,0手,5.31,6.71亿,370亿元,6.71亿,370亿元,7.02%,10.03%,24.12%,48.27%
32,'603067,振华股份,43.09,10.01%,3.92,46.6万手,1127手,43.09,--,0.00%,6.17%,19.5亿,66.92 ①,化学原料,43.09,39.98,39.98,39.17,7.94%,1.47,100.00%,2.79万手,41.81,20.8万手,25.8万手,0.81,2.67万手,0手,7.95,7.56亿,326亿元,7.56亿,326亿元,10.15%,7.51%,15.30%,27.11%
33,'605288,凯迪股份,95.1,10.01%,8.65,1.89万手,87手,95.1,--,0.00%,2.70%,1.72亿,亏损 ①,工控设备,95.1,86.8,88.18,86.45,9.60%,1.5,100.00%,7121手,91.07,9511手,9422手,1.01,6793手,0手,3,7067万,67.2亿元,7020万,66.8亿元,20.46%,12.44%,7.59%,11.68%
34,'688585,上纬新材,157.55,10.01%,14.33,9.18万手,740手,157.54,157.55,0.01%,2.28%,14.3亿,亏损 ①,合成树脂,162.86,146.4,146.4,143.22,11.49%,1.38,10.64%,36手,155.37,4.13万手,5.05万手,0.82,26手,65手,48.86,4.03亿,635亿元,4.03亿,635亿元,20.11%,17.75%,6.06%,10.54%
35,'603380,易德龙,43.1,10.01%,3.92,8.42万手,691手,43.1,--,0.00%,5.25%,3.51亿,56.63 ①,消费电子,43.1,39.3,39.3,39.18,9.70%,2.18,100.00%,1.99万手,41.68,3.73万手,4.70万手,0.79,1.93万手,0手,4.29,1.60亿,69.2亿元,1.60亿,69.2亿元,16.61%,12.36%,11.02%,17.30%
36,'603115,海星股份,91.6,10.00%,8.33,8.76万手,40手,91.6,--,0.00%,3.62%,7.55亿,139.69 ①,被动元件,91.6,81.66,86.24,83.27,11.94%,1.01,100.00%,6924手,86.17,4.56万手,4.19万手,1.09,6632手,0手,10.23,2.42亿,222亿元,2.42亿,222亿元,30.02%,46.68%,10.68%,21.61%
37,'603163,圣晖集成,122.08,10.00%,11.1,5.29万手,72手,122.08,--,0.00%,5.29%,6.09亿,78.87 ①,建筑装饰,122.08,107,115,110.98,13.59%,1.31,100.00%,7772手,114.94,2.55万手,2.74万手,0.93,7606手,0手,10.21,1.00亿,122亿元,1.00亿,122亿元,14.32%,14.95%,16.28%,25.48%
38,'600563,法拉电子,147.6,10.00%,13.42,13.5万手,1031手,147.6,--,0.00%,6.02%,19.2亿,31.01 ①,被动元件,147.6,131,132.58,134.18,12.37%,1.62,100.00%,6353手,141.44,6.28万手,7.27万手,0.86,5897手,0手,5.27,2.25亿,332亿元,2.25亿,332亿元,12.78%,14.69%,13.34%,24.59%
39,'605376,博迁新材,129.79,10.00%,11.8,21.7万手,62手,129.79,--,0.00%,8.29%,27.1亿,118.51 ①,有色金属,129.79,113.75,117.41,117.99,13.59%,1.94,100.00%,3556手,124.97,11.8万手,9.93万手,1.18,3423手,0手,19.29,2.62亿,340亿元,2.62亿,340亿元,7.04%,-5.92%,16.25%,29.61%
40,'603108,润达医疗,15.07,10.00%,1.37,60.9万手,3432手,15.07,--,0.00%,10.08%,8.81亿,亏损 ①,医疗服务,15.07,13.47,13.71,13.7,11.68%,3.69,100.00%,9195手,14.48,25.6万手,35.3万手,0.72,8590手,0手,2.47,6.04亿,91.0亿元,6.04亿,91.0亿元,17.73%,9.76%,16.99%,23.74%
41,'603823,百合花,22.99,10.00%,2.09,24.4万手,53手,22.99,--,0.00%,5.86%,5.51亿,55.73 ①,化学制品,22.99,20.7,20.7,20.9,10.96%,1.5,100.00%,3748手,22.59,14.4万手,9.96万手,1.45,3346手,0手,3.82,4.16亿,95.7亿元,4.16亿,95.7亿元,9.79%,27.16%,13.51%,25.36%
42,'603178,圣龙股份,23.76,10.00%,2.16,24.0万手,240手,23.76,--,0.00%,10.15%,5.53亿,74.39 ①,底盘与发动机系统,23.76,21.4,21.7,21.6,10.93%,0.89,100.00%,5.46万手,23.05,11.0万手,13.0万手,0.84,5.36万手,0手,4.91,2.36亿,56.2亿元,2.36亿,56.2亿元,14.23%,18.03%,36.10%,67.09%
43,'603989,艾华集团,24.2,10.00%,2.2,27.1万手,129手,24.2,--,0.00%,6.79%,6.31亿,35.06 ①,被动元件,24.2,22.01,22.5,22,9.95%,2.37,100.00%,9789手,23.28,13.3万手,13.8万手,0.96,8709手,0手,2.44,3.99亿,96.5亿元,3.99亿,96.5亿元,18.05%,13.51%,13.58%,21.14%
44,'600758,辽宁能源,5.17,10.00%,0.47,198万手,2439手,5.17,--,0.00%,14.98%,9.92亿,亏损 ①,煤炭开采,5.17,4.8,4.84,4.7,7.87%,1.37,100.00%,15.7万手,5.01,93.7万手,104万手,0.9,15.0万手,0手,1.28,13.2亿,68.3亿元,13.2亿,68.3亿元,11.18%,27.97%,33.40%,69.84%
45,'603083,XD剑桥科,202.42,10.00%,18.4,35.6万手,1954手,202.42,--,0.00%,12.90%,66.4亿,150.82 ①,通信设备,202.42,173.83,184.02,184.02,15.54%,1.18,100.00%,4625手,186.85,18.0万手,17.6万手,1.02,4478手,0手,9.44,3.53亿,714亿元,2.76亿,558亿元,5.65%,2.48%,32.36%,67.69%
46,'603311,金海高科,27.95,10.00%,2.54,38.3万手,125手,27.95,--,0.00%,16.25%,10.4亿,46.58 ①,家用电器,27.95,25.98,25.98,25.41,7.75%,2.88,100.00%,1.79万手,27.21,17.9万手,20.4万手,0.88,1.61万手,0手,4.89,2.36亿,65.9亿元,2.36亿,65.9亿元,21.00%,21.00%,25.87%,25.87%
47,'605488,福莱新材,38.52,9.99%,3.5,7.06万手,164手,38.52,--,0.00%,2.55%,2.69亿,154.34 ①,膜材料,38.52,37.04,37.04,35.02,4.23%,0.85,100.00%,5.07万手,38.19,5.73万手,1.32万手,4.33,4.97万手,0手,5.14,3.02亿,116亿元,2.76亿,106亿元,12.86%,5.53%,9.67%,17.58%
48,'603082,北自科技,51.18,9.99%,4.65,5.16万手,229手,51.18,--,0.00%,12.73%,2.64亿,109.20 ①,其他自动化设备,51.18,51.17,51.18,46.53,0.02%,0.64,100.00%,3.20万手,51.18,3.87万手,1.30万手,2.98,3.16万手,0手,4.98,1.62亿,83.0亿元,4056万,20.8亿元,33.11%,43.16%,96.43%,113.01%
49,'603938,三孚股份,48.87,9.99%,4.44,33.4万手,298手,48.87,--,0.00%,8.73%,16.0亿,120.32 ①,化学原料,48.87,44.64,45.53,44.43,9.52%,1.11,100.00%,1.23万手,47.76,18.9万手,14.5万手,1.3,1.14万手,0手,7.36,3.83亿,187亿元,3.83亿,187亿元,14.45%,37.55%,23.02%,48.14%
50,'603779,威龙股份,12,9.99%,1.09,6.49万手,860手,12,--,0.00%,1.95%,7783万,亏损 ①,食品饮料,12,12,12,10.91,0.00%,0.61,100.00%,37.4万手,12,6.49万手,0手,1,37.2万手,0手,8.13,3.32亿,39.8亿元,3.32亿,39.8亿元,33.04%,61.07%,4.56%,6.42%
51,'600353,旭光电子,23.23,9.99%,2.11,68.5万手,955手,23.23,--,0.00%,8.26%,15.4亿,144.23 ①,其他电子Ⅲ,23.23,21.08,21.11,21.12,10.18%,0.81,100.00%,3.19万手,22.46,31.8万手,36.6万手,0.87,2.93万手,0手,9.97,8.29亿,193亿元,8.29亿,193亿元,10.09%,24.22%,26.01%,59.47%
52,'600186,莲花控股,11.56,9.99%,1.05,380万手,3519手,11.56,--,0.00%,21.25%,42.7亿,36.11 ①,调味发酵品Ⅲ,11.56,10.11,10.59,10.51,13.80%,1.53,100.00%,9.41万手,11.22,175万手,205万手,0.85,9.03万手,0手,10.98,17.9亿,207亿元,17.9亿,207亿元,9.68%,12.23%,45.29%,90.56%
53,'603206,嘉环科技,21.03,9.99%,1.91,16.5万手,105手,21.03,--,0.00%,5.40%,3.35亿,110.52 ①,通信工程及服务,21.03,19.31,19.36,19.12,9.00%,2.28,100.00%,5.30万手,20.34,8.34万手,8.13万手,1.03,5.03万手,0手,2.81,3.05亿,64.2亿元,3.05亿,64.2亿元,20.24%,19.76%,11.63%,17.24%
54,'600903,贵州燃气,9.69,9.99%,0.88,58.3万手,699手,9.69,--,0.00%,5.07%,5.61亿,27.48 ①,燃气Ⅱ,9.69,9.3,9.4,8.81,4.43%,0.72,100.00%,5.96万手,9.62,40.9万手,17.4万手,2.35,5.34万手,0手,3.64,11.5亿,111亿元,11.5亿,111亿元,26.34%,50.93%,25.88%,40.23%
55,'600835,上海机电,25.99,9.99%,2.36,28.8万手,1108手,25.99,--,0.00%,3.58%,7.21亿,37.24 ①,专用设备,25.99,23.02,23.6,23.63,12.57%,2.64,100.00%,2.14万手,25,14.2万手,14.7万手,0.97,2.07万手,0手,1.88,10.2亿,266亿元,8.07亿,210亿元,13.44%,5.44%,6.84%,10.35%
56,'600936,北投科技,5.84,9.98%,0.53,61.1万手,764手,5.84,--,0.00%,3.66%,3.51亿,97.73 ①,IT服务Ⅲ,5.84,5.25,5.25,5.31,11.11%,0.43,100.00%,10.4万手,5.74,32.5万手,28.6万手,1.14,9.92万手,0手,9.82,16.7亿,97.6亿元,16.7亿,97.6亿元,8.96%,14.51%,17.16%,46.37%
57,'600310,广西能源,5.62,9.98%,0.51,143万手,2186手,5.62,--,0.00%,9.75%,7.74亿,亏损 ①,电力,5.62,4.98,5.1,5.11,12.52%,0.95,100.00%,15.2万手,5.41,64.3万手,78.6万手,0.82,13.7万手,0手,3.03,14.7亿,82.4亿元,14.7亿,82.4亿元,8.49%,5.05%,24.33%,61.09%
58,'601222,林洋能源,6.84,9.97%,0.62,110万手,1693手,6.84,--,0.00%,5.38%,7.31亿,57.97 ①,电力设备,6.84,6.17,6.22,6.22,10.77%,3.38,100.00%,17.2万手,6.65,65.8万手,44.1万手,1.49,16.9万手,0手,0.93,20.4亿,140亿元,20.4亿,140亿元,9.44%,9.27%,8.17%,13.34%
59,'600863,华能蒙电,5.42,9.94%,0.49,160万手,3092手,5.42,--,0.00%,2.45%,8.54亿,15.29 ①,电力,5.42,4.97,4.97,4.93,9.13%,1.47,100.00%,40.9万手,5.34,114万手,46.1万手,2.47,39.2万手,0手,2.03,78.4亿,425亿元,65.3亿,354亿元,11.29%,12.92%,5.02%,10.78%
60,'600626,申达股份,4.21,9.92%,0.38,33.1万手,1748手,4.21,--,0.00%,2.99%,1.38亿,亏损 ①,车身附件及饰件,4.21,3.83,3.83,3.83,9.92%,1.35,100.00%,5.85万手,4.17,21.3万手,11.8万手,1.8,5.10万手,0手,1.73,13.2亿,55.6亿元,11.1亿,46.6亿元,11.38%,4.99%,9.55%,14.05%
61,'601929,吉视传媒,3.33,9.90%,0.3,326万手,4666手,3.33,--,0.00%,9.34%,10.6亿,亏损 ①,传媒,3.33,3,3.01,3.03,10.89%,2.55,100.00%,37.2万手,3.24,145万手,181万手,0.8,34.5万手,0手,2.48,34.9亿,116亿元,34.9亿,116亿元,15.62%,9.90%,19.21%,27.67%
62,'688623,双元科技,106.01,9.89%,9.54,3.31万手,162手,106.01,106.03,0.02%,17.30%,3.43亿,84.19 ①,其他自动化设备,106.01,101,101,96.47,5.19%,4.5,-14.49%,-27手,103.7,1.69万手,1.62万手,1.04,10手,10手,2.93,5914万,62.7亿元,1914万,20.3亿元,13.51%,10.97%,26.70%,36.54%
63,'688345,博力威,57.92,9.82%,5.18,6.58万手,621手,57.91,57.92,0.00%,6.58%,3.85亿,52.39 ①,电力设备,62.62,53.4,53.73,52.74,17.48%,1.85,-22.59%,-48手,58.53,3.33万手,3.25万手,1.02,2手,29手,4.98,1.01亿,58.6亿元,1.00亿,57.9亿元,1.22%,7.26%,14.02%,24.33%
64,'688229,博睿数据,100.99,9.55%,8.8,4.29万手,818手,100.98,100.99,0.04%,9.67%,4.21亿,亏损 ①,IT服务Ⅲ,101,91.01,92,92.19,10.84%,1.25,-28.96%,-73手,98.08,1.49万手,2.81万手,0.53,54手,68手,12.26,4440万,44.8亿元,4440万,44.8亿元,11.59%,-0.40%,22.13%,48.48%
65,'688010,福光股份,40.36,9.47%,3.49,14.4万手,1608手,40.35,40.36,0.00%,8.94%,5.60亿,亏损 ①,光学元件,40.99,36.56,37.5,36.87,12.02%,2.43,-29.53%,-46手,39.01,6.52万手,7.83万手,0.83,6手,12手,3.78,1.61亿,64.8亿元,1.61亿,64.8亿元,19.59%,15.08%,18.43%,27.31%
66,'688586,江航装备,15,9.33%,1.28,19.3万手,1556手,14.99,15,0.00%,2.44%,2.77亿,186.28 ①,国防军工,15.1,13.41,14.01,13.72,12.32%,2.35,-79.86%,-1668手,14.35,8.92万手,10.4万手,0.86,5手,1015手,4.76,7.91亿,119亿元,7.91亿,119亿元,5.71%,3.38%,4.40%,7.63%
67,'688012,中微公司,479.51,9.29%,40.76,30.0万手,4593手,479.51,479.58,0.11%,4.78%,138亿,81.02 ①,半导体设备,480,428.1,432.17,438.75,11.83%,1.24,93.16%,489手,459.23,13.8万手,16.3万手,0.85,5手,4手,12.35,6.29亿,3015亿元,6.29亿,3015亿元,23.85%,24.99%,15.28%,24.07%
68,'688577,浙海德曼,89.06,9.16%,7.47,4.08万手,260手,89.04,89.06,-0.09%,3.66%,3.53亿,149.57 ①,通用设备,91.84,81.6,82.03,81.59,12.55%,1.3,43.24%,117手,86.51,1.77万手,2.31万手,0.77,1手,31手,9.57,1.11亿,99.1亿元,1.11亿,99.1亿元,14.16%,12.32%,8.72%,17.72%
69,'688316,青云科技-U,80.2,9.00%,6.62,6.52万手,797手,80.2,80.21,0.00%,13.60%,5.02亿,亏损 ①,IT服务Ⅲ,80.48,72.12,73.58,73.58,11.36%,1.57,-45.12%,-235手,77.07,2.46万手,4.06万手,0.61,44手,9手,72.29,4790万,38.4亿元,4790万,38.4亿元,7.12%,3.10%,29.17%,57.02%
70,'603283,赛腾股份,69.76,8.95%,5.73,29.9万手,4784手,69.75,69.76,0.24%,11.03%,20.1亿,51.93 ①,工控设备,69.99,62.43,64,64.03,11.81%,1.42,-29.94%,-75手,67.33,13.8万手,16.1万手,0.86,5手,113手,5.31,2.71亿,189亿元,2.71亿,189亿元,13.43%,20.84%,29.08%,49.78%
71,'600023,浙能电力,6.7,8.94%,0.55,271万手,2.07万手,6.69,6.7,0.00%,2.02%,17.7亿,23.71 ①,电力,6.77,6.1,6.15,6.15,10.89%,2.93,-23.43%,-5405手,6.52,126万手,145万手,0.87,1487手,636手,1.16,134亿,898亿元,134亿,898亿元,11.11%,13.18%,3.50%,5.46%
72,'688449,联芸科技,73.83,8.94%,6.06,26.7万手,2061手,73.8,73.83,0.24%,9.10%,18.9亿,958.26 ①,数字芯片设计,76.22,65.57,66.3,67.77,15.71%,1.46,-23.17%,-55手,71.01,12.4万手,14.3万手,0.87,8手,3手,17.62,4.60亿,340亿元,2.93亿,216亿元,10.19%,7.83%,22.25%,40.27%
73,'600888,新疆众和,9.19,8.89%,0.75,90.2万手,9402手,9.18,9.19,-0.22%,5.81%,8.06亿,13.48 ①,有色金属,9.25,8.34,8.45,8.44,10.78%,2.64,-76.05%,-9411手,8.93,37.4万手,52.8万手,0.71,514手,787手,1.11,15.5亿,143亿元,15.5亿,143亿元,7.11%,6.61%,10.51%,16.80%
74,'688697,纽威数控,25.04,8.87%,2.04,35.3万手,4558手,25.04,25.05,-0.24%,7.72%,8.71亿,42.95 ①,通用设备,25.97,23.26,23.26,23,11.78%,1.77,13.42%,182手,24.66,17.2万手,18.1万手,0.95,201手,25手,5.98,4.57亿,115亿元,4.57亿,115亿元,24.27%,20.56%,22.35%,29.59%
75,'688361,中科飞测,220.5,8.81%,17.85,13.1万手,1452手,220.48,220.5,-0.68%,3.75%,27.8亿,亏损 ①,半导体设备,223,195.44,202.64,202.65,13.60%,1.22,-80.65%,-570手,211.95,6.47万手,6.65万手,0.97,61手,596手,15.22,3.50亿,772亿元,3.50亿,772亿元,8.08%,13.81%,11.01%,19.05%
76,'688598,金博股份,36.46,8.67%,2.91,18.8万手,2019手,36.45,36.46,0.00%,9.25%,6.72亿,亏损 ①,电力设备,36.6,33.15,33.33,33.55,10.28%,1,-85.50%,-1118手,35.67,8.81万手,10.0万手,0.88,16手,535手,1.96,2.08亿,75.7亿元,2.04亿,74.2亿元,14.12%,28.20%,28.40%,55.49%
77,'688627,精智达,396.4,8.61%,31.43,7.20万手,439手,396.4,397,-0.18%,9.94%,27.3亿,641.08 ①,通用设备,398.33,355.02,361.11,364.97,11.87%,1.07,-47.73%,-35手,379.37,3.18万手,4.02万手,0.79,6手,23手,21.39,9413万,373亿元,7247万,287亿元,13.81%,15.14%,34.78%,56.36%
