序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
183,'920790,联迪信息,23.79,1.45%,0.34,6692手,184手,23.76,23.79,0.04%,1.23%,1586万,亏损 ①,IT服务Ⅲ,23.92,23.35,23.63,23.45,2.43%,0.68,-66.12%,-174手,23.7,3389手,3303手,1.03,15手,7手,6.06,7897万,18.8亿元,5435万,12.9亿元,-0.46%,-7.61%,4.50%,10.25%
184,'920792,东和新材,11.24,1.44%,0.16,9539手,150手,11.23,11.24,0.09%,0.94%,1062万,19.18 ①,耐火材料,11.28,10.79,10.79,11.08,4.42%,0.89,-61.59%,-360手,11.13,5236手,4302手,1.22,40手,38手,1.74,1.66亿,18.6亿元,1.02亿,11.4亿元,-0.97%,-3.19%,2.71%,6.20%
185,'920239,长虹能源,29.15,1.43%,0.41,1.24万手,132手,29.13,29.15,0.24%,0.69%,3601万,20.08 ①,电力设备,29.26,28.62,28.82,28.74,2.23%,0.67,33.80%,349手,29.03,5746手,6658手,0.86,352手,237手,4.61,1.82亿,53.1亿元,1.80亿,52.4亿元,0.55%,-5.23%,2.61%,5.87%
186,'920946,森萱医药,10.14,1.40%,0.14,1.56万手,110手,10.14,10.17,-0.39%,0.37%,1583万,23.00 ①,化学制药,10.23,9.97,10.08,10,2.60%,0.53,-54.52%,-863手,10.15,6614手,8991手,0.74,126手,55手,3.29,4.27亿,43.3亿元,4.27亿,43.3亿元,0.40%,-5.76%,1.58%,3.81%
187,'920799,艾融软件,34.96,1.39%,0.48,1.64万手,193手,34.96,34.97,0.00%,1.37%,5727万,456.28 ①,软件开发,35.14,34.53,34.69,34.48,1.77%,0.7,32.14%,191手,34.88,7256手,9161手,0.79,6手,3手,17.48,2.09亿,73.1亿元,1.20亿,42.0亿元,-0.03%,-6.77%,4.60%,11.13%
188,'920396,常辅股份,28.68,1.38%,0.39,1.17万手,247手,28.67,28.68,0.03%,2.28%,3350万,73.36 ①,其他自动化设备,29.04,28,28.16,28.29,3.68%,0.66,-46.28%,-234手,28.61,5703手,6007手,0.95,2手,15手,5.61,7222万,20.7亿元,5131万,14.7亿元,-2.38%,-4.18%,8.11%,19.53%
189,'920018,宏远股份,28,1.38%,0.38,1.00万手,148手,27.98,28,0.00%,2.27%,2798万,31.54 ①,电力设备,28.06,27.4,27.52,27.62,2.39%,0.36,-47.28%,-150手,27.86,4296手,5747手,0.75,10手,36手,3.82,1.27亿,35.7亿元,4422万,12.4亿元,-3.51%,-4.50%,11.77%,33.86%
190,'920019,铜冠矿建,17.77,1.37%,0.24,1.40万手,166手,17.76,17.77,0.11%,0.83%,2483万,55.91 ①,建筑装饰,17.97,17.39,17.41,17.53,3.31%,0.63,53.60%,247手,17.76,7437手,6543手,1.14,22手,5手,4,2.10亿,37.4亿元,1.68亿,29.8亿元,-1.28%,-4.67%,3.21%,7.47%
191,'920091,大鹏工业,51.24,1.34%,0.68,9880手,109手,51.24,51.39,0.25%,6.81%,5112万,亏损 ①,专用设备,53.19,50.5,51.1,50.56,5.32%,0.81,33.23%,85手,51.74,4981手,4899手,1.02,7手,4手,6.68,6147万,31.5亿元,1450万,7.43亿元,0.16%,-5.20%,17.45%,49.01%
192,'920720,吉冈精密,12.11,1.34%,0.16,1.26万手,153手,12.09,12.11,0.17%,1.70%,1519万,79.19 ①,通用设备,12.23,11.88,11.88,11.95,2.93%,0.67,8.80%,82手,12.09,5557手,7007手,0.79,388手,38手,5.87,2.65亿,32.1亿元,7402万,8.96亿元,-1.70%,-3.51%,7.90%,14.42%
193,'920429,康比特,12.49,1.30%,0.16,8571手,112手,12.49,12.5,0.00%,0.76%,1069万,亏损 ①,食品饮料,12.61,12.26,12.26,12.33,2.84%,0.27,-56.36%,-526手,12.47,4583手,3987手,1.15,165手,323手,1.86,1.24亿,15.5亿元,1.14亿,14.2亿元,-7.82%,1.46%,6.21%,14.53%
194,'920261,一诺威,14.88,1.29%,0.19,8134手,50手,14.88,14.89,0.00%,0.48%,1207万,17.85 ①,聚氨酯,14.98,14.69,14.73,14.69,1.97%,0.41,-56.77%,-397手,14.84,3554手,4581手,0.78,32手,110手,2.61,2.91亿,43.3亿元,1.71亿,25.5亿元,-3.31%,-4.62%,2.95%,6.22%
195,'920022,世昌股份,26.05,1.28%,0.33,2192手,96手,26.05,26.09,-0.42%,1.32%,571万,24.07 ①,汽车,26.33,25.67,25.67,25.72,2.57%,0.36,25.31%,18手,26.06,690手,1502手,0.46,13手,10手,3.53,6032万,15.7亿元,1662万,4.33亿元,0.73%,-1.06%,5.42%,19.72%
196,'920190,雷神科技,23.72,1.28%,0.3,1.24万手,301手,23.7,23.72,-0.13%,1.24%,2938万,40.45 ①,计算机,24.07,23.43,23.43,23.42,2.73%,0.69,45.20%,181手,23.78,6113手,6242手,0.98,99手,2手,2.74,1.00亿,23.7亿元,9944万,23.6亿元,0.25%,-4.16%,4.54%,10.23%
197,'920099,瑞华技术,30.05,1.28%,0.38,5829手,169手,30.03,30.05,0.17%,1.20%,1742万,亏损 ①,化学制品,30.17,29.66,29.66,29.67,1.72%,0.8,-70.58%,-129手,29.89,2491手,3338手,0.75,12手,35手,2.58,7840万,23.6亿元,4848万,14.6亿元,1.28%,0.64%,4.72%,8.71%
198,'920599,同力股份,18.35,1.27%,0.23,2.73万手,138手,18.35,18.36,-0.11%,0.78%,5004万,11.24 ①,工程机械整机,18.44,18.03,18.23,18.12,2.26%,0.77,-2.68%,-38手,18.3,1.16万手,1.57万手,0.74,156手,3手,2.23,4.63亿,84.9亿元,3.51亿,64.3亿元,-0.86%,-4.28%,2.93%,5.82%
199,'920006,晟楠科技,20,1.27%,0.25,6373手,54手,20,20.01,-0.05%,1.33%,1274万,亏损 ①,国防军工,20.24,19.63,19.75,19.75,3.09%,0.45,-15.16%,-47手,20,2447手,3926手,0.62,5手,76手,5.75,9029万,18.1亿元,4780万,9.56亿元,-0.35%,-2.87%,3.99%,16.01%
200,'920454,同心传动,14.6,1.25%,0.18,7436手,295手,14.59,14.6,-0.21%,1.51%,1085万,51.27 ①,底盘与发动机系统,14.8,14.36,14.38,14.42,3.05%,0.68,-76.19%,-466手,14.59,3295手,4142手,0.8,10手,168手,4.56,1.05亿,15.3亿元,4923万,7.19亿元,0.00%,-2.34%,5.95%,12.59%
201,'920896,旺成科技,17.13,1.24%,0.21,6406手,41手,17.13,17.18,0.06%,1.45%,1106万,31.01 ①,底盘与发动机系统,17.54,16.8,16.8,16.92,4.37%,0.78,-46.11%,-151手,17.26,2688手,3717手,0.72,29手,10手,3.78,1.01亿,17.3亿元,4430万,7.59亿元,0.53%,-3.98%,5.68%,10.77%
202,'920187,通领科技,36.22,1.14%,0.41,7333手,70手,36.2,36.22,0.30%,3.20%,2659万,21.41 ①,车身附件及饰件,36.6,35.97,36.22,35.81,1.76%,0.89,-9.60%,-52手,36.26,4185手,3149手,1.33,196手,111手,1.77,6240万,22.6亿元,2289万,8.29亿元,1.71%,-0.90%,9.44%,21.29%
203,'920100,三协电机,64.63,1.14%,0.73,4.45万手,433手,64.63,64.64,0.00%,22.76%,2.89亿,73.69 ①,电力设备,67.5,62.4,63.56,63.9,7.98%,1.17,54.02%,145手,64.82,2.38万手,2.07万手,1.15,41手,22手,10.02,7381万,47.7亿元,1957万,12.6亿元,13.03%,16.72%,91.45%,120.41%
204,'920523,德瑞锂电,22.18,1.14%,0.25,1.02万手,14手,22.18,22.2,0.00%,1.26%,2263万,22.12 ①,电力设备,22.43,21.48,21.48,21.93,4.33%,0.83,-49.54%,-167手,22.14,4485手,5735手,0.78,8手,26手,3.06,1.01亿,22.5亿元,8104万,18.0亿元,-1.07%,-5.90%,4.29%,8.90%
205,'920092,汉鑫科技,35.05,1.13%,0.39,4.54万手,499手,35.05,35.1,0.09%,13.78%,1.57亿,亏损 ①,IT服务Ⅲ,35.6,32.7,33.56,34.66,8.37%,2.1,24.66%,101手,34.48,2.49万手,2.05万手,1.21,44手,65手,6.2,6208万,21.8亿元,3295万,11.6亿元,17.85%,15.30%,34.28%,46.63%
206,'920047,诺思兰德,30.63,1.09%,0.33,2.84万手,151手,30.63,30.64,0.20%,1.58%,8747万,亏损 ①,生物制品,31.32,30.26,30.75,30.3,3.50%,0.51,22.64%,86手,30.76,1.47万手,1.38万手,1.07,167手,4手,31.63,2.74亿,84.0亿元,1.80亿,55.2亿元,-2.61%,-0.42%,5.95%,17.06%
207,'920839,万通液压,31.68,1.08%,0.34,5548手,25手,31.68,31.71,-0.09%,0.85%,1761万,36.09 ①,工程机械器件,32.2,31.2,31.3,31.34,3.19%,0.68,-60.62%,-188手,31.74,2760手,2788手,0.99,14手,188手,5.52,1.18亿,37.4亿元,6505万,20.6亿元,-0.19%,-4.03%,3.73%,7.11%
208,'920866,绿亨科技,7.52,1.08%,0.08,1.12万手,106手,7.51,7.52,-0.40%,0.98%,840万,44.04 ①,农化制品,7.57,7.4,7.42,7.44,2.28%,1.11,36.96%,734手,7.5,5184手,6011手,0.86,75手,1手,1.74,1.80亿,13.6亿元,1.14亿,8.58亿元,0.13%,-1.70%,2.68%,5.42%
209,'920765,美之高,15.3,1.06%,0.16,1.96万手,322手,15.3,15.32,-0.07%,3.71%,2992万,63.84 ①,定制家居,15.48,15,15.05,15.14,3.17%,0.59,22.67%,326手,15.28,9531手,1.00万手,0.95,224手,400手,4.29,8692万,13.3亿元,5281万,8.08亿元,-8.71%,-2.11%,16.19%,35.42%
210,'920522,纳科诺尔,49.92,1.05%,0.52,2.82万手,181手,49.92,49.93,0.00%,2.17%,1.40亿,168.62 ①,电力设备,50.3,48.18,49.4,49.4,4.29%,0.67,-17.49%,-39手,49.53,1.48万手,1.35万手,1.1,16手,24手,7.19,1.57亿,78.2亿元,1.30亿,64.9亿元,-1.15%,-12.28%,7.86%,18.31%
211,'920871,派特尔,13.69,1.03%,0.14,8120手,245手,13.65,13.69,0.37%,1.73%,1106万,67.61 ①,底盘与发动机系统,13.75,13.48,13.49,13.55,1.99%,0.65,5.70%,49手,13.62,3944手,4176手,0.94,30手,9手,4.33,8502万,11.6亿元,4701万,6.44亿元,0.81%,3.40%,8.70%,15.10%
212,'920541,铁大科技,12.3,0.99%,0.12,9226手,70手,12.29,12.3,0.16%,1.02%,1134万,22.26 ①,轨交设备Ⅱ,12.42,12.1,12.1,12.18,2.63%,0.42,-12.66%,-100手,12.29,4316手,4910手,0.88,106手,7手,3.46,1.37亿,16.8亿元,9006万,11.1亿元,-5.24%,-0.81%,4.88%,13.22%
213,'920575,*ST康乐,4.24,0.95%,0.04,5.33万手,1952手,4.24,4.25,0.24%,2.84%,2256万,亏损 ①,疫苗,4.33,4.19,4.2,4.2,3.33%,0.5,15.80%,741手,4.23,3.26万手,2.06万手,1.58,337手,552手,-16.44,2.81亿,11.9亿元,1.88亿,7.96亿元,-2.53%,-2.97%,10.02%,31.11%
214,'920171,志晟信息,21.5,0.94%,0.2,2.74万手,487手,21.44,21.5,0.09%,4.06%,5850万,986.14 ①,IT服务Ⅲ,21.72,20.95,21.16,21.3,3.62%,0.7,-62.52%,-288手,21.33,1.27万手,1.47万手,0.87,62手,241手,9.86,1.00亿,21.6亿元,6763万,14.5亿元,-0.09%,-8.47%,12.36%,33.02%
215,'920160,北矿检测,23.9,0.93%,0.22,5405手,40手,23.9,23.93,-0.21%,2.12%,1291万,25.67 ①,检测服务,24.15,23.6,23.79,23.68,2.32%,0.54,-11.91%,-29手,23.89,2494手,2911手,0.86,8手,23手,4.84,1.13亿,27.1亿元,2549万,6.09亿元,0.76%,-3.08%,7.74%,21.96%
216,'920184,国源科技,15.29,0.92%,0.14,1.26万手,34手,15.29,15.3,-0.13%,1.41%,1914万,321.14 ①,IT服务Ⅲ,15.4,15,15.05,15.15,2.64%,0.77,-4.04%,-11手,15.22,6291手,6285手,1,4手,10手,3.21,1.33亿,20.3亿元,8937万,13.7亿元,0.26%,-6.54%,4.12%,10.53%
217,'920274,宏裕包材,23,0.88%,0.2,1.31万手,286手,23,23.01,0.04%,1.61%,3011万,48.28 ①,轻工制造,23.24,22.73,22.8,22.8,2.24%,0.26,21.07%,71手,22.98,6972手,6133手,1.14,18手,19手,3.74,8133万,18.7亿元,8133万,18.7亿元,-2.58%,0.88%,7.61%,33.05%
218,'920002,万达轴承,96.89,0.87%,0.84,1.41万手,124手,96.89,96.9,0.00%,4.42%,1.39亿,72.00 ①,通用设备,101,96.53,96.53,96.05,4.65%,0.73,43.69%,93手,98.36,7173手,6917手,1.04,73手,18手,5.93,4550万,44.1亿元,3186万,30.9亿元,5.72%,2.06%,18.38%,34.84%
219,'920726,朱老六,17.24,0.82%,0.14,1.14万手,148手,17.2,17.24,-0.17%,2.05%,1982万,23.01 ①,调味发酵品Ⅲ,17.66,17.1,17.1,17.1,3.27%,0.48,-14.70%,-47手,17.31,4936手,6509手,0.76,20手,82手,3.81,1.02亿,17.5亿元,5591万,9.64亿元,-6.20%,-7.71%,10.53%,23.48%
220,'920826,盖世食品,10,0.81%,0.08,1.16万手,73手,9.99,10,0.00%,1.85%,1154万,36.99 ①,食品饮料,10.05,9.85,9.86,9.92,2.02%,0.57,-53.15%,-393手,9.97,4546手,7037手,0.65,33手,282手,3.59,1.41亿,14.1亿元,6247万,6.25亿元,-2.34%,-4.40%,8.74%,18.26%
221,'920116,星图测控,102.35,0.79%,0.8,1.99万手,284手,102.35,102.4,-0.10%,1.30%,2.04亿,289.54 ①,IT服务Ⅲ,103.82,101.22,101.3,101.55,2.56%,0.66,2.10%,4手,102.61,1.02万手,9729手,1.04,4手,17手,27.2,1.60亿,164亿元,1.53亿,157亿元,1.42%,-6.11%,4.23%,11.08%
222,'920579,机科股份,19.27,0.78%,0.15,1.95万手,280手,19.27,19.3,0.00%,4.36%,3799万,亏损 ①,机器人,19.88,19.01,19.15,19.12,4.55%,0.75,54.21%,277手,19.53,1.04万手,9050手,1.15,98手,11手,5.34,1.29亿,25.0亿元,4457万,8.59亿元,-3.46%,2.94%,19.14%,33.28%
223,'920001,纬达光电,15.5,0.78%,0.12,2.58万手,378手,15.5,15.52,0.00%,2.91%,3994万,亏损 ①,面板,15.7,15.2,15.38,15.38,3.25%,0.62,45.58%,443手,15.48,1.40万手,1.18万手,1.19,498手,7手,3.36,1.54亿,23.8亿元,8869万,13.7亿元,-4.14%,1.97%,13.94%,26.55%
224,'920247,华密新材,19.53,0.77%,0.15,3.33万手,556手,19.53,19.55,0.05%,2.43%,6593万,77.82 ①,汽车,20.18,19.47,19.48,19.38,3.66%,0.67,73.73%,583手,19.78,1.57万手,1.76万手,0.89,26手,1手,6.26,1.89亿,36.9亿元,1.37亿,26.8亿元,-4.03%,-4.17%,10.13%,20.64%
225,'920208,青矩技术,22.3,0.77%,0.17,6699手,38手,22.3,22.35,0.00%,0.66%,1495万,42.28 ①,建筑装饰,22.57,22.06,22.13,22.13,2.30%,0.77,10.89%,19手,22.32,3107手,3592手,0.86,37手,10手,2.72,1.34亿,29.8亿元,1.02亿,22.7亿元,-2.41%,-5.95%,2.48%,4.95%
226,'920786,骑士乳业,7.92,0.76%,0.06,2.91万手,481手,7.92,7.93,-0.13%,2.06%,2302万,33.22 ①,乳品,8.01,7.83,7.86,7.86,2.29%,0.62,0.53%,13手,7.92,1.15万手,1.75万手,0.66,403手,415手,2.15,2.09亿,16.6亿元,1.41亿,11.2亿元,-1.86%,-5.49%,8.09%,18.75%
227,'920050,爱舍伦,33.13,0.73%,0.24,3228手,86手,33.13,33.15,0.06%,1.78%,1069万,22.81 ①,医疗器械,33.5,32.83,33.04,32.89,2.04%,0.54,47.98%,117手,33.11,1619手,1610手,1.01,105手,13手,2.07,6768万,22.4亿元,1810万,6.00亿元,0.33%,-3.69%,7.40%,18.20%
228,'920089,禾昌聚合,16.82,0.72%,0.12,1.51万手,91手,16.81,16.82,0.12%,1.76%,2534万,19.83 ①,改性塑料,17.04,16.62,16.7,16.7,2.51%,0.82,-61.61%,-515手,16.78,7714手,7390手,1.04,19手,66手,1.94,1.51亿,25.3亿元,8582万,14.4亿元,-0.47%,-6.03%,5.85%,12.45%
229,'920101,志高机械,34.61,0.70%,0.24,3132手,40手,34.61,34.62,-0.46%,1.13%,1084万,34.30 ①,工程机械整机,34.91,34.11,34.17,34.37,2.33%,0.65,76.79%,240手,34.6,1183手,1949手,0.61,17手,2手,2.87,8915万,30.9亿元,2782万,9.63亿元,1.76%,-2.37%,4.32%,9.83%
230,'920037,广信科技,51.86,0.68%,0.35,1.07万手,96手,51.85,51.86,0.02%,2.58%,5530万,29.02 ①,电力设备,52.3,51.2,51.5,51.51,2.14%,0.44,-9.60%,-28手,51.75,5468手,5218手,1.05,51手,41手,5.23,1.28亿,66.4亿元,4139万,21.5亿元,-5.86%,-5.66%,12.50%,32.13%
231,'920087,秋乐种业,12.84,0.63%,0.08,2.53万手,566手,12.84,12.85,0.00%,1.55%,3249万,亏损 ①,农林牧渔,12.99,12.55,12.55,12.76,3.45%,0.48,-73.85%,-612手,12.82,1.04万手,1.50万手,0.69,5手,520手,3.92,1.65亿,21.2亿元,1.64亿,21.1亿元,-6.55%,-7.82%,7.71%,17.71%
232,'920670,数字人,15.79,0.57%,0.09,2.25万手,345手,15.78,15.79,0.00%,3.38%,3568万,亏损 ①,医疗服务,16.08,15.64,15.99,15.7,2.80%,0.49,59.28%,397手,15.84,1.29万手,9653手,1.33,211手,68手,6.92,1.06亿,16.8亿元,6663万,10.5亿元,-0.94%,3.14%,11.63%,37.90%
233,'920445,龙竹科技,9.15,0.55%,0.05,1.60万手,41手,9.14,9.15,0.11%,1.52%,1463万,69.79 ①,定制家居,9.22,9,9.06,9.1,2.42%,0.82,-38.43%,-397手,9.13,6206手,9821手,0.63,10手,377手,4.38,1.48亿,13.5亿元,1.06亿,9.65亿元,-1.61%,-5.96%,4.96%,10.81%
234,'920592,华信永道,31.92,0.54%,0.17,1.18万手,64手,31.92,32.01,0.19%,2.36%,3781万,亏损 ①,软件开发,32.4,31.34,32,31.75,3.34%,0.64,63.65%,395手,31.91,5715手,6133手,0.93,371手,1手,7.77,8080万,25.8亿元,5029万,16.1亿元,-1.85%,-5.23%,7.00%,20.74%
235,'920469,富恒新材,7.54,0.53%,0.04,8.70万手,3007手,7.53,7.54,0.67%,8.41%,6567万,亏损 ①,改性塑料,7.76,7.39,7.7,7.5,4.93%,0.57,-26.30%,-612手,7.55,4.95万手,3.75万手,1.32,69手,85手,3.69,1.41亿,10.6亿元,1.03亿,7.80亿元,-17.95%,13.38%,36.15%,82.81%
236,'920418,XD苏轴股,25.05,0.48%,0.12,2.27万手,180手,25.05,25.06,-0.08%,1.45%,5726万,33.93 ①,底盘与发动机系统,25.6,24.98,25.14,24.93,2.49%,0.66,79.76%,705手,25.2,1.27万手,1.00万手,1.26,153手,51手,4.28,1.62亿,40.7亿元,1.57亿,39.3亿元,1.29%,-2.38%,6.69%,12.43%
237,'920807,奔朗新材,11.23,0.45%,0.05,1.65万手,269手,11.22,11.23,0.09%,1.33%,1849万,亏损 ①,磨具磨料,11.36,11.11,11.15,11.18,2.24%,0.53,-6.23%,-72手,11.21,8502手,7984手,1.06,109手,18手,2.18,1.82亿,20.4亿元,1.24亿,13.9亿元,-3.69%,-8.70%,6.15%,13.99%
238,'920026,卓兆点胶,33.65,0.36%,0.12,8022手,140手,33.64,33.65,-0.12%,1.30%,2701万,166.50 ①,专用设备,34.2,33.29,33.96,33.53,2.71%,0.79,-51.28%,-314手,33.67,4398手,3623手,1.21,50手,9手,4.32,8208万,27.6亿元,6187万,20.8亿元,-1.32%,-6.66%,5.60%,9.49%
239,'920978,开特股份,25.31,0.36%,0.09,2.47万手,159手,25.31,25.38,0.00%,2.45%,6274万,34.81 ①,底盘与发动机系统,25.77,25.1,25.23,25.22,2.66%,0.71,16.70%,83手,25.4,1.12万手,1.35万手,0.84,107手,16手,5.57,1.80亿,45.6亿元,1.01亿,25.5亿元,-1.75%,-6.22%,11.57%,19.72%
240,'920425,乐创技术,26.25,0.34%,0.09,2.07万手,205手,26.22,26.25,0.19%,3.49%,5402万,21.97 ①,工控设备,26.5,25.86,26.1,26.16,2.45%,0.59,-37.50%,-97手,26.13,1.04万手,1.03万手,1.01,20手,73手,6.47,7094万,18.6亿元,5921万,15.5亿元,-0.98%,-4.41%,14.44%,33.17%
241,'920152,昆工科技,17.75,0.34%,0.06,3.09万手,282手,17.75,17.95,-1.22%,3.77%,5709万,亏损 ①,电力设备,19.44,17.67,18.33,17.69,10.01%,0.78,-4.31%,-16手,18.46,1.80万手,1.29万手,1.39,140手,100手,11.12,1.11亿,19.8亿元,8210万,14.6亿元,-1.44%,-5.94%,9.46%,27.99%
242,'920119,美德乐,96.99,0.30%,0.29,8734手,112手,96.99,97,0.10%,4.60%,8545万,24.51 ①,工控设备,99.68,96,96.51,96.7,3.81%,0.92,32.62%,99手,97.83,4641手,4093手,1.13,4手,51手,3.56,7212万,70.0亿元,1898万,18.4亿元,2.36%,-2.86%,13.91%,29.77%
243,'920802,保丽洁,14.64,0.27%,0.04,1.72万手,140手,14.62,14.64,0.00%,4.75%,2537万,63.72 ①,环保,15.01,14.42,14.57,14.6,4.04%,1.02,34.60%,468手,14.75,6772手,1.04万手,0.65,800手,206手,2.69,8201万,12.0亿元,3622万,5.30亿元,-2.33%,0.41%,11.73%,28.04%
244,'920571,国航远洋,11.02,0.27%,0.03,12.7万手,1825手,11.02,11.03,0.00%,4.49%,1.42亿,52.28 ①,航运港口,11.39,10.99,10.99,10.99,3.64%,0.52,40.49%,1193手,11.17,7.28万手,5.40万手,1.35,893手,213手,4.44,5.55亿,61.2亿元,2.83亿,31.2亿元,-8.40%,-5.08%,18.57%,47.49%
245,'920121,江天科技,37.69,0.24%,0.09,2501手,35手,37.69,37.75,0.27%,2.10%,945万,20.82 ①,印刷,38.09,37.51,37.6,37.6,1.54%,0.58,-12.66%,-24手,37.78,1217手,1284手,0.95,45手,6手,3.07,6607万,24.9亿元,1189万,4.48亿元,0.72%,-2.18%,7.97%,20.39%
246,'920510,丰光精密,17.25,0.23%,0.04,3.82万手,267手,17.25,17.27,0.00%,4.07%,6708万,亏损 ①,通用设备,17.89,17.18,17.29,17.21,4.13%,0.87,23.77%,123手,17.57,1.95万手,1.87万手,1.04,27手,37手,8.14,1.84亿,31.8亿元,9390万,16.2亿元,5.12%,1.59%,17.09%,27.31%
247,'920403,康农种业,22.15,0.23%,0.05,1.08万手,41手,22.15,22.16,-0.05%,1.83%,2407万,73.44 ①,农林牧渔,22.59,21.82,21.88,22.1,3.48%,0.5,-9.40%,-111手,22.3,5467手,5323手,1.03,252手,47手,3.9,9936万,22.0亿元,5909万,13.1亿元,-2.94%,-3.70%,7.55%,19.96%
248,'920169,七丰精工,27.77,0.22%,0.06,1.16万手,88手,27.77,27.8,0.00%,2.28%,3242万,507.36 ①,通用设备,28.44,27.6,27.72,27.71,3.03%,0.52,82.01%,611手,27.94,6502手,5102手,1.27,28手,16手,6.66,8080万,22.4亿元,5084万,14.1亿元,-1.98%,-4.77%,7.31%,24.23%
249,'920748,路桥信息,33.18,0.18%,0.06,5021手,31手,33.18,33.29,-0.36%,1.36%,1675万,亏损 ①,IT服务Ⅲ,33.8,33.09,33.11,33.12,2.14%,0.49,-24.46%,-36手,33.36,2483手,2538手,0.98,16手,5手,12.3,7674万,25.5亿元,3684万,12.2亿元,-4.87%,-4.74%,5.83%,15.40%
250,'920706,铁拓机械,22.58,0.13%,0.03,1.42万手,97手,22.52,22.58,-0.04%,2.98%,3221万,76.04 ①,工程机械整机,22.98,22.49,22.81,22.55,2.17%,0.91,71.86%,522手,22.71,8225手,5959手,1.38,13手,14手,3.46,9241万,20.9亿元,4767万,10.8亿元,1.39%,-5.60%,8.79%,19.33%
251,'920471,美邦科技,14.26,0.07%,0.01,4.64万手,651手,14.26,14.27,-0.07%,8.74%,6608万,53.93 ①,化学制品,14.69,14,14.05,14.25,4.84%,0.75,27.04%,312手,14.25,2.33万手,2.31万手,1.01,74手,98手,2.32,8320万,11.9亿元,5303万,7.56亿元,-2.86%,-1.79%,40.06%,67.15%
252,'920060,万源通,32.2,0.06%,0.02,2.88万手,708手,32.19,32.2,0.00%,3.03%,9230万,66.35 ①,印制电路板,32.5,31.68,32.3,32.18,2.55%,0.6,41.43%,278手,32.08,1.60万手,1.28万手,1.25,72手,10手,4.49,1.52亿,49.0亿元,9482万,30.5亿元,-0.62%,-3.68%,9.91%,28.26%
253,'920305,*ST云创,--,--,--,--,--,--,--,--,--,--,亏损 ①,IT服务Ⅲ,--,--,--,3.57,--,--,--,--,--,--,--,--,--,--,0.99,1.32亿,4.73亿元,8110万,2.90亿元,--,--,--,--
254,'920220,朗信电气,--,--,--,--,--,--,--,--,--,--,22.99 ①,底盘与发动机系统,--,--,--,28.29,--,--,--,--,--,--,--,--,--,--,1.88,5297万,15.0亿元,--,--,--,--,--,--
255,'920218,新天力,--,--,--,--,--,--,--,--,--,--,14.14 ①,轻工制造,--,--,--,12.19,--,--,--,--,--,--,--,--,--,--,1.41,7025万,8.56亿元,200,2438元,--,--,--,--
256,'920161,龙辰科技,--,--,--,--,--,--,--,--,--,--,8.76 ①,膜材料,--,--,--,9.21,--,--,--,--,--,--,--,--,--,--,1.27,1.02亿,9.39亿元,630万,5802万元,--,--,--,--
257,'920058,华洋赛车,--,--,--,--,--,--,--,--,--,--,51.22 ①,摩托车及其他,--,--,--,28.03,--,--,--,--,--,--,--,--,--,--,4.41,5606万,15.7亿元,2759万,7.73亿元,--,--,--,1.98%
258,'810014,莱特定转,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
259,'810013,万通定转,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
260,'810011,优机定转,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
261,'920526,凯华材料,23.77,-0.08%,-0.02,3.17万手,307手,23.76,23.77,-0.08%,6.06%,7393万,107.69 ①,电子化学品Ⅱ,23.89,22.71,23.64,23.79,4.96%,0.77,13.53%,40手,23.29,1.62万手,1.55万手,1.05,10手,22手,8.42,8270万,19.7亿元,5237万,12.4亿元,-0.17%,-10.74%,24.43%,45.68%
262,'920914,远航精密,23.7,-0.08%,-0.02,1.80万手,149手,23.69,23.7,0.04%,1.81%,4287万,32.42 ①,电力设备,24.21,23.55,23.75,23.72,2.78%,0.94,51.57%,352手,23.81,1.07万手,7312手,1.46,319手,94手,2.38,9968万,23.6亿元,9960万,23.6亿元,-2.19%,-8.07%,5.55%,11.40%
263,'920961,创远信科,19.75,-0.15%,-0.03,1.80万手,116手,19.74,19.75,0.00%,1.73%,3537万,亏损 ①,通用设备,20.18,19.45,19.98,19.78,3.69%,0.83,-74.09%,-486手,19.7,9518手,8436手,1.13,1手,84手,3.75,1.43亿,28.2亿元,1.04亿,20.5亿元,0.92%,-4.73%,5.03%,12.08%
264,'920090,*ST同辉,4.92,-0.20%,-0.01,2.17万手,219手,4.92,4.93,0.41%,1.46%,1069万,亏损 ①,计算机,5,4.87,4.95,4.93,2.64%,0.4,39.06%,872手,4.93,1.13万手,1.04万手,1.08,118手,60手,25.55,1.99亿,9.81亿元,1.49亿,7.33亿元,-3.15%,0.20%,6.05%,19.77%
