序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
124,'920263,中航泰达,9.93,2.16%,0.21,1.12万手,112手,9.9,9.93,0.10%,1.10%,1108万,亏损 ①,环保,9.98,9.7,9.73,9.72,2.88%,0.59,-44.19%,-294手,9.86,4881手,6351手,0.77,3手,46手,2.6,1.41亿,14.0亿元,1.03亿,10.2亿元,2.58%,-1.88%,6.32%,10.44%
125,'920271,邦德股份,12.31,2.16%,0.26,7428手,71手,12.31,12.32,0.65%,1.28%,913万,24.73 ①,底盘与发动机系统,12.45,11.96,11.98,12.05,4.07%,1.2,-35.22%,-282手,12.29,3783手,3645手,1.04,23手,46手,2.47,1.31亿,16.1亿元,5789万,7.13亿元,-0.24%,-3.53%,3.65%,6.65%
126,'920953,国子软件,30.32,2.16%,0.64,1.23万手,140手,30.32,30.34,0.13%,2.06%,3757万,769.61 ①,IT服务Ⅲ,30.94,29.52,29.68,29.68,4.78%,0.97,50.23%,280手,30.42,6037手,6312手,0.96,74手,24手,6.44,1.28亿,38.8亿元,5989万,18.2亿元,1.07%,-4.50%,5.22%,12.74%
127,'920016,中草香料,16.67,2.14%,0.35,4526手,42手,16.59,16.67,0.48%,1.32%,749万,51.03 ①,化学制品,16.71,16.18,16.18,16.32,3.25%,0.82,-20.38%,-44手,16.55,1968手,2558手,0.77,9手,22手,3.29,7698万,12.8亿元,3424万,5.71亿元,1.28%,-2.40%,4.35%,9.36%
128,'920080,奥美森,25.55,2.12%,0.53,5142手,78手,25.55,25.59,0.04%,2.24%,1311万,23.96 ①,专用设备,25.79,25.02,25.02,25.02,3.08%,0.8,46.96%,129手,25.5,2298手,2844手,0.81,7手,15手,3.63,8300万,21.2亿元,2298万,5.87亿元,2.94%,-1.05%,7.26%,16.30%
129,'920370,新安洁,3.38,2.11%,0.07,2.15万手,150手,3.38,3.39,0.00%,0.82%,725万,亏损 ①,环保,3.4,3.3,3.3,3.31,3.02%,0.88,-12.76%,-417手,3.38,7147手,1.43万手,0.5,33手,43手,1.8,3.00亿,10.1亿元,2.62亿,8.87亿元,-1.74%,-3.43%,2.36%,5.49%
130,'920593,鼎智科技,31.92,2.11%,0.66,5.78万手,513手,31.92,31.93,0.03%,3.58%,1.86亿,214.92 ①,机器人,32.85,31,31.36,31.26,5.92%,1.07,-10.64%,-41手,32.13,3.12万手,2.67万手,1.17,131手,48手,8.29,1.90亿,60.7亿元,1.62亿,51.6亿元,10.95%,7.29%,14.02%,20.37%
131,'920422,润普食品,11.14,2.11%,0.23,9737手,3手,11.07,11.14,0.00%,1.47%,1080万,33.97 ①,化学制品,11.2,10.85,10.9,10.91,3.21%,0.76,-43.59%,-172手,11.09,3722手,6015手,0.62,10手,25手,2.26,8848万,9.86亿元,6622万,7.38亿元,-0.89%,-3.05%,6.02%,11.20%
132,'920237,力佳科技,19.5,2.09%,0.4,1.12万手,51手,19.48,19.5,-0.05%,1.33%,2176万,60.21 ①,电力设备,19.59,19.09,19.1,19.1,2.62%,0.82,-48.82%,-69手,19.36,4117手,7121手,0.58,3手,1手,3.18,8639万,16.8亿元,8476万,16.5亿元,-3.13%,-3.47%,4.25%,9.45%
133,'920640,富士达,35.85,2.05%,0.72,4.11万手,262手,35.85,35.86,-0.06%,2.28%,1.47亿,133.06 ①,通信设备,35.94,34.66,35.04,35.13,3.64%,0.76,7.00%,60手,35.65,2.02万手,2.09万手,0.96,77手,36手,7.16,1.88亿,67.3亿元,1.81亿,64.8亿元,0.73%,-7.51%,7.38%,17.27%
