序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1,'300608,思特奇,18.46,20.03%,3.08,57.8万手,592手,18.46,--,0.00%,19.60%,9.85亿,亏损 ①,软件开发,18.46,15.29,15.29,15.38,20.61%,1.3,100.00%,2.16万手,17.06,34.9万手,22.8万手,1.53,2.04万手,0手,4.84,3.38亿,62.5亿元,2.95亿,54.4亿元,20.97%,36.94%,58.43%,95.14%
2,'300657,弘信电子,52.08,20.00%,8.68,85.4万手,4552手,52.08,--,0.00%,18.23%,42.8亿,165.55 ①,印制电路板,52.08,48.01,48.01,43.4,9.38%,2.08,100.00%,7.55万手,50.16,42.5万手,42.9万手,0.99,7.21万手,0手,17.67,4.82亿,251亿元,4.69亿,244亿元,37.92%,34.75%,32.94%,62.01%
3,'300285,国瓷材料,43.89,12.83%,4.99,95.8万手,9437手,43.88,43.89,-0.05%,11.22%,40.4亿,76.90 ①,电子化学品Ⅱ,44,38.72,38.83,38.9,13.57%,1.44,-61.38%,-1579手,42.22,41.4万手,54.4万手,0.76,218手,506手,6.07,9.97亿,438亿元,8.54亿,375亿元,6.74%,13.38%,24.36%,50.16%
4,'301313,凡拓数创,50.94,10.69%,4.92,23.3万手,1318手,50.93,50.94,0.00%,29.69%,11.3亿,亏损 ①,其他数字媒体,54,45.5,47.53,46.02,18.47%,3.67,-50.66%,-191手,48.57,12.2万手,11.1万手,1.1,21手,195手,8.17,1.03亿,52.7亿元,7855万,40.0亿元,35.62%,34.30%,53.18%,70.12%
5,'002281,光迅科技,230.89,10.00%,20.99,83.6万手,1521手,230.89,--,0.00%,10.72%,180亿,194.07 ①,通信设备,230.89,203.01,209.5,209.9,13.28%,1.03,100.00%,1.65万手,215.51,39.2万手,44.4万手,0.88,1.63万手,0手,18.01,8.07亿,1863亿元,7.79亿,1800亿元,13.29%,16.15%,31.03%,62.79%
6,'300611,美力科技,27.67,9.41%,2.38,15.1万手,1991手,27.67,27.68,0.00%,10.17%,4.10亿,84.30 ①,底盘与发动机系统,28.3,25.32,25.32,25.29,11.78%,2.95,10.13%,162手,27.15,6.36万手,8.73万手,0.73,392手,197手,4.54,2.11亿,58.4亿元,1.48亿,41.0亿元,10.33%,9.19%,17.76%,27.40%
7,'300260,新莱应材,67.11,8.43%,5.22,39.6万手,3586手,67.1,67.11,0.06%,13.78%,26.0亿,129.47 ①,通用设备,68.8,61.27,61.5,61.89,12.17%,0.97,43.70%,406手,65.55,16.3万手,23.3万手,0.7,76手,12手,12.74,4.08亿,274亿元,2.88亿,193亿元,6.68%,22.80%,41.13%,84.63%
8,'300031,宝通科技,26.69,8.06%,1.99,54.7万手,4612手,26.69,26.7,0.00%,15.54%,14.3亿,25.25 ①,游戏Ⅱ,26.96,24.41,24.55,24.7,10.32%,3.06,0.84%,25手,26.15,21.3万手,33.3万手,0.64,287手,514手,2.73,4.19亿,112亿元,3.52亿,93.9亿元,16.55%,10.20%,29.54%,40.94%
9,'000988,华工科技,158.4,7.48%,11.02,142万手,1.05万手,158.4,158.41,-0.01%,14.16%,218亿,62.37 ①,自动化设备,159.69,147.28,151.06,147.38,8.42%,1.6,56.28%,1690手,153.27,69.6万手,72.7万手,0.96,2100手,449手,13.63,10.1亿,1593亿元,10.0亿,1592亿元,15.28%,7.35%,29.71%,58.29%
10,'002131,利欧股份,7.4,7.25%,0.5,1120万手,7.29万手,7.39,7.4,0.00%,19.13%,82.8亿,400.73 ①,通用设备,7.59,6.74,6.82,6.9,12.32%,2.78,-21.89%,-5.41万手,7.39,507万手,613万手,0.83,4.05万手,5.66万手,3.88,67.7亿,501亿元,58.5亿,433亿元,13.67%,6.32%,36.03%,53.60%
11,'300604,长川科技,224.05,7.11%,14.88,39.0万手,2583手,224.05,224.06,0.00%,7.97%,84.2亿,100.80 ①,半导体设备,227.68,203.15,208.49,209.17,11.73%,1.07,36.31%,310手,216.01,17.7万手,21.3万手,0.83,519手,13手,27.91,6.34亿,1421亿元,4.89亿,1097亿元,7.27%,2.58%,22.74%,45.23%
12,'300747,锐科激光,40.46,6.45%,2.45,45.0万手,7548手,40.45,40.46,0.02%,8.63%,17.7亿,135.78 ①,自动化设备,40.89,37.4,38.19,38.01,9.18%,1.37,-45.76%,-882手,39.24,20.3万手,24.8万手,0.82,353手,854手,6.6,5.62亿,227亿元,5.22亿,211亿元,7.32%,5.78%,19.40%,40.07%
13,'300054,鼎龙股份,77.01,6.00%,4.36,47.3万手,3345手,77.01,77.02,0.01%,6.40%,35.1亿,72.73 ①,电子化学品Ⅱ,78,69.79,71.6,72.65,11.30%,1.02,92.76%,1999手,74.37,22.2万手,25.1万手,0.89,186手,6手,13.37,9.48亿,730亿元,7.38亿,568亿元,10.84%,13.30%,19.05%,37.69%
14,'301568,思泰克,62.45,5.70%,3.37,5.66万手,959手,62.43,62.45,0.03%,11.88%,3.44亿,60.99 ①,其他自动化设备,62.62,58.17,58.65,59.08,7.53%,1.49,-49.60%,-250手,60.78,2.61万手,3.04万手,0.86,53手,335手,6.03,1.03亿,64.5亿元,4760万,29.7亿元,5.39%,5.04%,26.42%,51.80%
15,'301421,波长光电,109.43,4.52%,4.73,7.50万手,856手,109.42,109.43,0.01%,16.21%,8.03亿,489.06 ①,光学元件,109.5,102,103.18,104.7,7.16%,1.04,-39.80%,-324手,106.95,3.02万手,4.48万手,0.67,116手,351手,10.5,1.16亿,127亿元,4631万,50.7亿元,5.67%,2.91%,44.97%,93.82%
16,'300499,高澜股份,45.91,4.39%,1.93,44.2万手,5127手,45.91,45.92,0.02%,16.30%,19.6亿,231.39 ①,专用设备,45.94,42.42,43.03,43.98,8.00%,1.05,15.37%,471手,44.39,19.6万手,24.6万手,0.8,399手,301手,10.06,3.05亿,140亿元,2.71亿,125亿元,5.30%,3.47%,43.52%,94.01%
17,'300846,首都在线,31.88,4.32%,1.32,49.9万手,3431手,31.88,31.89,0.00%,12.72%,15.5亿,亏损 ①,IT服务Ⅲ,31.96,29.94,30.61,30.56,6.61%,1.13,-81.91%,-2611手,31.12,23.6万手,26.3万手,0.9,74手,135手,20.96,5.03亿,160亿元,3.92亿,125亿元,-0.28%,-0.16%,33.47%,68.88%
18,'000997,新 大 陆,23.67,4.32%,0.98,42.1万手,5312手,23.67,23.68,0.04%,4.17%,9.83亿,21.33 ①,计算机,23.67,22.6,22.69,22.69,4.72%,1.14,7.53%,747手,23.37,18.0万手,24.1万手,0.75,1627手,2487手,3.18,10.1亿,240亿元,10.1亿,238亿元,5.91%,5.25%,11.14%,22.55%
19,'002801,微光股份,34.33,4.16%,1.37,5.71万手,827手,34.31,34.33,0.18%,4.93%,1.94亿,14.27 ①,电力设备,34.88,32.8,33.1,32.96,6.31%,2.33,12.18%,53手,33.95,2.75万手,2.96万手,0.93,3手,150手,3.86,2.30亿,78.8亿元,1.16亿,39.8亿元,6.91%,2.66%,10.31%,15.54%
20,'002812,恩捷股份,78.47,4.07%,3.07,33.6万手,2824手,78.47,78.48,0.00%,4.08%,25.9亿,74.02 ①,电力设备,78.8,74.77,75.4,75.4,5.34%,0.89,63.11%,776手,77.19,16.1万手,17.5万手,0.92,294手,67手,3.01,9.82亿,771亿元,8.23亿,646亿元,3.55%,-4.06%,11.83%,26.99%
21,'300785,值得买,55.74,4.01%,2.15,18.1万手,2345手,55.74,55.75,0.00%,14.83%,10.1亿,774.89 ①,门户网站,56.18,52.6,53.06,53.59,6.68%,1.47,45.49%,424手,55.54,7.90万手,10.2万手,0.77,491手,46手,5.64,1.99亿,111亿元,1.22亿,68.2亿元,9.10%,-0.59%,34.32%,65.19%
22,'300058,蓝色光标,18.6,3.91%,0.7,503万手,4.68万手,18.6,18.61,0.05%,14.45%,93.3亿,132.38 ①,营销代理,19,17.53,17.73,17.9,8.21%,1.19,-33.95%,-1.98万手,18.56,231万手,272万手,0.85,6344手,6560手,8.38,35.9亿,668亿元,34.8亿,647亿元,7.20%,-1.74%,36.10%,75.36%
23,'300763,锦浪科技,107.95,3.69%,3.84,17.2万手,1485手,107.94,107.95,-0.03%,5.36%,18.5亿,175.64 ①,电力设备,109.38,104.25,104.25,104.11,4.93%,1.03,-92.95%,-686手,107.22,7.99万手,9.26万手,0.86,2手,12手,4.75,3.98亿,430亿元,3.22亿,347亿元,10.33%,4.91%,19.87%,31.37%
24,'002371,北方华创,619.7,3.63%,21.73,14.5万手,1307手,619.68,619.7,0.05%,2.00%,88.2亿,68.69 ①,半导体设备,627.17,581.5,590,597.97,7.64%,0.95,-89.06%,-228手,610.14,6.57万手,7.89万手,0.83,1手,177手,11.43,7.25亿,4492亿元,7.24亿,4488亿元,9.80%,8.11%,7.63%,12.51%
25,'000400,许继电气,27.43,3.59%,0.95,33.5万手,3689手,27.42,27.43,0.04%,3.31%,9.06亿,62.90 ①,电力设备,27.57,26.3,26.49,26.48,4.80%,1,1.45%,112手,27.04,13.9万手,19.6万手,0.71,1426手,845手,2.28,10.2亿,279亿元,10.1亿,278亿元,3.39%,1.11%,7.93%,19.94%
26,'300274,阳光电源,157.38,3.37%,5.13,101万手,7536手,157.38,157.39,0.05%,6.35%,160亿,35.60 ①,电力设备,161.32,153.72,154,152.25,4.99%,1.1,3.72%,32手,158.03,47.6万手,53.5万手,0.89,66手,103手,6.71,20.7亿,3263亿元,15.9亿,2502亿元,16.55%,9.78%,23.25%,35.32%
27,'002195,岩山科技,8.67,3.34%,0.28,279万手,1.78万手,8.67,8.68,-0.12%,4.97%,24.5亿,583.46 ①,IT服务Ⅲ,8.98,8.61,8.61,8.39,4.41%,1.33,30.42%,3.32万手,8.76,135万手,144万手,0.94,3.49万手,1.44万手,4.96,56.7亿,492亿元,56.2亿,487亿元,1.17%,-4.52%,12.45%,23.72%
28,'300624,万兴科技,68.97,3.16%,2.11,10.8万手,895手,68.96,68.97,0.00%,6.31%,7.40亿,亏损 ①,软件开发,69.95,66.24,66.66,66.86,5.55%,1.13,-80.76%,-596手,68.46,5.08万手,5.73万手,0.89,5手,557手,13.65,1.93亿,133亿元,1.71亿,118亿元,6.11%,-2.46%,18.04%,34.36%
29,'300184,力源信息,15.12,2.93%,0.43,116万手,1.85万手,15.11,15.12,0.13%,11.01%,17.3亿,31.68 ①,其他电子Ⅲ,15.14,14.48,14.95,14.69,4.49%,1.25,-2.08%,-476手,14.92,56.0万手,60.1万手,0.93,1539手,3222手,4.13,11.5亿,174亿元,10.5亿,159亿元,3.85%,0.67%,29.36%,54.96%
30,'002532,天山铝业,15.25,2.90%,0.43,67.8万手,3238手,15.24,15.25,0.00%,1.65%,10.2亿,7.95 ①,有色金属,15.29,14.76,14.94,14.82,3.58%,1.06,-10.07%,-645手,15.06,36.8万手,31.0万手,1.19,220手,1178手,2.25,46.3亿,706亿元,41.1亿,626亿元,-6.80%,-6.11%,5.32%,9.44%
31,'300170,汉得信息,22.31,2.76%,0.6,70.0万手,7239手,22.31,22.32,0.04%,7.17%,15.5亿,146.27 ①,IT服务Ⅲ,22.58,21.48,21.71,21.71,5.07%,0.99,8.70%,676手,22.19,33.0万手,37.0万手,0.89,918手,791手,4,10.2亿,228亿元,9.77亿,218亿元,2.13%,-3.82%,20.96%,43.48%
32,'300236,上海新阳,103.33,2.65%,2.67,12.8万手,2681手,103.3,103.33,-0.08%,4.61%,12.9亿,78.07 ①,电子化学品Ⅱ,103.71,97.05,99.89,100.66,6.62%,0.76,-73.82%,-298手,100.5,5.79万手,7.04万手,0.82,13手,3手,6.73,3.13亿,324亿元,2.79亿,288亿元,7.97%,7.89%,17.20%,35.11%
33,'300017,网宿科技,18.97,2.65%,0.49,273万手,3.48万手,18.96,18.97,0.05%,11.67%,51.3亿,98.02 ①,IT服务Ⅲ,19.23,18.19,18.4,18.48,5.63%,0.92,-34.55%,-1.16万手,18.78,129万手,144万手,0.9,3815手,3682手,4.42,25.0亿,473亿元,23.4亿,444亿元,1.44%,6.16%,36.54%,75.26%
34,'300875,捷强装备,39.8,2.58%,1,5.48万手,846手,39.79,39.8,0.00%,6.24%,2.21亿,亏损 ①,国防军工,41.66,39.79,41.01,38.8,4.82%,1.15,-67.61%,-501手,40.31,2.54万手,2.95万手,0.86,38手,48手,4.68,9983万,39.7亿元,8779万,34.9亿元,4.43%,0.51%,13.03%,33.32%
35,'000725,京东方Ａ,4.31,2.38%,0.1,880万手,9.88万手,4.31,4.32,0.00%,2.42%,37.4亿,23.38 ①,面板,4.32,4.17,4.2,4.21,3.56%,1.16,-50.51%,-44.9万手,4.25,331万手,549万手,0.6,4.70万手,20.1万手,1.17,370亿,1597亿元,363亿,1566亿元,2.13%,2.86%,6.99%,12.86%
36,'000977,浪潮信息,72.23,2.29%,1.62,79.1万手,8975手,72.23,72.24,-0.01%,5.40%,55.1亿,43.84 ①,计算机,72.49,67.3,70,70.61,7.35%,0.85,-75.25%,-3740手,69.65,38.9万手,40.3万手,0.96,534手,3822手,4.76,14.7亿,1061亿元,14.7亿,1059亿元,0.88%,-4.96%,15.22%,37.09%
37,'300753,爱朋医疗,27.62,2.26%,0.61,11.4万手,770手,27.62,27.63,0.00%,12.95%,3.20亿,亏损 ①,医疗器械,29.2,27.37,27.84,27.01,6.78%,3.44,67.20%,627手,28.11,6.33万手,5.05万手,1.25,41手,12手,5.25,1.26亿,34.8亿元,8789万,24.3亿元,-0.32%,-4.46%,19.89%,31.76%
38,'301413,安培龙,134.85,2.24%,2.96,6.46万手,705手,134.81,134.85,0.10%,11.00%,8.75亿,1072.95 ①,通用设备,138.89,133.55,135.55,131.89,4.05%,1,16.61%,53手,135.44,3.26万手,3.20万手,1.02,17手,3手,10.45,9840万,133亿元,5875万,79.2亿元,13.99%,11.64%,42.44%,65.78%
39,'002261,拓维信息,34.68,2.21%,0.75,76.1万手,9908手,34.68,34.69,0.03%,6.64%,26.1亿,177.75 ①,软件开发,34.69,33.27,33.84,33.93,4.19%,0.87,19.86%,2382手,34.23,33.8万手,42.3万手,0.8,2709手,1620手,16.78,12.6亿,437亿元,11.5亿,397亿元,3.00%,-1.53%,17.93%,44.65%
40,'300331,苏大维格,56,2.19%,1.2,13.4万手,1170手,55.99,56,-0.07%,6.02%,7.31亿,121.06 ①,光学元件,56.2,52.48,54.99,54.8,6.79%,0.86,-74.17%,-993手,54.64,6.55万手,6.83万手,0.96,20手,800手,9.44,2.60亿,145亿元,2.22亿,124亿元,5.66%,-0.69%,19.78%,41.13%
41,'300346,南大光电,57.94,2.11%,1.2,63.1万手,6579手,57.94,57.95,0.00%,9.61%,35.7亿,80.61 ①,电子化学品Ⅱ,58.14,54.6,55.5,56.74,6.24%,1.03,-38.79%,-1714手,56.56,27.9万手,35.2万手,0.79,243手,1053手,11.12,6.91亿,400亿元,6.56亿,380亿元,4.93%,3.00%,31.21%,56.40%
42,'301303,真兰仪表,14.48,2.04%,0.29,2.59万手,422手,14.48,14.49,0.00%,2.53%,3704万,27.47 ①,通用设备,14.51,14.16,14.2,14.19,2.47%,0.83,27.12%,253手,14.32,1.43万手,1.16万手,1.23,426手,25手,1.69,4.09亿,59.2亿元,1.02亿,14.8亿元,0.21%,-3.34%,8.80%,17.74%
43,'002249,大洋电机,10.17,2.01%,0.2,95.5万手,1.34万手,10.16,10.17,0.00%,5.13%,9.65亿,20.97 ①,电力设备,10.25,9.9,9.92,9.97,3.51%,1.45,-18.81%,-7516手,10.1,44.5万手,51.0万手,0.87,3584手,1078手,2.47,24.7亿,251亿元,18.6亿,189亿元,7.73%,4.95%,16.07%,22.85%
44,'300418,昆仑万维,49.92,1.98%,0.97,48.3万手,4820手,49.91,49.92,-0.02%,3.85%,23.9亿,亏损 ①,门户网站,50.3,48.32,48.96,48.95,4.04%,0.82,-81.05%,-3516手,49.54,24.5万手,23.8万手,1.03,187手,2223手,5.12,12.6亿,627亿元,12.5亿,626亿元,1.82%,-7.78%,12.45%,27.34%
45,'300990,同飞股份,92.23,1.91%,1.73,5.96万手,417手,92.22,92.23,0.08%,7.73%,5.40亿,65.80 ①,通用设备,92.49,87.59,91.52,90.5,5.41%,1.32,21.82%,33手,90.61,2.77万手,3.19万手,0.87,1手,2手,7.34,1.71亿,157亿元,7713万,71.1亿元,1.06%,-0.22%,18.68%,36.98%
46,'301297,富乐德,52.24,1.87%,0.96,26.6万手,3046手,52.24,52.25,0.02%,7.33%,13.5亿,100.16 ①,半导体设备,52.74,48.6,50.11,51.28,8.07%,0.9,70.67%,1147手,50.83,13.0万手,13.6万手,0.96,13手,90手,7.16,7.43亿,388亿元,3.63亿,190亿元,6.42%,6.46%,28.82%,48.21%
47,'002518,科士达,64.47,1.77%,1.12,33.2万手,3970手,64.46,64.47,0.00%,5.88%,20.8亿,67.68 ①,电力设备,64.62,60.5,63.33,63.35,6.50%,1.17,30.45%,116手,62.68,14.7万手,18.5万手,0.8,12手,40手,7.54,5.82亿,375亿元,5.65亿,364亿元,11.77%,31.14%,16.67%,31.07%
48,'300035,中科电气,19.1,1.76%,0.33,28.5万手,2664手,19.09,19.1,0.00%,4.88%,5.29亿,50.63 ①,电力设备,19.1,18.14,18.69,18.77,5.11%,1.02,28.23%,1236手,18.58,14.5万手,14.0万手,1.03,1328手,251手,2.6,6.85亿,131亿元,5.83亿,111亿元,-1.24%,-7.10%,13.07%,28.79%
49,'300316,晶盛机电,52.11,1.70%,0.87,35.5万手,2885手,52.11,52.12,-0.08%,2.89%,18.2亿,166.36 ①,电力设备,52.4,49.58,50.8,51.24,5.50%,0.58,-27.16%,-561手,51.09,18.2万手,17.3万手,1.05,131手,583手,3.96,13.1亿,682亿元,12.3亿,642亿元,-5.08%,9.27%,11.57%,27.87%
50,'002594,比亚迪,96,1.58%,1.49,29.6万手,3112手,96,96.01,0.01%,0.85%,28.2亿,53.57 ①,乘用车,96.08,93.8,94.51,94.51,2.41%,0.75,12.22%,349手,95.29,13.9万手,15.7万手,0.88,183手,576手,3.77,91.2亿,8753亿元,34.9亿,3347亿元,-2.77%,-4.42%,3.20%,6.50%
51,'300790,宇瞳光学,34.46,1.47%,0.5,23.1万手,1820手,34.46,34.47,0.03%,7.12%,7.85亿,56.81 ①,计算机,34.97,32.81,33.6,33.96,6.36%,0.68,-19.62%,-125手,33.96,11.2万手,12.0万手,0.93,56手,271手,4.75,3.74亿,129亿元,3.25亿,112亿元,-0.92%,2.68%,23.96%,59.83%
52,'002156,通富微电,58.86,1.36%,0.79,138万手,1.73万手,58.85,58.86,0.00%,9.11%,79.0亿,67.86 ①,半导体,59.16,55.01,56.88,58.07,7.15%,0.97,-94.12%,-8040手,57.14,66.7万手,71.5万手,0.93,166手,4636手,5.7,15.2亿,893亿元,15.2亿,893亿元,2.54%,-3.85%,28.42%,55.96%
53,'300444,双杰电气,16.43,1.29%,0.21,73.3万手,8212手,16.42,16.43,0.00%,11.80%,11.9亿,11.65 ①,电力设备,16.63,15.59,16.01,16.22,6.41%,0.64,-21.11%,-2265手,16.24,38.0万手,35.3万手,1.08,1519手,2744手,6.24,7.99亿,131亿元,6.21亿,102亿元,-0.73%,2.43%,34.11%,103.82%
54,'300438,鹏辉能源,86.69,1.27%,1.09,31.4万手,2005手,86.69,86.7,-0.12%,7.78%,27.1亿,33.72 ①,电力设备,89,83,84.98,85.6,7.01%,0.77,88.66%,813手,86.24,15.3万手,16.2万手,0.95,182手,28手,7.66,5.03亿,436亿元,4.04亿,350亿元,2.96%,-1.88%,25.07%,58.32%
55,'300568,星源材质,16.78,1.27%,0.21,72.2万手,5556手,16.77,16.78,0.06%,5.97%,12.0亿,192.84 ①,电力设备,17.07,16.21,16.55,16.57,5.19%,0.65,-12.63%,-938手,16.65,37.8万手,34.3万手,1.1,1151手,1647手,2.31,13.5亿,226亿元,12.1亿,203亿元,1.39%,-3.56%,18.07%,51.69%
56,'002851,麦格米特,126.5,1.26%,1.58,18.4万手,2752手,126.49,126.5,-0.21%,4.02%,22.9亿,160.38 ①,电力设备,126.8,121.04,124.93,124.92,4.61%,0.7,69.72%,60手,124.23,9.13万手,9.29万手,0.98,25手,8手,8.2,5.82亿,736亿元,4.58亿,579亿元,-4.99%,1.20%,15.05%,32.71%
57,'002028,思源电气,194.99,1.26%,2.42,8.39万手,964手,194.86,194.99,0.11%,1.37%,16.2亿,69.36 ①,电力设备,196.5,189.18,193.87,192.57,3.80%,0.65,-87.65%,-284手,193.33,3.67万手,4.72万手,0.78,1手,49手,9.47,7.82亿,1526亿元,6.11亿,1191亿元,-3.85%,-0.60%,6.16%,11.99%
58,'300293,蓝英装备,20.4,1.24%,0.25,11.5万手,3233手,20.4,20.41,0.00%,3.39%,2.32亿,亏损 ①,专用设备,20.44,19.78,19.93,20.15,3.28%,1,-35.12%,-1046手,20.22,5.34万手,6.15万手,0.87,71手,164手,9.28,3.38亿,69.0亿元,3.38亿,69.0亿元,3.34%,3.82%,11.34%,20.37%
59,'300760,迈瑞医疗,158.15,1.16%,1.82,6.52万手,967手,158.15,158.16,0.00%,0.54%,10.3亿,20.58 ①,医疗器械,159.38,156,156,156.33,2.16%,0.82,-70.28%,-202手,157.79,3.38万手,3.14万手,1.08,1手,5手,4.78,12.1亿,1917亿元,12.1亿,1916亿元,-1.92%,-6.54%,1.86%,3.83%
60,'300541,先进数通,12.93,0.94%,0.12,9.35万手,1217手,12.92,12.93,0.15%,2.41%,1.20亿,亏损 ①,IT服务Ⅲ,12.95,12.68,12.71,12.81,2.11%,0.8,-33.84%,-1993手,12.83,4.63万手,4.73万手,0.98,320手,1062手,3.19,4.30亿,55.6亿元,3.88亿,50.2亿元,1.33%,0.00%,8.32%,17.40%
61,'300766,每日互动,29.62,0.89%,0.26,17.7万手,2799手,29.61,29.62,0.00%,4.95%,5.22亿,亏损 ①,软件开发,29.98,28.96,29.25,29.36,3.47%,0.86,-50.78%,-1958手,29.49,9.07万手,8.63万手,1.05,30手,20手,7.47,3.95亿,117亿元,3.58亿,106亿元,-0.24%,-6.62%,15.27%,33.69%
62,'002414,高德红外,14.11,0.79%,0.11,56.3万手,7370手,14.11,14.12,-0.07%,1.66%,7.83亿,41.17 ①,国防军工,14.12,13.66,13.96,14,3.29%,0.71,-15.64%,-2160手,13.9,28.9万手,27.4万手,1.05,2136手,2956手,8.14,42.7亿,603亿元,34.0亿,480亿元,-0.35%,-5.49%,5.50%,13.36%
63,'000559,万向钱潮,18.12,0.78%,0.14,143万手,1.53万手,18.11,18.12,0.06%,4.31%,25.9亿,60.85 ①,底盘与发动机系统,18.4,17.7,17.81,17.98,3.89%,1.12,-18.87%,-4183手,18.11,72.6万手,70.3万手,1.03,1087手,5314手,6.84,33.2亿,601亿元,33.1亿,601亿元,10.89%,2.95%,15.81%,23.56%
64,'002130,沃尔核材,21.89,0.74%,0.16,47.7万手,3810手,21.89,21.9,0.05%,4.16%,10.2亿,33.12 ①,其他电子Ⅲ,21.9,21.05,21.73,21.73,3.91%,0.83,44.55%,2981手,21.47,24.1万手,23.6万手,1.02,1345手,1184手,3.35,14.0亿,306亿元,11.5亿,251亿元,-4.16%,-6.85%,12.17%,29.19%
65,'300738,奥飞数据,28.03,0.72%,0.2,110万手,1.87万手,28.03,28.04,0.00%,11.21%,30.6亿,74.45 ①,通信应用增值服务,28.27,26.62,27.35,27.83,5.93%,1.08,58.06%,4368手,27.67,55.8万手,54.6万手,1.02,2314手,356手,7.19,9.85亿,276亿元,9.85亿,276亿元,3.93%,5.73%,35.71%,63.35%
66,'301628,强达电路,113.96,0.69%,0.78,2.18万手,156手,113.96,113.97,-0.01%,7.82%,2.45亿,94.91 ①,印制电路板,114.66,109.18,112.4,113.18,4.84%,0.83,-60.60%,-283手,112.22,1.13万手,1.05万手,1.08,19手,60手,7.19,7538万,85.9亿元,2788万,31.8亿元,1.52%,-1.12%,24.99%,55.01%
67,'002222,福晶科技,105.45,0.69%,0.72,34.5万手,2993手,105.45,105.46,0.00%,7.37%,35.3亿,190.02 ①,光学元件,105.88,98.31,103.15,104.73,7.23%,0.71,41.76%,679手,102.34,17.8万手,16.7万手,1.07,905手,107手,27.12,4.70亿,496亿元,4.68亿,494亿元,-7.30%,-2.98%,24.92%,59.61%
68,'300059,东方财富,19.9,0.66%,0.13,268万手,3.27万手,19.89,19.9,0.00%,2.01%,52.7亿,21.04 ①,非银金融,19.95,19.38,19.78,19.77,2.88%,0.76,-41.10%,-1.15万手,19.66,137万手,131万手,1.04,1219手,579手,3.29,158亿,3145亿元,133亿,2654亿元,-1.39%,-6.48%,6.44%,15.22%
69,'003031,中瓷电子,172.42,0.64%,1.09,14.9万手,824手,172.42,172.45,0.04%,4.37%,25.1亿,100.58 ①,通信设备,175.97,160,170,171.33,9.32%,0.9,89.35%,369手,168.45,7.33万手,7.55万手,0.97,45手,1手,11.77,4.51亿,778亿元,3.40亿,586亿元,3.81%,11.90%,14.86%,28.72%
70,'300724,捷佳伟创,89,0.63%,0.56,11.6万手,974手,88.99,89,0.00%,4.03%,10.3亿,28.67 ①,电力设备,90.22,87.57,89.29,88.44,3.00%,0.71,-80.45%,-386手,88.59,5.95万手,5.63万手,1.06,18手,304手,2.28,3.48亿,310亿元,2.88亿,256亿元,-2.58%,-6.22%,16.22%,32.24%
71,'300124,汇川技术,77.8,0.57%,0.44,35.4万手,4399手,77.79,77.8,0.03%,1.47%,27.3亿,51.96 ①,工控设备,77.88,75.9,77.6,77.36,2.56%,0.71,-13.47%,-365手,77.2,17.1万手,18.4万手,0.93,43手,118手,5.79,27.1亿,2106亿元,24.1亿,1875亿元,4.54%,0.40%,6.72%,11.90%
72,'300014,亿纬锂能,65.5,0.57%,0.37,53.9万手,5795手,65.5,65.51,0.00%,2.55%,35.0亿,24.61 ①,电力设备,65.76,63.82,64.9,65.13,2.98%,0.76,-2.80%,-62手,64.94,29.4万手,24.5万手,1.2,228手,557手,3.11,21.7亿,1424亿元,21.1亿,1384亿元,0.31%,-6.20%,8.83%,19.29%
73,'300032,金龙机电,5.09,0.39%,0.02,19.2万手,3360手,5.08,5.09,-0.20%,2.40%,9708万,亏损 ①,消费电子,5.11,4.98,5.09,5.07,2.56%,0.73,-26.85%,-2909手,5.05,10.7万手,8.53万手,1.25,2396手,204手,6.32,8.03亿,40.9亿元,8.03亿,40.9亿元,0.59%,-4.14%,8.03%,18.84%
74,'000063,中兴通讯,37.65,0.37%,0.14,105万手,1.18万手,37.64,37.65,-0.03%,2.61%,39.1亿,34.36 ①,通信设备,37.8,36.75,37.45,37.51,2.80%,0.76,-51.93%,-4363手,37.25,54.5万手,50.6万手,1.08,970手,2078手,2.35,47.8亿,1801亿元,40.3亿,1516亿元,0.24%,-3.73%,9.59%,19.82%
75,'300619,金银河,48.19,0.31%,0.15,6.56万手,614手,48.18,48.19,0.00%,4.48%,3.16亿,亏损 ①,电力设备,49.24,47.2,47.61,48.04,4.25%,0.68,-46.15%,-289手,48.13,3.38万手,3.18万手,1.06,30手,175手,5.31,1.74亿,83.9亿元,1.46亿,70.6亿元,5.06%,-1.31%,16.48%,37.31%
76,'002837,英维克,102.4,0.27%,0.28,47.5万手,2982手,102.4,102.41,0.00%,5.48%,47.5亿,2890.23 ①,专用设备,103.46,97,101.01,102.12,6.33%,0.95,36.07%,1007手,100.07,21.2万手,26.3万手,0.81,595手,73手,28.91,9.77亿,1001亿元,8.67亿,888亿元,0.20%,0.23%,15.14%,34.49%
