序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
2640,'000829,天音控股,10.05,-0.69%,-0.07,23.3万手,2238手,10.05,10.06,-0.10%,2.28%,2.34亿,亏损 ①,商贸零售,10.19,9.92,10.14,10.12,2.67%,0.76,4.81%,239手,10.03,13.7万手,9.67万手,1.41,1091手,306手,3.56,10.3亿,103亿元,10.2亿,103亿元,-5.28%,-10.19%,7.59%,17.31%
2641,'000828,东莞控股,10.02,0.91%,0.09,4.90万手,1651手,10.01,10.02,-0.10%,0.47%,4918万,9.15 ①,铁路公路,10.12,9.95,9.97,9.93,1.71%,0.93,31.36%,742手,10.05,2.22万手,2.67万手,0.83,139手,131手,0.99,10.4亿,104亿元,10.4亿,104亿元,0.45%,-3.61%,1.39%,3.00%
2642,'000827,*ST长兴,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2643,'000826,*ST启环,2.23,-3.04%,-0.07,62.0万手,4308手,2.22,2.23,0.00%,4.35%,1.39亿,亏损 ①,环保,2.36,2.19,2.31,2.3,7.39%,0.81,71.18%,5.94万手,2.24,35.4万手,26.6万手,1.33,6243手,311手,-1.27,14.3亿,31.8亿元,14.3亿,31.8亿元,-3.04%,8.78%,17.56%,31.24%
2644,'000825,太钢不锈,4.06,0.25%,0.01,25.8万手,1701手,4.06,4.07,0.00%,0.45%,1.04亿,286.53 ①,特钢Ⅱ,4.08,4,4.05,4.05,1.98%,0.62,-17.72%,-5866手,4.04,15.0万手,10.8万手,1.39,1753手,6631手,0.71,57.0亿,231亿元,57.0亿,231亿元,-2.64%,-7.09%,1.81%,4.11%
2645,'000823,超声电子,15.95,-1.91%,-0.31,26.5万手,4189手,15.95,15.96,0.13%,4.93%,4.18亿,64.90 ①,印制电路板,16.2,15.52,16.17,16.26,4.18%,0.68,-7.54%,-377手,15.81,13.7万手,12.7万手,1.08,849手,352手,1.79,5.37亿,85.7亿元,5.37亿,85.6亿元,-5.29%,-7.91%,16.22%,41.43%
2646,'000822,山东海化,5.39,-1.28%,-0.07,25.1万手,1300手,5.39,5.4,-0.19%,2.80%,1.35亿,亏损 ①,化学原料,5.48,5.29,5.44,5.46,3.48%,1.2,-31.29%,-4418手,5.37,16.2万手,8.92万手,1.81,3383手,511手,1.29,8.95亿,48.2亿元,8.95亿,48.2亿元,-1.64%,-3.41%,7.33%,14.50%
2647,'000821,ST京机,10.02,5.03%,0.48,16.2万手,34手,10.02,--,0.00%,2.68%,1.59亿,65.55 ①,电力设备,10.02,9.44,9.5,9.54,6.08%,0.89,100.00%,1.60万手,9.8,7.39万手,8.81万手,0.84,1.50万手,0手,1.5,6.23亿,62.4亿元,6.05亿,60.6亿元,-5.11%,-4.66%,10.15%,17.82%
2648,'000820,*ST节能,3.73,-0.27%,-0.01,5.46万手,677手,3.73,3.74,-0.27%,1.84%,2037万,亏损 ①,环保,3.76,3.71,3.72,3.74,1.34%,0.58,28.64%,5859手,3.73,3.15万手,2.32万手,1.36,3897手,22手,28.04,6.47亿,24.1亿元,2.97亿,11.1亿元,-1.84%,-2.86%,6.79%,17.60%
2649,'000819,岳阳兴长,16.07,-1.35%,-0.22,10.4万手,802手,16.06,16.07,0.06%,2.84%,1.68亿,530.08 ①,其他石化,16.76,15.9,16.48,16.29,5.28%,0.83,8.34%,99手,16.22,5.88万手,4.48万手,1.31,195手,9手,2.86,3.70亿,59.4亿元,3.66亿,58.7亿元,-5.91%,-2.90%,9.10%,19.92%
