股票代码,股票名称,最低收盘价,最高收盘价,涨幅
300684.SZ,中石科技,47.20,97.00,105.51%
002081.SZ,金 螳 螂,3.95,6.27,58.73%
002552.SZ,宝鼎科技,39.34,62.00,57.60%
300903.SZ,科翔股份,53.60,84.43,57.52%
688503.SH,聚和材料,65.89,102.12,54.99%
603186.SH,华正新材,119.31,184.31,54.48%
601886.SH,江河集团,8.27,12.75,54.17%
603093.SH,南华期货,11.80,18.19,54.15%
688392.SH,骄成超声,134.45,204.71,52.26%
600683.SH,京投发展,8.55,12.93,51.23%
300570.SZ,太辰光,132.30,199.27,50.62%
688143.SH,长盈通,102.40,154.00,50.39%
688432.SH,有研硅,32.97,49.48,50.08%
600330.SH,天通股份,19.68,29.39,49.34%
300720.SZ,海川智能,64.68,96.50,49.20%
688195.SH,腾景科技,125.00,185.90,48.72%
600353.SH,旭光电子,25.37,37.54,47.97%
600206.SH,有研新材,39.81,57.72,44.99%
688167.SH,炬光科技,202.88,291.20,43.53%
603773.SH,沃格光电,78.57,112.00,42.55%
300489.SZ,光智科技,182.45,258.45,41.66%
688313.SH,仕佳光子,114.61,162.30,41.61%
688114.SH,华大智造,49.91,70.29,40.83%
002655.SZ,共达电声,27.07,38.02,40.45%
688112.SH,鼎阳科技,50.11,69.83,39.35%
301217.SZ,铜冠铜箔,94.90,132.22,39.33%
002980.SZ,华盛昌,76.14,105.26,38.25%
603936.SH,博敏电子,13.90,19.12,37.55%
300548.SZ,长芯博创,159.43,219.00,37.36%
600186.SH,莲花控股,9.58,13.13,37.06%
688205.SH,德科立,128.59,175.50,36.48%
688807.SH,优迅股份,243.99,332.10,36.11%
300679.SZ,电连技术,40.70,55.35,36.00%
600641.SH,先导基电,26.58,36.06,35.67%
300672.SZ,国科微,144.51,196.00,35.63%
688025.SH,杰普特,311.17,419.99,34.97%
301183.SZ,东田微,161.45,217.53,34.74%
688147.SH,微导纳米,96.48,129.70,34.43%
300394.SZ,天孚通信,216.85,291.44,34.40%
688677.SH,海泰新光,71.95,96.54,34.18%
603118.SH,共进股份,14.40,19.32,34.17%
301529.SZ,福赛科技,79.70,106.80,34.00%
300814.SZ,中富电路,117.78,157.81,33.99%
301626.SZ,苏州天脉,230.44,307.08,33.26%
688300.SH,联瑞新材,125.05,166.47,33.12%
688352.SH,颀中科技,15.28,20.31,32.92%
301319.SZ,唯特偶,98.01,130.00,32.64%
301021.SZ,英诺激光,60.90,80.75,32.59%
002428.SZ,云南锗业,82.71,109.65,32.57%
688409.SH,富创精密,173.64,230.04,32.48%
003031.SZ,中瓷电子,108.63,143.61,32.20%
603002.SH,宏昌电子,13.52,17.84,31.95%
603236.SH,移远通信,47.32,62.32,31.70%
301511.SZ,德福科技,76.76,101.00,31.58%
688627.SH,精智达,429.70,565.22,31.54%
603800.SH,洪田股份,55.75,73.32,31.52%
603011.SH,合锻智能,20.29,26.68,31.49%
603897.SH,长城科技,26.38,34.68,31.46%
688596.SH,正帆科技,57.42,75.35,31.23%
688508.SH,芯朋微,73.78,96.78,31.17%
688549.SH,中巨芯-U,23.21,30.34,30.72%
688630.SH,芯碁微装,361.00,471.20,30.53%
688048.SH,长光华芯,259.00,336.95,30.10%
688383.SH,新益昌,103.86,134.78,29.77%
688796.SH,百奥赛图,114.50,148.37,29.58%
600667.SH,太极实业,18.45,23.86,29.32%
688222.SH,成都先导,30.85,39.86,29.21%
688378.SH,奥来德,38.98,50.36,29.19%
300759.SZ,康龙化成,39.60,51.15,29.17%
301486.SZ,致尚科技,141.70,183.00,29.15%
688234.SH,天岳先进,93.52,120.65,29.01%
688668.SH,鼎通科技,227.28,293.20,29.00%
688610.SH,埃科光电,143.43,185.00,28.98%
688090.SH,瑞松科技,58.15,74.85,28.72%
002759.SZ,天际股份,15.16,19.51,28.69%
300693.SZ,盛弘股份,36.36,46.77,28.63%
603083.SH,XD剑桥科,147.92,190.21,28.59%
688020.SH,方邦股份,118.80,152.68,28.52%
301285.SZ,鸿日达,70.39,90.23,28.19%
301165.SZ,锐捷网络,115.52,148.00,28.12%
002913.SZ,奥士康,47.92,61.30,27.92%
301093.SZ,华兰股份,65.90,84.23,27.81%
000506.SZ,招金黄金,15.62,19.94,27.66%
301326.SZ,捷邦科技,87.65,111.89,27.66%
600172.SH,黄河旋风,11.22,14.32,27.63%
300751.SZ,迈为股份,166.55,212.50,27.59%
688233.SH,神工股份,105.25,134.20,27.51%
301389.SZ,隆扬电子,48.66,61.99,27.39%
301373.SZ,凌玮科技,85.97,109.50,27.37%
000603.SZ,盛达资源,29.15,37.12,27.34%
605289.SH,罗曼股份,91.80,116.74,27.17%
000887.SZ,中鼎股份,18.64,23.69,27.09%
002636.SZ,金安国纪,56.18,71.39,27.07%
002080.SZ,中材科技,48.81,62.00,27.02%
000657.SZ,中钨高新,57.43,72.94,27.01%
603629.SH,利通电子,112.65,142.84,26.80%
688502.SH,茂莱光学,372.99,472.00,26.54%
002491.SZ,通鼎互联,16.06,20.30,26.40%
601208.SH,东材科技,39.33,49.60,26.11%
301209.SZ,联合化学,48.86,61.60,26.07%
300558.SZ,贝达药业,55.72,70.21,26.01%
301196.SZ,唯科科技,75.70,95.35,25.96%
002792.SZ,通宇通讯,30.74,38.63,25.67%
002436.SZ,兴森科技,30.51,38.30,25.53%
002647.SZ,仁东控股,9.54,11.97,25.47%
688449.SH,联芸科技,56.62,71.03,25.45%
002975.SZ,博杰股份,84.61,106.01,25.29%
603061.SH,金海通,292.86,366.85,25.26%
688182.SH,灿勤科技,25.07,31.40,25.25%
688035.SH,德邦科技,60.03,75.15,25.19%
300620.SZ,光库科技,260.98,326.70,25.18%
603228.SH,景旺电子,78.47,98.21,25.16%
300666.SZ,江丰电子,222.40,278.28,25.13%
688519.SH,南亚新材,252.16,315.50,25.12%
688003.SH,天准科技,75.79,94.80,25.08%
301550.SZ,斯菱智驱,72.85,91.10,25.05%
688123.SH,聚辰股份,120.00,150.00,25.00%
688131.SH,皓元医药,80.37,100.42,24.95%
688766.SH,普冉股份,373.88,466.81,24.86%
688545.SH,兴福电子,75.98,94.65,24.57%
688583.SH,思看科技,74.43,92.68,24.52%
600584.SH,长电科技,68.97,85.85,24.47%
002859.SZ,洁美科技,65.36,81.32,24.42%
688702.SH,盛科通信-U,350.44,435.87,24.38%
688498.SH,源杰科技,1298.00,1613.50,24.31%
688371.SH,菲沃泰,25.96,32.20,24.04%
000620.SZ,盈新发展,2.75,3.41,24.00%
300863.SZ,卡倍亿,37.75,46.80,23.97%
301123.SZ,奕东电子,65.50,81.20,23.97%
300331.SZ,苏大维格,42.45,52.62,23.96%
301489.SZ,思泉新材,96.70,119.80,23.89%
688800.SH,瑞可达,53.18,65.88,23.88%
603124.SH,江南新材,118.70,147.00,23.84%
300835.SZ,龙磁科技,138.70,171.69,23.79%
688433.SH,华曙高科,79.30,98.08,23.68%
688028.SH,沃尔德,79.00,97.69,23.66%
688001.SH,华兴源创,48.14,59.45,23.49%
688783.SH,西安奕材-U,29.14,35.96,23.40%
002741.SZ,光华科技,22.91,28.26,23.35%
688536.SH,思瑞浦,238.66,294.18,23.26%
603663.SH,三祥新材,37.26,45.87,23.11%
688759.SH,必贝特-U,22.98,28.25,22.93%
603078.SH,江化微,31.08,38.20,22.91%
601869.SH,长飞光纤,312.40,383.60,22.79%
603283.SH,赛腾股份,41.96,51.52,22.78%
300602.SZ,飞荣达,36.20,44.44,22.76%
603738.SH,泰晶科技,33.15,40.69,22.75%
600397.SH,江钨装备,15.35,18.84,22.74%
002585.SZ,双星新材,9.21,11.30,22.69%
301086.SZ,鸿富瀚,106.00,130.05,22.69%
002739.SZ,儒意电影,8.79,10.78,22.64%
002031.SZ,巨轮智能,5.24,6.42,22.52%
688206.SH,概伦电子,34.20,41.90,22.51%
688381.SH,帝奥微,29.77,36.45,22.44%
688727.SH,恒坤新材,42.57,52.11,22.41%
600326.SH,西藏天路,6.84,8.36,22.22%
002842.SZ,翔鹭钨业,34.56,42.22,22.16%
600363.SH,联创光电,20.17,24.64,22.16%
002885.SZ,京泉华,26.19,31.97,22.07%
688307.SH,DR中润光,43.70,53.30,21.97%
688628.SH,优利德,64.63,78.80,21.92%
002156.SZ,通富微电,58.00,70.66,21.83%
002536.SZ,飞龙股份,37.85,46.11,21.82%
001267.SZ,汇绿生态,35.28,42.97,21.80%
688052.SH,纳芯微,200.50,244.00,21.70%
603538.SH,美诺华,27.39,33.33,21.69%
000831.SZ,中国稀土,51.60,62.79,21.69%
300017.SZ,网宿科技,14.44,17.57,21.68%
002290.SZ,禾盛新材,56.35,68.55,21.65%
688362.SH,甬矽电子,60.77,73.91,21.62%
605111.SH,新洁能,52.29,63.50,21.44%
603650.SH,彤程新材,58.13,70.57,21.40%
301015.SZ,百洋医药,22.43,27.21,21.31%
300319.SZ,麦捷科技,16.08,19.50,21.27%
603009.SH,北特科技,40.00,48.50,21.25%
