股票代码,股票名称,最低收盘价,最高收盘价,涨幅
600707.SH,彩虹股份,8.91,10.80,21.21%
301631.SZ,壹连科技,60.90,73.80,21.18%
301611.SZ,珂玛科技,93.73,113.58,21.18%
688380.SH,中微半导,38.84,47.05,21.14%
000582.SZ,北部湾港,10.97,13.28,21.06%
688359.SH,三孚新科,93.53,113.18,21.01%
300476.SZ,胜宏科技,236.35,286.00,21.01%
300842.SZ,帝科股份,55.49,67.13,20.98%
688082.SH,盛美上海,279.10,337.40,20.89%
300260.SZ,新莱应材,52.50,63.46,20.88%
300811.SZ,铂科新材,68.17,82.39,20.86%
688368.SH,晶丰明源,113.83,137.54,20.83%
301188.SZ,力诺药包,37.55,45.36,20.80%
300790.SZ,宇瞳光学,17.50,21.13,20.74%
300868.SZ,杰美特,80.78,97.50,20.70%
301571.SZ,国科天成,58.37,70.45,20.70%
301005.SZ,超捷股份,73.98,89.29,20.69%
688332.SH,中科蓝讯,85.50,103.19,20.69%
301312.SZ,智立方,62.53,75.45,20.66%
600267.SH,海正药业,11.92,14.37,20.55%
688102.SH,斯瑞新材,33.19,40.00,20.52%
300382.SZ,斯莱克,13.75,16.57,20.51%
300576.SZ,容大感光,28.05,33.80,20.50%
301566.SZ,达利凯普,23.82,28.69,20.45%
688603.SH,天承科技,98.78,118.96,20.43%
688062.SH,迈威生物-U,28.35,34.12,20.35%
688333.SH,铂力特,96.20,115.75,20.32%
603456.SH,九洲药业,15.18,18.26,20.29%
688690.SH,纳微科技,37.58,45.20,20.28%
600487.SH,亨通光电,54.41,65.41,20.22%
688138.SH,清溢光电,30.57,36.75,20.22%
688166.SH,博瑞医药,34.83,41.87,20.21%
301018.SZ,申菱环境,83.35,100.18,20.19%
600396.SH,华电辽能,15.59,18.73,20.14%
605168.SH,三人行,39.37,47.29,20.12%
601609.SH,金田股份,9.95,11.95,20.10%
688559.SH,海目星,47.10,56.55,20.06%
