股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
688506.SH,百利天恒,322.22,60.31,4.95,0.45,10200000.00,否
688578.SH,艾力斯,118.30,49.09,1.68,0.59,4060000.00,否
000776.SZ,广发证券,21.68,31.60,1.83,0.47,15270000.00,否
603259.SH,药明康德,126.50,31.51,2.83,0.58,30370000.00,否
000783.SZ,长江证券,8.60,29.64,2.87,0.37,4650000.00,否
000703.SZ,恒逸石化,15.60,29.33,1.96,0.59,5640000.00,是
002294.SZ,信立泰,33.08,26.13,0.61,0.54,4040000.00,是
601066.SH,中信建投,25.87,24.49,1.69,0.32,17280000.00,否
601168.SH,西部矿业,36.91,22.66,0.14,0.52,7210000.00,是
301571.SZ,国科天成,62.83,19.67,-1.44,0.44,1180000.00,是
601696.SH,中银证券,11.70,18.56,4.74,0.36,3350000.00,否
688235.SH,百济神州,268.60,18.19,2.06,0.48,36990000.00,否
601162.SH,天风证券,3.70,16.67,2.49,0.52,3630000.00,是
600988.SH,赤峰黄金,37.86,15.91,1.53,0.52,6890000.00,是
