股票代码,股票名称,涨幅
300364.SZ,中文在线,20.02%
300911.SZ,亿田智能,20.01%
300413.SZ,芒果超媒,20.00%
301262.SZ,海看股份,19.99%
688601.SH,力芯微,18.21%
300709.SZ,精研科技,16.16%
300133.SZ,华策影视,15.77%
688433.SH,华曙高科,14.66%
688002.SH,睿创微纳,14.41%
300990.SZ,同飞股份,14.20%
688333.SH,铂力特,14.19%
300850.SZ,新强联,14.05%
688049.SH,炬芯科技,13.09%
301628.SZ,强达电路,12.98%
301536.SZ,星宸科技,12.89%
688330.SH,宏力达,12.49%
301251.SZ,威尔高,12.12%
300687.SZ,赛意信息,12.00%
300731.SZ,科创新源,11.87%
688031.SH,星环科技-U,11.72%
300889.SZ,爱克股份,11.44%
300820.SZ,英杰电气,10.96%
301306.SZ,西测测试,10.92%
688686.SH,奥普特,10.40%
688679.SH,通源环境,10.39%
600121.SH,郑州煤电,10.09%
002303.SZ,美盈森,10.06%
605577.SH,龙版传媒,10.05%
600227.SH,赤天化,10.04%
601595.SH,上海电影,10.02%
600722.SH,金牛化工,10.02%
002903.SZ,宇环数控,10.02%
603269.SH,海鸥股份,10.01%
603950.SH,长源东谷,10.01%
002169.SZ,智光电气,10.01%
002757.SZ,南兴股份,10.01%
603216.SH,梦天家居,10.00%
002396.SZ,星网锐捷,10.00%
003018.SZ,金富科技,10.00%
003036.SZ,泰坦股份,10.00%
001330.SZ,博纳影业,10.00%
603090.SH,XD宏盛股,10.00%
002081.SZ,金 螳 螂,10.00%
002886.SZ,沃特股份,10.00%
605287.SH,德才股份,10.00%
002375.SZ,亚厦股份,10.00%
600551.SH,时代出版,10.00%
601330.SH,绿色动力,10.00%
603270.SH,金帝股份,10.00%
603893.SH,瑞芯微,10.00%
603989.SH,艾华集团,10.00%
000712.SZ,锦龙股份,10.00%
603358.SH,华达科技,10.00%
002418.SZ,康盛股份,10.00%
002008.SZ,大族激光,10.00%
603297.SH,永新光学,10.00%
603459.SH,红板科技,10.00%
002881.SZ,美格智能,10.00%
000977.SZ,浪潮信息,9.99%
001221.SZ,悍高集团,9.99%
603236.SH,移远通信,9.99%
601882.SH,海天精工,9.99%
603978.SH,深圳新星,9.99%
603068.SH,博通集成,9.99%
603685.SH,晨丰科技,9.99%
002534.SZ,西子洁能,9.99%
605118.SH,力鼎光电,9.99%
601136.SH,首创证券,9.99%
600246.SH,万通发展,9.98%
603178.SH,圣龙股份,9.98%
603533.SH,掌阅科技,9.98%
600110.SH,诺德股份,9.96%
002328.SZ,新朋股份,9.96%
601086.SH,国芳集团,9.95%
300624.SZ,万兴科技,9.91%
688479.SH,友车科技,9.87%
600691.SH,潞化科技,9.86%
000560.SZ,我爱我家,9.85%
601929.SH,吉视传媒,9.83%
301061.SZ,匠心家居,9.72%
300840.SZ,酷特智能,9.57%
300458.SZ,全志科技,9.39%
300182.SZ,捷成股份,9.35%
300816.SZ,艾可蓝,9.29%
300491.SZ,通合科技,9.15%
688621.SH,阳光诺和,9.14%
002871.SZ,伟隆股份,9.11%
