股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
603500.SH,祥和实业,34.40,20260608,7.28,9.98,75.04
688083.SH,中望软件,105.00,20260608,6.04,20.00,103.37
300145.SZ,南方泵业,100.00,20260608,5.16,13.06,110.22
003009.SZ,中天火箭,99.40,20260608,3.76,10.00,83.48
600776.SH,东方通信,210.00,20260608,3.60,6.65,138.87
603135.SH,中重科技,75.90,20260608,3.44,9.98,111.99
002085.SZ,万丰奥威,289.00,20260608,3.42,6.12,116.75
300334.SZ,津膜科技,25.20,20260608,3.40,10.32,66.66
001400.SZ,江顺科技,103.00,20260608,3.40,6.53,72.76
002951.SZ,金时科技,68.80,20260604,3.29,9.98,68.44
300120.SZ,经纬辉开,42.10,20260608,3.23,13.91,92.05
688325.SH,赛微微电,111.00,20260608,3.10,13.28,86.17
000785.SZ,居然智家,154.00,20260608,2.92,10.12,74.96
688772.SH,珠海冠宇,184.00,20260608,2.89,12.86,187.51
600736.SH,苏州高新,92.10,20260608,2.85,8.56,94.45
002361.SZ,神剑股份,174.00,20260608,2.84,9.99,482.33
301313.SZ,凡拓数创,52.70,20260608,2.82,19.99,166.54
603859.SH,能科科技,111.00,20260608,2.79,9.99,191.71
688787.SH,海天瑞声,91.80,20260608,2.65,10.88,75.30
300580.SZ,贝斯特,134.00,20260608,2.64,9.38,85.12
300465.SZ,高伟达,66.50,20260608,2.60,8.68,74.99
300508.SZ,维宏股份,54.30,20260608,2.57,12.37,53.53
300400.SZ,劲拓股份,78.10,20260608,2.57,11.60,111.22
000620.SZ,盈新发展,196.00,20260608,2.54,10.07,162.88
