股票代码,股票名称,涨幅
688503.SH,聚和材料,20.01%
300679.SZ,电连技术,20.00%
688677.SH,海泰新光,20.00%
300570.SZ,太辰光,20.00%
688003.SH,天准科技,20.00%
301626.SZ,苏州天脉,20.00%
300684.SZ,中石科技,20.00%
688378.SH,奥来德,19.99%
688380.SH,中微半导,16.81%
688206.SH,概伦电子,16.38%
688035.SH,德邦科技,14.40%
688508.SH,芯朋微,13.89%
688361.SH,中科飞测,13.68%
688313.SH,仕佳光子,13.67%
688766.SH,普冉股份,13.38%
300672.SZ,国科微,12.57%
300548.SZ,长芯博创,12.50%
688001.SH,华兴源创,11.29%
688610.SH,埃科光电,11.08%
688820.SH,盛合晶微,10.97%
688097.SH,博众精工,10.80%
688112.SH,鼎阳科技,10.80%
301189.SZ,奥尼电子,10.70%
688353.SH,华盛锂电,10.49%
688279.SH,峰岹科技,10.20%
603118.SH,共进股份,10.02%
603011.SH,合锻智能,10.02%
002081.SZ,金 螳 螂,10.02%
600459.SH,贵研铂业,10.01%
600330.SH,天通股份,10.01%
000737.SZ,北方铜业,10.01%
002156.SZ,通富微电,10.01%
603002.SH,宏昌电子,10.01%
600206.SH,有研新材,10.00%
603186.SH,华正新材,10.00%
000811.SZ,冰轮环境,10.00%
605060.SH,联德股份,10.00%
003031.SZ,中瓷电子,10.00%
603773.SH,沃格光电,10.00%
002353.SZ,杰瑞股份,10.00%
000029.SZ,深深房Ａ,10.00%
000564.SZ,供销大集,10.00%
603929.SH,亚翔集成,10.00%
002028.SZ,思源电气,10.00%
600172.SH,黄河旋风,10.00%
600601.SH,方正科技,10.00%
603067.SH,振华股份,10.00%
688143.SH,长盈通,10.00%
603936.SH,博敏电子,10.00%
603530.SH,神马电力,10.00%
002436.SZ,兴森科技,9.99%
002838.SZ,道恩股份,9.99%
600353.SH,旭光电子,9.99%
600651.SH,飞乐音响,9.97%
002668.SZ,TCL智家,9.96%
600545.SH,卓郎智能,9.95%
