股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
300302.SZ,同有科技,55.90,152.77,8.38,0.54,2850000.00,否
600726.SH,华电能源,7.94,97.15,-1.73,0.45,5540000.00,是
300259.SZ,新天科技,5.60,66.00,4.28,0.39,807000.00,否
603916.SH,苏博特,14.70,52.46,8.25,0.46,656000.00,否
300274.SZ,阳光电源,152.00,41.33,-7.01,0.49,32630000.00,是
600011.SH,华能国际,7.78,39.63,0.78,0.51,12280000.00,是
002317.SZ,众生药业,22.89,32.90,3.48,0.29,2000000.00,否
002617.SZ,露笑科技,9.56,32.24,-0.21,0.51,1800000.00,是
688006.SH,杭可科技,38.17,30.94,1.49,0.54,2050000.00,是
300292.SZ,吴通控股,6.57,29.17,1.70,0.39,849000.00,否
002536.SZ,飞龙股份,44.99,28.65,4.46,0.58,2670000.00,否
601001.SH,晋控煤业,18.94,26.41,-0.84,0.42,2970000.00,是
600198.SH,大唐电信,9.31,25.12,2.53,0.27,1220000.00,是
601678.SH,滨化股份,6.15,24.22,-3.61,0.45,1270000.00,是
000783.SZ,长江证券,8.60,22.97,9.97,0.33,4650000.00,否
688187.SH,时代电气,61.58,19.72,1.85,0.56,7390000.00,否
600184.SH,光电股份,28.75,16.41,3.60,0.46,1570000.00,否
002821.SZ,凯莱英,128.70,16.13,2.30,0.41,4250000.00,否
300199.SZ,翰宇药业,22.28,15.24,-1.02,0.39,2110000.00,是
