股票代码,股票名称,最低收盘价,最高收盘价,涨幅
301520.SZ,万邦医药,45.95,88.68,92.99%
301080.SZ,百普赛斯,52.30,95.88,83.33%
600721.SH,百花医药,7.92,14.50,83.08%
300903.SZ,科翔股份,46.86,84.43,80.17%
300684.SZ,中石科技,44.98,80.83,79.70%
688137.SH,近岸蛋白,38.93,69.58,78.73%
300404.SZ,博济医药,9.91,17.60,77.60%
600272.SH,开开实业,10.72,19.03,77.52%
002437.SZ,誉衡药业,2.84,4.98,75.35%
002552.SZ,宝鼎科技,35.76,62.00,73.38%
688143.SH,长盈通,90.20,154.00,70.73%
603186.SH,华正新材,108.46,184.31,69.93%
688073.SH,毕得医药,50.65,84.83,67.48%
301047.SZ,义翘神州,83.58,139.49,66.89%
603330.SH,天洋新材,7.10,11.75,65.49%
301051.SZ,信濠光电,13.75,22.65,64.73%
603758.SH,秦安股份,9.35,15.35,64.17%
605179.SH,一鸣食品,21.66,35.10,62.05%
688296.SH,和达科技,15.66,25.32,61.69%
300720.SZ,海川智能,59.75,96.50,61.51%
301282.SZ,金禄电子,21.95,35.17,60.23%
688596.SH,正帆科技,47.85,75.35,57.47%
688549.SH,中巨芯-U,19.34,30.34,56.88%
600683.SH,京投发展,8.26,12.93,56.54%
300345.SZ,华民股份,5.71,8.90,55.87%
688432.SH,有研硅,28.03,43.62,55.62%
688503.SH,聚和材料,61.60,95.68,55.32%
688693.SH,锴威特,60.90,94.30,54.84%
688485.SH,九州一轨,51.89,80.12,54.40%
600206.SH,有研新材,36.19,55.86,54.35%
688662.SH,富信科技,69.99,107.91,54.18%
601886.SH,江河集团,8.27,12.75,54.17%
688046.SH,药康生物,26.62,40.95,53.83%
002172.SZ,澳洋健康,3.25,4.99,53.54%
300534.SZ,陇神戎发,13.18,20.23,53.49%
301217.SZ,铜冠铜箔,86.16,132.22,53.46%
301251.SZ,威尔高,30.90,47.41,53.43%
603093.SH,南华期货,11.89,18.19,52.99%
300489.SZ,光智科技,169.20,258.45,52.75%
688530.SH,欧莱新材,44.58,67.98,52.49%
300615.SZ,欣天科技,12.52,19.00,51.76%
600330.SH,天通股份,18.12,27.48,51.66%
688392.SH,骄成超声,124.20,188.30,51.61%
688635.SH,长进光子,238.00,358.00,50.42%
688300.SH,联瑞新材,111.18,166.47,49.73%
002081.SZ,金 螳 螂,3.92,5.82,48.47%
301230.SZ,泓博医药,26.75,39.60,48.04%
000802.SZ,北京文化,4.23,6.26,47.99%
688147.SH,微导纳米,87.70,129.70,47.89%
000779.SZ,甘咨询,9.66,14.28,47.83%
600641.SH,先导基电,24.41,36.06,47.73%
300314.SZ,戴维医疗,9.99,14.74,47.55%
600353.SH,旭光电子,23.16,34.13,47.37%
301511.SZ,德福科技,68.71,101.00,46.99%
688598.SH,金博股份,26.20,38.50,46.95%
688265.SH,南模生物,35.68,52.42,46.92%
002329.SZ,皇氏集团,3.15,4.62,46.67%
300672.SZ,国科微,133.80,196.00,46.49%
300570.SZ,太辰光,132.30,193.80,46.49%
301060.SZ,兰卫医学,8.93,13.08,46.47%
605286.SH,同力天启,23.28,34.09,46.43%
603773.SH,沃格光电,71.43,104.49,46.28%
002827.SZ,高争民爆,41.87,61.22,46.21%
300985.SZ,致远新能,28.80,42.05,46.01%
002428.SZ,云南锗业,75.19,109.65,45.83%
600162.SH,香江控股,3.24,4.72,45.68%
300120.SZ,经纬辉开,6.58,9.55,45.14%
300814.SZ,中富电路,108.75,157.81,45.11%
688409.SH,富创精密,154.66,224.18,44.95%
600664.SH,哈药股份,6.22,9.01,44.86%
002980.SZ,华盛昌,69.22,100.20,44.76%
688419.SH,耐科装备,36.18,52.35,44.69%
688167.SH,炬光科技,201.99,291.20,44.17%
603269.SH,海鸥股份,12.31,17.70,43.79%
688501.SH,青达环保,13.14,18.85,43.46%
600186.SH,莲花控股,9.20,13.13,42.72%
600613.SH,神奇制药,4.94,7.05,42.71%
003031.SZ,中瓷电子,100.30,143.09,42.66%
002655.SZ,共达电声,24.61,35.08,42.54%
688508.SH,芯朋微,67.95,96.78,42.43%
688195.SH,腾景科技,118.30,167.99,42.00%
301419.SZ,阿莱德,29.27,41.55,41.95%
603118.SH,共进股份,13.63,19.32,41.75%
300476.SZ,胜宏科技,201.80,286.00,41.72%
603823.SH,百合花,55.21,78.09,41.44%
688114.SH,华大智造,49.91,70.29,40.83%
000026.SZ,飞亚达,16.34,23.01,40.82%
301196.SZ,唯科科技,67.73,95.35,40.78%
001260.SZ,坤泰股份,16.43,23.13,40.78%
688313.SH,仕佳光子,113.70,160.00,40.72%
603002.SH,宏昌电子,12.51,17.59,40.61%
301529.SZ,福赛科技,76.03,106.80,40.47%
301093.SZ,华兰股份,60.01,84.23,40.36%
688090.SH,瑞松科技,53.39,74.85,40.19%
000603.SZ,盛达资源,26.50,37.12,40.08%
301373.SZ,凌玮科技,78.20,109.50,40.03%
300936.SZ,中英科技,62.00,86.75,39.92%
002636.SZ,金安国纪,51.07,71.39,39.79%
300154.SZ,瑞凌股份,8.22,11.49,39.78%
300400.SZ,劲拓股份,22.11,30.90,39.76%
603800.SH,洪田股份,52.47,73.32,39.74%
002080.SZ,中材科技,44.37,62.00,39.73%
301626.SZ,苏州天脉,220.00,307.08,39.58%
688610.SH,埃科光电,126.41,176.40,39.55%
603629.SH,利通电子,102.41,142.84,39.48%
000657.SZ,中钨高新,52.21,72.80,39.44%
688202.SH,美迪西,78.01,108.76,39.42%
688502.SH,茂莱光学,326.48,454.50,39.21%
600667.SH,太极实业,17.15,23.86,39.13%
688234.SH,天岳先进,86.45,120.24,39.09%
002491.SZ,通鼎互联,14.60,20.30,39.04%
688371.SH,菲沃泰,23.19,32.20,38.85%
688766.SH,普冉股份,335.76,466.00,38.79%
601208.SH,东材科技,35.75,49.60,38.74%
688020.SH,方邦股份,110.38,152.68,38.32%
688545.SH,兴福电子,66.26,91.63,38.29%
