股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
300959.SZ,线上线下,159.80,158.50,1.88,0.54,1420000.00,否
300672.SZ,国科微,330.55,113.37,1.61,0.56,5220000.00,否
688008.SH,澜起科技,269.90,79.34,2.82,0.55,30200000.00,否
002185.SZ,华天科技,19.61,71.24,2.94,0.51,5000000.00,否
688362.SH,甬矽电子,72.50,69.16,4.47,0.54,2110000.00,否
000417.SZ,合百集团,7.89,59.72,1.54,0.30,675000.00,否
688596.SH,正帆科技,46.10,57.05,-1.50,0.54,1460000.00,是
603156.SH,养元饮品,45.68,54.44,4.08,0.55,6090000.00,否
002380.SZ,科远智慧,38.48,53.14,2.48,0.41,1060000.00,否
300042.SZ,朗科科技,70.35,49.41,4.27,0.42,1450000.00,否
688807.SH,优迅股份,449.80,47.91,6.54,0.35,3810000.00,否
688981.SH,中芯国际,140.70,45.17,4.45,0.48,95210000.00,否
300184.SZ,力源信息,17.18,44.58,1.60,0.52,1740000.00,否
688182.SH,灿勤科技,44.60,44.02,7.96,0.45,1750000.00,否
300083.SZ,创世纪,11.70,42.36,4.09,0.35,1920000.00,否
688256.SH,寒武纪,1507.46,40.45,14.20,0.60,82880000.00,否
300382.SZ,斯莱克,16.13,38.41,5.01,0.54,1120000.00,否
002317.SZ,众生药业,22.90,37.06,9.99,0.28,2000000.00,否
002902.SZ,铭普光磁,36.77,36.35,4.61,0.42,900000.00,否
002364.SZ,中恒电气,54.16,33.94,4.17,0.50,2980000.00,否
002957.SZ,科瑞技术,60.15,33.25,4.86,0.51,1970000.00,否
601609.SH,金田股份,13.00,31.51,6.82,0.53,2340000.00,否
688411.SH,海博思创,281.00,30.61,1.53,0.47,4650000.00,否
301626.SZ,苏州天脉,337.12,30.49,4.49,0.52,3170000.00,否
002536.SZ,飞龙股份,45.71,27.35,2.19,0.37,2670000.00,否
300316.SZ,晶盛机电,53.89,26.95,3.89,0.53,6820000.00,否
300276.SZ,三丰智能,7.91,26.66,2.06,0.49,1280000.00,否
600885.SH,宏发股份,35.50,24.72,4.60,0.33,5000000.00,否
600184.SH,光电股份,28.22,24.68,5.81,0.44,1570000.00,否
002046.SZ,国机精工,63.69,22.08,2.71,0.53,2760000.00,否
601689.SH,拓普集团,62.30,21.48,3.64,0.55,12380000.00,否
000620.SZ,盈新发展,2.96,21.07,-1.66,0.44,1960000.00,是
688692.SH,达梦数据,271.28,20.03,1.66,0.50,3050000.00,否
300476.SZ,胜宏科技,369.00,18.75,2.02,0.58,33120000.00,否
300327.SZ,中颖电子,28.80,18.51,1.98,0.47,956000.00,否
002050.SZ,三花智控,45.74,18.07,2.56,0.44,22020000.00,否
002821.SZ,凯莱英,123.82,16.84,7.67,0.40,4250000.00,是
