股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
300505.SZ,川金诺,65.30,20260611,6.63,19.99,117.55
300481.SZ,濮阳惠成,44.20,20260611,4.89,20.01,67.53
002165.SZ,红 宝 丽,67.20,20260611,4.49,10.00,136.74
688010.SH,福光股份,64.80,20260611,4.13,19.98,60.92
002312.SZ,川发龙蟒,190.00,20260611,4.13,7.25,64.83
002636.SZ,金安国纪,321.00,20260611,3.83,9.53,757.25
603155.SH,新亚强,63.70,20260611,3.73,9.98,91.82
000921.SZ,海信家电,339.00,20260611,3.34,9.98,92.91
000422.SZ,湖北宜化,161.00,20260611,3.15,8.99,93.28
603991.SH,至正股份,194.00,20260611,3.15,10.00,69.11
603606.SH,东方电缆,409.00,20260611,3.03,7.53,175.75
688709.SH,成都华微,255.00,20260611,2.92,9.39,62.17
300665.SZ,飞鹿股份,22.10,20260611,2.89,6.68,61.88
301571.SZ,国科天成,118.00,20260611,2.76,12.89,69.33
002654.SZ,万润科技,148.00,20260611,2.75,10.01,159.53
600060.SH,海信视像,315.00,20260611,2.70,8.37,106.46
300263.SZ,隆华科技,138.00,20260611,2.68,19.97,265.45
688380.SH,中微半导,209.00,20260611,2.66,9.04,90.22
300540.SZ,蜀道装备,67.00,20260611,2.66,8.52,77.29
300264.SZ,佳创视讯,42.90,20260611,2.65,17.45,76.02
605318.SH,法狮龙,131.00,20260611,2.59,8.95,124.84
603929.SH,亚翔集成,390.00,20260610,2.57,7.90,398.12
300411.SZ,金盾股份,40.70,20260610,2.51,10.20,64.27
002549.SZ,凯美特气,131.00,20260611,2.51,10.00,126.90
688661.SH,和林微纳,191.00,20260611,2.51,20.00,132.59
