股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
688260.SH,昀冢科技,128.81,329.46,4.22,0.51,709000.00,否
301176.SZ,逸豪新材,75.50,177.78,5.42,0.52,753000.00,否
688531.SH,日联科技,166.52,172.43,3.30,0.49,2420000.00,否
688449.SH,联芸科技,81.40,88.67,9.04,0.60,3400000.00,否
603316.SH,诚邦股份,23.32,80.94,7.07,0.56,595000.00,否
300820.SZ,英杰电气,79.00,73.86,4.80,0.45,1560000.00,否
688008.SH,澜起科技,266.49,73.75,3.29,0.56,30200000.00,否
300323.SZ,华灿光电,16.42,73.11,2.11,0.44,2710000.00,是
002185.SZ,华天科技,20.98,72.61,7.37,0.46,5000000.00,否
603800.SH,洪田股份,77.23,71.40,3.79,0.51,1200000.00,否
000417.SZ,合百集团,8.31,64.03,7.36,0.30,675000.00,否
300042.SZ,朗科科技,72.69,59.07,2.51,0.38,1450000.00,否
688652.SH,京仪装备,161.40,57.60,6.25,0.59,2790000.00,否
002156.SZ,通富微电,74.64,55.70,9.09,0.59,8930000.00,否
688596.SH,正帆科技,47.61,55.55,5.19,0.53,1460000.00,是
301269.SZ,华大九天,107.85,54.91,6.47,0.35,5190000.00,否
000988.SZ,华工科技,167.89,53.96,2.58,0.58,15930000.00,否
603155.SH,新亚强,22.80,52.06,8.31,0.59,637000.00,否
601133.SH,柏诚股份,32.37,46.84,9.99,0.52,1600000.00,否
002169.SZ,智光电气,15.79,46.17,9.96,0.50,1270000.00,否
300576.SZ,容大感光,52.79,44.52,3.07,0.57,1680000.00,否
300602.SZ,飞荣达,49.20,44.16,6.82,0.49,2300000.00,否
002957.SZ,科瑞技术,56.32,43.57,2.53,0.52,1970000.00,否
300274.SZ,阳光电源,154.80,42.08,1.84,0.48,32630000.00,否
300151.SZ,昌红科技,24.30,42.01,8.68,0.55,1090000.00,否
002364.SZ,中恒电气,55.18,41.88,10.01,0.53,2980000.00,否
688981.SH,中芯国际,151.53,40.59,6.94,0.49,95210000.00,否
300041.SZ,回天新材,14.53,39.86,1.54,0.47,689000.00,否
301603.SZ,乔锋智能,138.00,37.81,3.59,0.55,1710000.00,是
688206.SH,概伦电子,39.78,35.54,7.60,0.51,1530000.00,否
301629.SZ,矽电股份,404.00,35.07,5.06,0.47,1750000.00,是
002132.SZ,恒星科技,5.49,34.99,7.44,0.45,760000.00,否
300316.SZ,晶盛机电,57.06,31.60,2.26,0.55,6820000.00,否
688183.SH,生益电子,136.61,27.99,7.72,0.54,8690000.00,否
600885.SH,宏发股份,34.00,25.33,1.71,0.32,5000000.00,否
000620.SZ,盈新发展,2.98,24.63,2.05,0.44,1960000.00,是
300720.SZ,海川智能,82.70,24.63,1.66,0.55,1380000.00,否
300476.SZ,胜宏科技,343.43,24.51,1.55,0.58,33120000.00,否
002077.SZ,大港股份,18.95,21.21,4.01,0.52,1010000.00,否
