股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
300209.SZ,行云科技,27.11,147.40,13.01,0.58,2600000.00,否
300903.SZ,科翔股份,74.41,119.21,12.74,0.48,3140000.00,否
603738.SH,泰晶科技,47.04,99.14,7.50,0.56,2030000.00,否
603936.SH,博敏电子,23.72,84.01,10.02,0.59,1300000.00,否
300567.SZ,精测电子,192.90,70.31,2.18,0.57,5250000.00,否
688401.SH,路维光电,78.77,62.98,8.29,0.59,1380000.00,否
688596.SH,正帆科技,47.42,61.29,3.24,0.50,1460000.00,否
688663.SH,新风光,85.37,61.24,3.33,0.57,1410000.00,否
300843.SZ,胜蓝股份,89.52,60.94,5.80,0.50,1690000.00,否
688308.SH,欧科亿,142.00,60.07,2.14,0.54,1800000.00,否
688182.SH,灿勤科技,34.80,56.35,2.26,0.50,1750000.00,否
688981.SH,中芯国际,127.40,53.66,1.64,0.50,95210000.00,否
688699.SH,明微电子,60.18,50.94,3.22,0.47,723000.00,否
301235.SZ,华康洁净,73.39,50.53,4.51,0.56,812000.00,否
301182.SZ,凯旺科技,89.00,48.99,2.28,0.57,763000.00,否
301629.SZ,矽电股份,388.80,45.51,4.82,0.42,1750000.00,否
002371.SZ,北方华创,637.50,44.97,2.96,0.54,44920000.00,否
300488.SZ,恒锋工具,38.52,44.36,3.77,0.48,737000.00,否
300720.SZ,海川智能,73.87,42.81,6.86,0.48,1380000.00,否
688720.SH,艾森股份,102.29,42.27,7.13,0.53,864000.00,否
600888.SH,新疆众和,11.14,41.60,2.30,0.55,1430000.00,是
601133.SH,柏诚股份,30.89,41.30,5.72,0.47,1600000.00,否
300602.SZ,飞荣达,41.63,41.28,1.88,0.58,2300000.00,否
688035.SH,德邦科技,88.50,40.98,7.83,0.55,1240000.00,否
600184.SH,光电股份,25.72,39.79,2.02,0.55,1570000.00,否
002407.SZ,多氟多,38.19,38.28,9.99,0.45,4430000.00,否
688433.SH,华曙高科,92.75,36.36,2.23,0.57,3910000.00,否
300274.SZ,阳光电源,146.75,36.30,2.23,0.53,32630000.00,否
688206.SH,概伦电子,40.08,36.28,2.95,0.58,1530000.00,否
002768.SZ,国恩股份,66.99,35.91,2.38,0.53,1930000.00,否
688179.SH,阿拉丁,20.18,35.17,1.66,0.58,839000.00,否
002317.SZ,众生药业,22.76,33.26,3.41,0.35,2000000.00,否
000060.SZ,中金岭南,7.17,32.19,3.17,0.43,3240000.00,否
688605.SH,先锋精科,82.77,31.54,7.44,0.60,1650000.00,否
000690.SZ,宝新能源,5.13,31.42,1.99,0.47,1250000.00,否
000510.SZ,新金路,17.61,31.23,9.99,0.47,890000.00,否
300623.SZ,捷捷微电,32.33,30.35,3.09,0.49,2730000.00,否
603333.SH,尚纬股份,8.90,28.73,1.83,0.45,628000.00,是
300852.SZ,四会富仕,52.76,27.52,6.97,0.47,838000.00,否
603296.SH,华勤技术,104.78,26.75,1.56,0.41,11700000.00,否
603010.SH,万盛股份,14.01,26.25,4.24,0.42,851000.00,否
003022.SZ,联泓新科,24.70,25.99,2.28,0.60,3200000.00,否
601137.SH,博威合金,24.71,23.78,10.02,0.48,1900000.00,否
601678.SH,滨化股份,5.95,23.51,5.31,0.39,1270000.00,是
300327.SZ,中颖电子,27.16,23.16,2.84,0.50,956000.00,否
301626.SZ,苏州天脉,296.85,22.37,2.12,0.55,3170000.00,否
603979.SH,金诚信,68.11,21.38,2.92,0.45,4100000.00,否
600023.SH,浙能电力,6.30,21.38,5.53,0.55,8980000.00,否
603690.SH,至纯科技,28.46,21.34,4.06,0.60,1110000.00,否
688376.SH,美埃科技,77.54,21.00,6.80,0.44,1160000.00,否
600979.SH,广安爱众,4.99,20.58,9.91,0.40,640000.00,否
002842.SZ,翔鹭钨业,39.34,19.67,10.01,0.38,1090000.00,否
300558.SZ,贝达药业,52.80,18.85,4.33,0.42,2050000.00,否
600575.SH,淮河能源,3.75,18.70,1.90,0.57,2850000.00,否
688525.SH,佰维存储,324.27,18.47,2.29,0.59,14760000.00,否
603358.SH,华达科技,37.43,17.81,0.84,0.50,1770000.00,是
603163.SH,圣晖集成,115.03,15.69,8.40,0.59,1220000.00,否
