股票代码,股票名称,T日,最低收盘价,最高收盘价,T前平均成交额(亿),T后平均成交额(亿),缩量倍数,涨幅
002031.SZ,巨轮智能,20260818,5.03,6.26,16.67,6.52,2.56,24.45%
301396.SZ,宏景科技,20260818,172.34,213.51,54.36,26.86,2.02,23.89%
