股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
002317.SZ,众生药业,28.49,43.55,0.89,0.43,2000000.00,是
600488.SH,津药药业,6.15,40.16,2.16,0.50,655000.00,是
002821.SZ,凯莱英,177.25,38.27,0.07,0.49,4250000.00,是
002422.SZ,科伦药业,46.26,36.57,-0.92,0.45,5140000.00,是
600756.SH,浪潮软件,15.54,28.63,4.58,0.57,570000.00,否
600415.SH,小商品城,12.30,27.96,3.19,0.51,7800000.00,否
688235.SH,百济神州,293.78,26.82,1.34,0.60,36990000.00,是
002714.SZ,牧原股份,39.93,25.73,1.63,0.46,23270000.00,否
000876.SZ,新 希 望,7.19,24.71,3.75,0.35,3760000.00,是
300498.SZ,温氏股份,13.90,23.07,3.19,0.45,9700000.00,否
000703.SZ,恒逸石化,17.47,22.92,3.62,0.47,5640000.00,是
002440.SZ,闰土股份,13.23,20.19,1.46,0.49,1090000.00,是
002532.SZ,天山铝业,13.28,20.02,-1.99,0.52,7060000.00,是
000893.SZ,亚钾国际,47.49,17.98,2.68,0.48,4610000.00,是
600536.SH,中国软件,34.45,17.51,9.99,0.44,3840000.00,是
000933.SZ,神火股份,26.38,17.34,-0.68,0.49,6700000.00,是
601766.SH,中国中车,6.04,16.57,1.17,0.40,16960000.00,是
002594.SZ,比亚迪,89.53,15.49,-0.39,0.44,87530000.00,是
601628.SH,中国人寿,36.95,15.34,-1.73,0.42,98110000.00,是
