board_code,board_name
BK0986,CAR-T细胞疗法
BK0988,钠离子电池
BK0989,储能概念
BK0990,快递概念
BK0991,工程机械概念
BK0992,REITs概念
BK0993,宠物经济
BK0994,空间站概念
BK0995,华为昇腾
BK0998,机器视觉
BK1001,内贸流通
BK1002,激光雷达
BK1003,抽水蓄能
BK1004,工业母机
BK1005,专精特新
BK1006,碳基材料
BK1007,植物照明
BK1008,国资云概念
BK1009,元宇宙概念
BK1010,磷化工
BK1011,环氧丙烷
BK1012,PVDF概念
BK1013,华为欧拉
BK1014,发电机概念
BK1015,能源金属
BK1016,汽车服务
BK1017,资源开采概念
BK1018,橡胶
BK1019,化学原料
BK1020,非金属材料Ⅱ
BK1022,职业教育
BK1023,培育钻石
BK1024,绿色电力
BK1025,预制菜概念
BK1026,调味品概念
BK1027,小金属
BK1028,燃气Ⅱ
BK1029,汽车整车
BK1030,电机Ⅱ
BK1031,光伏设备
BK1032,风电设备
BK1033,电池
BK1034,其他电源设备Ⅱ
BK1035,美容护理
BK1036,半导体
BK1037,消费电子
BK1038,光学光电子
BK1039,电子化学品Ⅱ
BK1040,中药Ⅱ
BK1041,医疗器械
BK1042,医药商业
BK1043,专业服务
BK1044,生物制品
BK1045,房地产服务
BK1046,游戏Ⅱ
BK1047,数据安全
BK1048,IGBT概念
BK1049,EDR概念
BK1052,动力电池回收
BK1053,低价股
BK1054,DRG/DIP
BK1055,虚拟数字人
BK1056,幽门螺杆菌概念
BK1057,电子纸概念
BK1058,地下管网
BK1061,数字经济
BK1063,重组蛋白
BK1064,东数西算
BK1066,民爆概念
BK1068,净水概念
BK1069,智慧灯杆
BK1070,土壤修复
BK1071,跨境支付
BK1073,啤酒概念
BK1074,托育服务
BK1075,电子身份证
BK1076,建筑节能
BK1077,统一大市场
BK1078,肝炎概念
BK1079,户外露营
BK1080,新型城镇化
BK1082,噪声防治
BK1086,粮食概念
BK1087,超超临界发电
BK1088,F5G概念
BK1089,汽车热管理
BK1090,机器人概念
BK1092,麒麟电池
BK1093,汽车一体化压铸
BK1094,钙钛矿电池
BK1095,钒电池
BK1097,TOPCon电池
BK1098,生物质能发电
BK1099,轮毂电机
BK1100,减速器
BK1101,先进封装
BK1102,空气能热泵
BK1103,熔盐储能
BK1104,信创
BK1106,创新药
BK1109,供销社概念
BK1110,Web3.0
BK1111,AIGC概念
BK1112,破净股
BK1113,复合集流体
BK1115,跨境电商
BK1116,抗菌面料
BK1118,数据确权
BK1119,PLC概念
BK1121,第四代半导体
BK1124,毫米波概念
BK1125,电子后视镜
BK1126,ChatGPT概念
BK1127,AI芯片
BK1128,CPO概念
BK1129,数字水印
BK1130,时空大数据
BK1131,同步磁阻电机
BK1132,MLOps概念
BK1133,ERP概念
BK1134,算力概念
BK1135,数据要素
BK1136,光通信模块
BK1137,存储芯片
BK1138,液冷服务器
BK1139,中特估
BK1141,混合现实
BK1142,裸眼3D
BK1143,空间计算
BK1144,高压快充
BK1145,机器人执行器
BK1146,减肥药
BK1147,SPD概念
BK1148,BC电池
BK1150,新型工业化
BK1151,短剧互动游戏
BK1152,高带宽内存
BK1153,多模态AI
BK1155,小米汽车
BK1156,PEEK材料概念
BK1157,飞行汽车(eVTOL)
BK1158,微盘股
BK1160,柔性屏(折叠屏)
BK1161,英伟达概念
BK1162,AI手机
BK1163,可控核聚变
BK1164,AIPC
BK1166,低空经济
BK1168,铜缆高速连接
BK1169,Kimi概念
BK1170,AI制药（医疗）
BK1171,碳纤维
BK1172,AI语料
BK1173,锂矿概念
BK1174,合成生物
BK1175,玻璃基板
BK1176,财税数字化
BK1177,荣耀概念
BK1178,AI眼镜
BK1179,房屋检测
BK1180,华为海思
BK1181,并购重组概念
BK1182,智谱AI概念
BK1183,谷子经济
BK1184,人形机器人
BK1185,冰雪经济
BK1186,首发经济
BK1187,小红书概念
BK1188,DeepSeek概念
BK1189,腾讯云
BK1190,虚拟机器人
BK1192,雅下水电概念
BK1193,海南自贸
BK1197,反内卷概念
BK1200,电力设备
BK1201,电子
BK1202,房地产
BK1203,非银金融
BK1204,国防军工
BK1205,机械设备
BK1206,基础化工
BK1207,计算机
BK1208,建筑材料
BK1209,建筑装饰
BK1210,交通运输
BK1211,汽车
BK1212,轻工制造
BK1213,商贸零售
BK1214,社会服务
BK1215,通信
BK1216,医药生物
BK1217,综合
BK1218,出版
BK1219,电视广播Ⅱ
BK1220,广告营销
BK1221,数字媒体
BK1222,影视院线
BK1223,其他电子Ⅱ
BK1224,纺织制造
BK1225,服装家纺
BK1226,普钢
BK1227,特钢Ⅱ
BK1228,冶钢原料
BK1229,地面兵装Ⅱ
BK1230,航海装备Ⅱ
BK1231,航空装备Ⅱ
BK1232,航天装备Ⅱ
BK1233,军工电子Ⅱ
BK1234,环保设备Ⅱ
BK1235,环境治理
BK1236,轨交设备Ⅱ
BK1237,自动化设备
BK1238,IT服务Ⅱ
BK1239,白色家电
BK1240,厨卫电器
BK1241,黑色家电
BK1242,家电零部件Ⅱ
BK1244,小家电
BK1245,照明设备Ⅱ
BK1246,房屋建设Ⅱ
BK1247,基础建设
BK1249,焦炭Ⅱ
BK1250,煤炭开采
BK1251,个护用品
BK1252,化妆品
BK1253,医疗美容
BK1254,动物保健Ⅱ
BK1255,林业Ⅱ
BK1256,农产品加工
BK1257,农业综合Ⅱ
BK1258,饲料
BK1259,养殖业
BK1260,渔业
BK1261,种植业
BK1262,乘用车
BK1263,摩托车及其他
BK1264,商用车
BK1265,包装印刷
BK1266,文娱用品
BK1267,造纸
BK1268,互联网电商
