股票代码,股票名称,涨幅
300613.SZ,富瀚微,20.01%
301205.SZ,联特科技,14.89%
300290.SZ,荣科科技,12.62%
688611.SH,杭州柯林,10.78%
002131.SZ,利欧股份,10.09%
000967.SZ,盈峰环境,10.06%
601611.SH,中国核建,10.05%
002361.SZ,神剑股份,10.03%
601865.SH,福莱特,10.02%
600438.SH,通威股份,10.02%
002792.SZ,通宇通讯,10.02%
000815.SZ,美利云,10.01%
601858.SH,中国科传,10.01%
600396.SH,华电辽能,10.00%
002803.SZ,吉宏股份,10.00%
001331.SZ,胜通能源,9.99%
603011.SH,合锻智能,9.99%
002896.SZ,中大力德,9.99%
603156.SH,养元饮品,9.99%
002176.SZ,江特电机,9.99%
605488.SH,福莱新材,9.99%
002354.SZ,天娱数科,9.98%
001208.SZ,华菱线缆,9.98%
603778.SH,国晟科技,9.96%
002366.SZ,融发核电,9.93%
002471.SZ,中超控股,9.65%
