股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
002552.SZ,宝鼎科技,58.62,219.06,9.84,0.57,1510000.00,否
300903.SZ,科翔股份,70.03,108.40,-5.89,0.48,3140000.00,是
603738.SH,泰晶科技,51.74,104.71,9.99,0.54,2030000.00,否
605111.SH,新洁能,59.57,84.40,2.02,0.47,2120000.00,否
300567.SZ,精测电子,196.30,72.23,1.76,0.53,5250000.00,否
301021.SZ,英诺激光,88.46,68.41,4.93,0.57,1340000.00,否
300553.SZ,集智股份,63.78,67.30,1.63,0.59,708000.00,否
002741.SZ,光华科技,29.63,66.19,7.24,0.57,1080000.00,否
300843.SZ,胜蓝股份,93.11,65.75,4.01,0.53,1690000.00,否
688308.SH,欧科亿,140.53,63.81,-1.04,0.53,1800000.00,是
688249.SH,晶合集成,40.50,60.95,6.83,0.51,8240000.00,否
301200.SZ,大族数控,277.00,60.51,5.29,0.60,10680000.00,否
300661.SZ,圣邦股份,111.44,60.12,5.91,0.47,6990000.00,否
000417.SZ,合百集团,7.17,58.02,1.99,0.32,675000.00,否
002903.SZ,宇环数控,45.36,56.52,2.02,0.45,754000.00,否
603916.SH,苏博特,14.35,56.46,7.17,0.47,656000.00,否
688611.SH,杭州柯林,77.43,56.37,6.21,0.38,1130000.00,否
300259.SZ,新天科技,5.42,55.30,2.07,0.47,807000.00,否
002380.SZ,科远智慧,37.04,53.24,2.58,0.44,1060000.00,否
603439.SH,三力制药,14.95,52.74,-3.36,0.59,512000.00,是
002371.SZ,北方华创,667.19,46.99,4.66,0.56,44920000.00,否
688256.SH,寒武纪,1240.00,46.62,1.68,0.59,82880000.00,否
603269.SH,海鸥股份,22.81,46.11,7.49,0.57,668000.00,否
002407.SZ,多氟多,39.67,42.14,3.88,0.48,4430000.00,否
300274.SZ,阳光电源,148.76,41.97,1.37,0.54,32630000.00,是
000404.SZ,长虹华意,7.87,40.00,1.42,0.34,667000.00,是
601609.SH,金田股份,12.55,39.40,9.99,0.52,2340000.00,否
688433.SH,华曙高科,92.77,38.78,0.02,0.55,3910000.00,是
600601.SH,方正科技,12.89,38.13,9.98,0.44,5280000.00,否
002536.SZ,飞龙股份,41.40,36.96,2.32,0.48,2670000.00,否
002617.SZ,露笑科技,8.50,36.91,4.55,0.54,1800000.00,否
000510.SZ,新金路,19.37,36.16,9.99,0.50,890000.00,是
000600.SZ,建投能源,10.27,36.04,1.99,0.41,1960000.00,否
688469.SH,芯联集成-U,7.31,35.85,3.25,0.58,6520000.00,否
601001.SH,晋控煤业,20.81,34.98,1.31,0.53,2970000.00,是
002046.SZ,国机精工,59.19,34.44,2.53,0.58,2760000.00,否
002902.SZ,铭普光磁,32.86,34.06,3.82,0.40,900000.00,否
688183.SH,生益电子,123.65,33.27,6.45,0.49,8690000.00,否
000060.SZ,中金岭南,7.56,33.23,5.44,0.44,3240000.00,是
000690.SZ,宝新能源,5.20,31.98,1.36,0.45,1250000.00,是
300852.SZ,四会富仕,52.25,31.68,-0.97,0.49,838000.00,是
001301.SZ,尚太科技,89.45,31.21,7.54,0.37,2090000.00,否
002608.SZ,江苏国信,8.76,30.60,0.23,0.54,3280000.00,是
688179.SH,阿拉丁,20.58,30.55,1.98,0.58,839000.00,是
688411.SH,海博思创,264.66,30.01,9.68,0.49,4650000.00,否
688692.SH,达梦数据,268.26,29.96,5.61,0.57,3050000.00,否
000722.SZ,湖南发展,15.07,26.52,5.61,0.45,705000.00,否
300397.SZ,天和防务,13.29,23.80,2.07,0.56,725000.00,否
301626.SZ,苏州天脉,291.72,22.74,-1.73,0.54,3170000.00,是
601137.SH,博威合金,24.41,22.43,-1.21,0.57,1900000.00,是
000783.SZ,长江证券,7.70,22.13,4.34,0.30,4650000.00,否
000969.SZ,安泰科技,24.46,21.87,9.98,0.59,2260000.00,是
603979.SH,金诚信,70.76,21.67,3.89,0.47,4100000.00,否
300199.SZ,翰宇药业,21.86,21.35,5.40,0.41,2110000.00,否
000543.SZ,皖能电力,8.68,20.64,0.58,0.50,2040000.00,是
601233.SH,桐昆股份,22.30,19.91,10.01,0.59,4690000.00,否
603358.SH,华达科技,38.51,19.90,2.89,0.50,1770000.00,否
601168.SH,西部矿业,30.71,19.05,3.96,0.55,7210000.00,否
002733.SZ,雄韬股份,34.53,18.10,10.00,0.51,985000.00,否
600642.SH,申能股份,9.63,17.72,0.73,0.53,4810000.00,是
603040.SH,新坐标,88.73,17.62,3.52,0.58,1180000.00,否
600111.SH,北方稀土,49.43,17.11,4.02,0.45,18170000.00,否
002948.SZ,青岛银行,5.99,16.70,1.70,0.44,3290000.00,否
000301.SZ,东方盛虹,11.88,16.49,2.33,0.42,8340000.00,否
002913.SZ,奥士康,55.98,15.83,1.76,0.55,1690000.00,是
000899.SZ,赣能股份,13.27,15.37,3.59,0.41,1400000.00,是
603995.SH,甬金股份,19.63,15.06,3.15,0.59,683000.00,否
