股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
688131.SH,皓元医药,150.00,20260618,5.83,15.08,135.13
688729.SH,屹唐股份,794.00,20260618,4.76,19.99,237.97
300166.SZ,东方国信,244.00,20260618,3.92,20.03,348.73
300697.SZ,电工合金,73.20,20260618,3.89,10.97,78.30
002685.SZ,华东重机,86.90,20260618,3.48,7.37,75.93
300418.SZ,昆仑万维,627.00,20260618,3.47,10.97,562.38
300943.SZ,春晖智控,77.10,20260618,3.37,20.00,86.09
300624.SZ,万兴科技,133.00,20260618,3.29,6.21,86.93
001287.SZ,中电港,216.00,20260618,3.29,7.34,264.73
603285.SH,键邦股份,79.60,20260618,3.14,7.61,62.33
002044.SZ,美年健康,250.00,20260618,3.00,7.07,176.86
688333.SH,铂力特,241.00,20260618,2.98,20.00,334.17
300861.SZ,美畅股份,137.00,20260618,2.98,19.98,105.75
000777.SZ,中核科技,74.30,20260617,2.91,10.02,170.18
300584.SZ,海辰药业,46.30,20260618,2.90,7.27,75.73
603358.SH,华达科技,177.00,20260618,2.87,9.99,114.60
605006.SH,山东玻纤,89.40,20260617,2.77,8.42,262.57
301363.SZ,美好医疗,170.00,20260618,2.72,6.45,66.60
601138.SH,工业富联,1.36,20260618,2.68,7.49,3306.34
300100.SZ,双林股份,199.00,20260618,2.61,11.86,89.87
300420.SZ,五洋自控,50.60,20260618,2.61,15.77,234.72
300842.SZ,帝科股份,140.00,20260618,2.53,10.43,99.30
301127.SZ,武汉天源,88.20,20260618,2.51,11.72,52.37
