股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
000811.SZ,冰轮环境,378.00,20260622,11.89,10.01,308.01
603407.SH,长裕集团,293.00,20260623,9.00,9.99,88.89
002167.SZ,东方锆业,93.00,20260623,6.84,9.98,191.32
301580.SZ,爱迪特,67.40,20260623,5.71,10.83,274.07
300046.SZ,台基股份,82.10,20260623,5.66,12.42,141.69
300077.SZ,国民技术,193.00,20260623,4.46,15.71,432.57
688367.SH,工大高科,32.90,20260623,4.31,6.86,59.71
688179.SH,阿拉丁,83.90,20260623,3.84,18.13,122.68
600470.SH,六国化工,31.70,20260623,3.69,9.98,63.43
601162.SH,天风证券,363.00,20260623,3.67,6.51,254.35
688653.SH,康希通信,69.30,20260623,3.55,10.48,60.19
000545.SZ,金浦钛业,28.10,20260623,3.47,6.79,50.66
300461.SZ,田中精机,81.50,20260623,3.19,13.18,70.86
600977.SH,中国电影,274.00,20260623,3.18,6.19,213.39
002653.SZ,海思科,579.00,20260623,2.89,8.08,51.48
300540.SZ,蜀道装备,67.00,20260623,2.63,10.61,68.75
300067.SZ,安诺其,80.80,20260623,2.56,7.12,79.84
603380.SH,易德龙,69.20,20260622,2.56,9.99,68.30
688291.SH,金橙子,55.00,20260623,2.54,20.00,53.73
603757.SH,大元泵业,119.00,20260622,2.50,10.01,161.02
