股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
000777.SZ,中核科技,74.30,20260617,13.28,10.02,170.18
600110.SH,诺德股份,169.00,20260615,4.36,9.97,97.87
300727.SZ,润禾材料,62.00,20260617,4.23,11.98,75.86
002585.SZ,双星新材,102.00,20260617,4.12,6.07,425.57
002989.SZ,中天精装,68.50,20260617,3.76,10.01,73.95
603271.SH,永杰新材,96.90,20260617,3.72,8.45,95.39
002177.SZ,御银股份,60.60,20260617,3.50,6.36,55.00
603166.SH,福达股份,93.90,20260617,3.23,6.82,75.19
300351.SZ,永贵电器,96.80,20260617,3.20,19.99,96.00
300522.SZ,世名科技,44.00,20260617,3.16,20.01,85.94
603186.SH,华正新材,162.00,20260617,3.12,10.00,360.31
601868.SH,中国能建,1411.00,20260617,3.09,7.84,323.61
688590.SH,新致软件,50.50,20260616,2.98,10.01,63.51
300596.SZ,利安隆,106.00,20260617,2.97,9.91,51.97
301303.SZ,真兰仪表,59.20,20260617,2.89,12.75,50.40
601669.SH,中国电建,1001.00,20260617,2.82,7.04,201.23
002851.SZ,麦格米特,736.00,20260617,2.81,9.33,1094.03
300790.SZ,宇瞳光学,129.00,20260617,2.53,11.20,258.06
300411.SZ,金盾股份,40.70,20260610,2.51,10.20,64.27
