股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
601958.SH,金钼股份,677.00,20260615,8.10,9.99,602.93
300005.SZ,探路者,143.00,20260615,5.33,19.97,191.95
600497.SH,驰宏锌锗,501.00,20260615,3.28,9.05,372.79
300377.SZ,赢时胜,128.00,20260615,3.26,8.20,235.44
002440.SZ,闰土股份,109.00,20260615,3.11,10.03,96.93
000510.SZ,新金路,89.00,20260612,2.96,9.99,138.14
601872.SH,招商轮船,1411.00,20260612,2.92,8.18,281.02
000630.SZ,铜陵有色,807.00,20260615,2.69,7.89,934.25
300497.SZ,富祥股份,88.80,20260615,2.67,10.27,83.10
601021.SH,春秋航空,446.00,20260615,2.64,6.28,115.83
002733.SZ,雄韬股份,98.50,20260615,2.61,9.27,212.70
300024.SZ,机器人,261.00,20260615,2.59,13.07,191.31
002426.SZ,胜利精密,128.00,20260615,2.58,9.97,171.89
600346.SH,恒力石化,1411.00,20260612,2.58,7.18,125.57
301536.SZ,星宸科技,396.00,20260615,2.58,16.50,281.26
301486.SZ,致尚科技,343.00,20260615,2.56,16.84,256.06
301312.SZ,智立方,143.00,20260615,2.55,16.48,81.60
601696.SH,中银证券,335.00,20260615,2.53,9.97,165.48
300411.SZ,金盾股份,40.70,20260610,2.51,10.20,64.27
