股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
301303.SZ,真兰仪表,59.20,20260605,6.43,13.75,61.29
002446.SZ,盛路通信,99.50,20260605,4.79,8.59,148.07
600403.SH,大有能源,131.00,20260605,4.04,10.00,168.22
002387.SZ,维信诺,116.00,20260605,3.83,9.98,82.69
600293.SH,三峡新材,37.70,20260605,3.62,10.00,81.42
603859.SH,能科科技,111.00,20260605,3.57,10.00,109.23
688559.SH,海目星,163.00,20260605,3.25,11.35,201.76
300353.SZ,东土科技,124.00,20260605,3.21,20.02,149.35
002164.SZ,宁波东力,79.10,20260605,3.19,8.99,55.85
600973.SH,宝胜股份,103.00,20260605,3.17,9.96,69.81
300420.SZ,五洋自控,50.60,20260605,3.12,7.24,179.36
300346.SZ,南大光电,400.00,20260605,2.95,8.44,653.43
000893.SZ,亚钾国际,461.00,20260605,2.84,6.88,110.50
300328.SZ,宜安科技,133.00,20260605,2.77,12.86,288.25
600382.SH,广东明珠,58.80,20260605,2.75,10.00,72.08
003021.SZ,兆威机电,300.00,20260605,2.69,6.58,117.20
301313.SZ,凡拓数创,52.70,20260605,2.61,10.84,90.49
688403.SH,汇成股份,202.00,20260605,2.58,11.50,298.72
000070.SZ,特发信息,163.00,20260605,2.54,7.50,360.02
