股票代码,股票名称,最低收盘价,最高收盘价,涨幅
300666.SZ,江丰电子,185.01,264.05,42.72%
003031.SZ,中瓷电子,91.18,130.08,42.66%
002842.SZ,翔鹭钨业,29.60,42.22,42.64%
688449.SH,联芸科技,48.96,69.65,42.26%
688286.SH,敏芯股份,37.68,53.56,42.14%
601886.SH,江河集团,8.27,11.75,42.08%
300672.SZ,国科微,122.58,174.11,42.04%
688026.SH,洁特生物,13.07,18.55,41.93%
301196.SZ,唯科科技,62.05,88.01,41.84%
300749.SZ,顶固集创,16.81,23.84,41.82%
301529.SZ,福赛科技,74.97,106.32,41.82%
002491.SZ,通鼎互联,13.86,19.65,41.77%
688630.SH,芯碁微装,303.53,430.30,41.77%
301201.SZ,诚达药业,28.21,39.94,41.58%
001260.SZ,坤泰股份,16.34,23.13,41.55%
688352.SH,颀中科技,13.31,18.83,41.47%
300936.SZ,中英科技,57.68,81.59,41.45%
688233.SH,神工股份,84.32,119.22,41.39%
301489.SZ,思泉新材,84.74,119.80,41.37%
301526.SZ,国际复材,27.88,39.39,41.28%
688114.SH,华大智造,49.77,70.29,41.23%
300931.SZ,通用电梯,10.41,14.70,41.21%
002579.SZ,中京电子,10.73,15.15,41.19%
300567.SZ,精测电子,167.00,235.66,41.11%
601700.SH,风范股份,5.38,7.59,41.08%
301123.SZ,奕东电子,55.56,78.35,41.02%
688652.SH,京仪装备,114.14,160.70,40.79%
300907.SZ,康平科技,35.91,50.53,40.71%
301282.SZ,金禄电子,20.84,29.31,40.64%
002971.SZ,和远气体,32.29,45.38,40.54%
600183.SH,生益科技,102.03,143.23,40.38%
688028.SH,沃尔德,65.44,91.80,40.28%
300835.SZ,龙磁科技,118.93,166.80,40.25%
002631.SZ,德尔未来,6.54,9.16,40.06%
603989.SH,艾华集团,23.57,32.99,39.97%
002913.SZ,奥士康,40.73,57.00,39.95%
603306.SH,华懋科技,55.75,78.00,39.91%
688403.SH,汇成股份,18.05,25.25,39.89%
002172.SZ,澳洋健康,3.25,4.54,39.69%
603061.SH,金海通,242.04,337.98,39.64%
688123.SH,聚辰股份,103.00,143.81,39.62%
300868.SZ,杰美特,66.01,92.13,39.57%
688607.SH,康众医疗,35.18,49.10,39.57%
002990.SZ,盛视科技,40.74,56.76,39.32%
301486.SZ,致尚科技,126.00,175.50,39.29%
301235.SZ,华康洁净,35.19,49.00,39.24%
300260.SZ,新莱应材,43.25,60.20,39.19%
301045.SZ,天禄科技,49.90,69.40,39.08%
688433.SH,华曙高科,68.93,95.86,39.07%
301234.SZ,五洲医疗,66.10,91.89,39.02%
301326.SZ,捷邦科技,75.87,105.42,38.95%
688661.SH,和林微纳,78.16,108.57,38.91%
300209.SZ,行云科技,28.03,38.93,38.89%
300540.SZ,蜀道装备,25.28,35.11,38.88%
688059.SH,华锐精密,69.49,96.28,38.55%
688808.SH,联讯仪器,1624.00,2248.00,38.42%
688293.SH,奥浦迈,48.79,67.53,38.41%
002963.SZ,豪尔赛,14.54,20.09,38.17%
688710.SH,益诺思,69.13,95.50,38.15%
300759.SZ,康龙化成,36.07,49.80,38.06%
688130.SH,晶华微,18.66,25.76,38.05%
300548.SZ,长芯博创,141.02,194.67,38.04%
301419.SZ,阿莱德,27.26,37.62,38.00%
002248.SZ,华东数控,8.82,12.17,37.98%
600234.SH,科新发展,16.98,23.39,37.75%
603256.SH,宏和科技,115.32,158.80,37.70%
688234.SH,天岳先进,81.39,112.03,37.65%
688488.SH,艾迪药业,13.19,18.15,37.60%
603083.SH,XD剑桥科,135.17,185.90,37.53%
688191.SH,智洋创新,17.27,23.74,37.46%
301008.SZ,宏昌科技,32.51,44.68,37.43%
301148.SZ,嘉戎技术,43.49,59.76,37.41%
002081.SZ,金 螳 螂,3.85,5.29,37.40%
300331.SZ,苏大维格,36.66,50.36,37.37%
603897.SH,长城科技,25.28,34.68,37.18%
301611.SZ,珂玛科技,77.45,106.21,37.13%
000887.SZ,中鼎股份,17.29,23.69,37.02%
003036.SZ,泰坦股份,40.91,56.05,37.01%
002141.SZ,贤丰控股,5.10,6.98,36.86%
301257.SZ,普蕊斯,38.59,52.80,36.82%
603078.SH,江化微,26.64,36.44,36.79%
688218.SH,江苏北人,32.50,44.44,36.74%
002885.SZ,京泉华,23.34,31.91,36.72%
688503.SH,聚和材料,58.39,79.73,36.55%
301602.SZ,超研股份,14.94,20.40,36.55%
300986.SZ,志特新材,10.84,14.80,36.53%
300083.SZ,创世纪,10.68,14.57,36.42%
688215.SH,瑞晟智能,32.54,44.39,36.42%
300811.SZ,铂科新材,57.31,78.17,36.40%
300570.SZ,太辰光,118.49,161.50,36.30%
688512.SH,慧智微-U,11.18,15.23,36.23%
688247.SH,宣泰医药,7.92,10.78,36.11%
603002.SH,宏昌电子,11.75,15.99,36.09%
688796.SH,百奥赛图,109.11,148.37,35.98%
301566.SZ,达利凯普,21.12,28.69,35.84%
002536.SZ,飞龙股份,31.55,42.85,35.82%
688813.SH,泰金新能,95.00,128.99,35.78%
688383.SH,新益昌,89.25,121.09,35.68%
688720.SH,艾森股份,49.13,66.65,35.66%
605289.SH,罗曼股份,81.90,111.09,35.64%
688456.SH,有研粉材,63.80,86.53,35.63%
603466.SH,风语筑,10.12,13.72,35.57%
000506.SZ,招金黄金,14.71,19.94,35.55%
688170.SH,德龙激光,41.44,56.15,35.50%
300426.SZ,华智数媒,5.76,7.80,35.42%
601869.SH,长飞光纤,262.30,355.18,35.41%
688150.SH,莱特光电,31.63,42.83,35.41%
002951.SZ,金时科技,13.40,18.14,35.37%
300592.SZ,华凯易佰,12.67,17.15,35.36%
003023.SZ,彩虹集团,20.69,28.00,35.33%
300606.SZ,金太阳,28.90,39.11,35.33%
603887.SH,城地香江,9.23,12.49,35.32%
301312.SZ,智立方,53.39,72.18,35.19%
301333.SZ,诺思格,47.32,63.96,35.16%
688205.SH,德科立,117.30,158.52,35.14%
688141.SH,杰华特,105.86,143.00,35.08%
