股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
002552.SZ,宝鼎科技,64.48,201.86,10.00,0.48,1510000.00,是
688143.SH,长盈通,189.20,199.81,5.70,0.48,1690000.00,否
688531.SH,日联科技,174.65,195.05,5.69,0.56,2420000.00,否
300959.SZ,线上线下,182.00,168.02,11.10,0.55,1420000.00,否
300302.SZ,同有科技,46.00,152.66,5.99,0.57,2850000.00,否
300209.SZ,行云科技,27.13,127.54,4.07,0.56,2600000.00,否
600726.SH,华电能源,8.56,124.89,5.81,0.56,5540000.00,否
688610.SH,埃科光电,225.08,113.94,5.77,0.58,1120000.00,否
300903.SZ,科翔股份,78.22,111.86,11.69,0.49,3140000.00,否
688069.SH,德林海,56.70,93.41,10.81,0.44,732000.00,否
688328.SH,深科达,71.08,92.95,6.09,0.47,702000.00,否
002938.SZ,鹏鼎控股,104.64,90.16,3.07,0.52,21820000.00,否
300939.SZ,秋田微,56.61,89.24,8.61,0.48,579000.00,否
688008.SH,澜起科技,240.10,88.13,6.77,0.56,30200000.00,否
002655.SZ,共达电声,35.88,86.96,8.07,0.45,1210000.00,否
002787.SZ,华源控股,26.11,86.51,3.86,0.43,859000.00,否
300745.SZ,欣锐科技,42.59,86.33,5.24,0.45,836000.00,是
605111.SH,新洁能,65.53,83.43,10.01,0.48,2120000.00,是
301093.SZ,华兰股份,124.85,74.14,3.35,0.50,1860000.00,否
300567.SZ,精测电子,208.46,72.12,6.19,0.54,5250000.00,否
002185.SZ,华天科技,17.13,71.37,6.66,0.57,5000000.00,否
688807.SH,优迅股份,404.96,68.12,5.29,0.35,3810000.00,否
002979.SZ,雷赛智能,51.39,67.44,1.74,0.53,2090000.00,否
688052.SH,纳芯微,252.49,63.93,7.36,0.58,3690000.00,否
002975.SZ,博杰股份,133.51,63.49,10.00,0.57,2480000.00,否
688663.SH,新风光,84.75,62.38,2.80,0.54,1410000.00,否
688170.SH,德龙激光,81.24,60.53,20.00,0.58,767000.00,否
002957.SZ,科瑞技术,54.90,59.58,9.04,0.47,1970000.00,否
688249.SH,晶合集成,42.75,59.23,5.56,0.51,8240000.00,是
001339.SZ,智微智能,101.21,59.02,3.91,0.49,2750000.00,是
301269.SZ,华大九天,101.65,58.60,7.49,0.38,5190000.00,否
603005.SH,晶方科技,43.90,57.49,7.02,0.59,2180000.00,否
300843.SZ,胜蓝股份,98.02,57.41,5.27,0.53,1690000.00,否
