股票代码,股票名称,10日累计换手率(%),10日涨幅(%)
002396.SZ,星网锐捷,290.25,13.56
000938.SZ,紫光股份,193.71,7.94
002156.SZ,通富微电,190.22,4.17
603118.SH,共进股份,161.33,6.55
600396.SH,华电辽能,133.01,27.22
603127.SH,昭衍新药,117.62,5.23
300458.SZ,全志科技,112.93,2.6
300209.SZ,行云科技,111.7,1.9
002432.SZ,九安医疗,108.42,22.07
300139.SZ,晓程科技,95.16,6.41
300759.SZ,康龙化成,88.92,13.06
001896.SZ,豫能控股,86.68,6.83
002440.SZ,闰土股份,86.53,19.7
002173.SZ,创新医疗,86.06,13.38
603629.SH,利通电子,85.8,0.43
600744.SH,华银电力,82.74,41.01
603893.SH,瑞芯微,81.98,1.28
601678.SH,滨化股份,81.06,28.24
