股票代码,股票名称,涨幅
300684.SZ,中石科技,20.00%
688112.SH,鼎阳科技,20.00%
300751.SZ,迈为股份,13.60%
688432.SH,有研硅,13.43%
688807.SH,优迅股份,11.07%
688195.SH,腾景科技,10.66%
688585.SH,上纬新材,10.26%
002385.SZ,大北农,10.10%
000998.SZ,隆平高科,10.02%
605333.SH,沪光股份,10.02%
603112.SH,华翔股份,10.01%
601702.SH,华峰铝业,10.01%
603936.SH,博敏电子,10.01%
603406.SH,天富龙,10.01%
002025.SZ,航天电器,10.01%
600113.SH,浙江东日,10.00%
000620.SZ,盈新发展,10.00%
002747.SZ,埃斯顿,10.00%
600601.SH,方正科技,10.00%
600536.SH,中国软件,9.99%
600737.SH,中粮糖业,9.99%
600353.SH,旭光电子,9.99%
600707.SH,彩虹股份,9.98%
600598.SH,北大荒,9.97%
600651.SH,飞乐音响,9.97%
601952.SH,苏垦农发,9.96%
688006.SH,杭可科技,9.89%
688593.SH,新相微,9.73%
688783.SH,西安奕材-U,9.63%
