股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
002821.SZ,凯莱英,172.26,67.29,10.00,0.47,4250000.00,否
688578.SH,艾力斯,116.99,60.14,5.66,0.47,4060000.00,否
000977.SZ,浪潮信息,77.99,56.36,1.56,0.45,10610000.00,否
002440.SZ,闰土股份,13.25,51.16,1.61,0.57,1090000.00,否
002317.SZ,众生药业,28.58,47.69,4.31,0.49,2000000.00,否
688506.SH,百利天恒,307.07,47.28,1.69,0.41,10200000.00,否
600129.SH,太极集团,16.28,38.10,6.75,0.48,806000.00,否
002422.SZ,科伦药业,45.44,37.63,6.89,0.50,5140000.00,否
002432.SZ,九安医疗,72.62,34.06,1.75,0.55,3440000.00,否
002294.SZ,信立泰,36.03,32.17,6.44,0.41,4040000.00,否
688321.SH,微芯生物,29.74,29.19,9.74,0.55,1290000.00,否
603087.SH,甘李药业,69.69,26.57,2.18,0.49,3270000.00,否
000989.SZ,九芝堂,9.48,25.19,4.75,0.43,742000.00,否
000661.SZ,长春高新,80.51,22.03,7.13,0.59,3400000.00,否
600521.SH,华海药业,17.55,22.01,6.62,0.55,2460000.00,否
300142.SZ,沃森生物,13.14,21.02,7.88,0.51,2270000.00,否
600513.SH,联环药业,18.07,20.44,2.03,0.59,561000.00,否
300723.SZ,一品红,37.99,19.33,4.20,0.36,1740000.00,否
002698.SZ,博实股份,13.68,19.06,5.88,0.48,1450000.00,否
600276.SH,恒瑞医药,54.62,18.58,4.82,0.45,34240000.00,否
002437.SZ,誉衡药业,3.12,17.41,9.86,0.53,714000.00,否
300896.SZ,爱美客,105.26,15.63,2.59,0.60,3250000.00,否
