股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
600500.SH,中化国际,220.00,20260612,18.78,9.99,456.69
300244.SZ,迪安诊断,119.00,20260612,6.16,18.01,175.68
301656.SZ,联合动力,475.00,20260612,5.68,19.07,63.25
300377.SZ,赢时胜,128.00,20260612,4.76,20.00,121.37
601696.SH,中银证券,335.00,20260612,4.44,10.01,108.00
301500.SZ,飞南资源,154.00,20260612,4.35,15.24,90.76
600711.SH,盛屯矿业,389.00,20260612,4.32,9.89,387.03
002971.SZ,和远气体,81.60,20260612,4.14,10.01,332.55
600208.SH,衢州发展,337.00,20260612,3.97,7.61,94.02
000958.SZ,电投产融,1072.00,20260612,3.96,9.01,110.86
000032.SZ,深桑达Ａ,239.00,20260612,3.96,10.00,192.27
002083.SZ,孚日股份,97.50,20260612,3.76,6.99,58.84
301275.SZ,汉朔科技,207.00,20260612,3.52,18.44,76.53
000738.SZ,航发控制,282.00,20260612,3.52,7.21,87.13
002203.SZ,海亮股份,470.00,20260612,3.40,10.00,239.90
600760.SH,中航沈飞,1335.00,20260612,3.36,7.18,211.06
000612.SZ,焦作万方,143.00,20260612,3.32,8.03,85.05
688353.SH,华盛锂电,157.00,20260612,3.27,15.79,103.50
603916.SH,苏博特,65.60,20260612,3.22,7.17,72.60
000737.SZ,北方铜业,267.00,20260612,3.17,10.00,147.60
688114.SH,华大智造,222.00,20260612,3.13,13.10,66.91
302132.SZ,中航成飞,1793.00,20260612,3.06,10.78,139.61
300803.SZ,指南针,615.00,20260612,3.05,9.99,360.97
002611.SZ,东方精工,248.00,20260612,3.04,8.17,195.89
688772.SH,珠海冠宇,184.00,20260612,3.02,15.93,227.69
301306.SZ,西测测试,119.00,20260612,3.01,9.24,81.76
000878.SZ,云南铜业,436.00,20260612,2.99,7.40,174.98
603733.SH,仙鹤股份,148.00,20260612,2.97,6.78,89.60
603175.SH,超颖电子,403.00,20260612,2.88,6.87,54.75
688536.SH,思瑞浦,420.00,20260612,2.83,9.36,307.64
688010.SH,福光股份,64.80,20260612,2.80,19.99,107.81
600575.SH,淮河能源,285.00,20260612,2.77,6.40,62.66
688249.SH,晶合集成,824.00,20260612,2.71,6.83,322.71
603120.SH,肯特催化,50.60,20260612,2.69,10.00,57.23
603738.SH,泰晶科技,203.00,20260611,2.68,7.50,300.33
000893.SZ,亚钾国际,461.00,20260612,2.63,7.21,97.01
601609.SH,金田股份,234.00,20260612,2.59,9.99,145.44
600346.SH,恒力石化,1411.00,20260612,2.58,7.18,125.57
600862.SH,中航高科,282.00,20260612,2.57,10.03,62.02
300411.SZ,金盾股份,40.70,20260610,2.51,10.20,64.27
