股票代码,股票名称,市值(亿),T日,价格跌幅(%),成交量缩量(%),T日收盘价,T日成交量
688486.SH,龙迅股份,118.00,20260702,38.78%,49.04%,63.85,602096
603169.SH,兰石重装,115.00,20260617,30.85%,67.51%,8.46,525487
300976.SZ,达瑞电子,114.00,20260622,48.97%,55.31%,90.60,846660
603125.SH,常青科技,114.00,20260630,40.16%,70.05%,32.74,180053
600903.SH,贵州燃气,111.00,20260615,33.94%,43.02%,8.72,344294
001212.SZ,中旗新材,110.00,20260622,38.73%,74.21%,50.17,637199
002882.SZ,金龙羽,108.00,20260617,23.80%,44.59%,21.68,140535
300265.SZ,通光线缆,106.00,20260622,49.15%,60.61%,24.60,1628780
300596.SZ,利安隆,106.00,20260702,33.36%,62.22%,54.08,447889
688261.SH,东微半导,106.00,20260630,42.97%,53.07%,104.93,1359720
600973.SH,宝胜股份,103.00,20260629,27.03%,86.07%,7.40,915806
