股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
000811.SZ,冰轮环境,378.00,20260622,11.89,10.01,308.01
603380.SH,易德龙,69.20,20260622,4.84,9.99,68.30
300592.SZ,华凯易佰,54.20,20260622,4.73,15.87,70.55
300059.SZ,东方财富,3145.00,20260622,3.85,12.74,2198.10
300052.SZ,中青宝,41.00,20260622,3.85,13.55,88.23
603989.SH,艾华集团,96.50,20260622,3.84,10.00,147.48
300033.SZ,同花顺,1717.00,20260622,3.73,14.91,983.85
301160.SZ,翔楼新材,68.40,20260622,3.55,17.56,109.66
601995.SH,中金公司,1660.00,20260622,3.51,6.11,183.27
300085.SZ,银之杰,292.00,20260622,3.42,19.99,339.75
600769.SH,祥龙电业,87.50,20260622,3.32,10.02,96.36
300203.SZ,聚光科技,62.20,20260622,3.31,15.10,53.67
688065.SH,凯赛生物,320.00,20260622,3.26,14.47,77.39
300368.SZ,汇金股份,61.80,20260622,3.23,12.44,51.82
300018.SZ,中元股份,78.10,20260622,3.22,9.33,51.73
601519.SH,大智慧,209.00,20260622,3.20,10.05,81.82
300846.SZ,首都在线,160.00,20260622,3.17,7.93,185.98
300487.SZ,蓝晓科技,307.00,20260622,3.15,11.59,85.44
000987.SZ,越秀资本,426.00,20260622,3.10,10.03,72.98
300130.SZ,新国都,128.00,20260622,3.05,16.30,127.53
600410.SH,华胜天成,250.00,20260622,2.91,7.70,278.68
600030.SH,中信证券,3893.00,20260622,2.91,7.83,1469.34
002068.SZ,黑猫股份,77.00,20260622,2.90,10.05,102.37
601555.SH,东吴证券,407.00,20260622,2.87,6.33,71.33
300185.SZ,通裕重工,128.00,20260622,2.87,8.27,89.94
300377.SZ,赢时胜,128.00,20260622,2.85,11.63,246.27
301127.SZ,武汉天源,88.20,20260622,2.82,14.88,106.44
688478.SH,晶升股份,98.90,20260622,2.82,15.22,159.02
002730.SZ,电光科技,118.00,20260622,2.77,8.75,95.49
603077.SH,和邦生物,238.00,20260622,2.76,7.76,88.37
601108.SH,财通证券,386.00,20260622,2.73,9.97,102.76
002491.SZ,通鼎互联,291.00,20260622,2.72,7.66,938.25
688318.SH,财富趋势,305.00,20260622,2.65,13.52,100.03
300803.SZ,指南针,615.00,20260622,2.63,10.28,639.76
002797.SZ,第一创业,315.00,20260622,2.58,7.45,103.55
603660.SH,苏州科达,77.70,20260622,2.57,8.46,80.10
601377.SH,兴业证券,513.00,20260622,2.55,7.22,188.00
000629.SZ,钒钛股份,334.00,20260622,2.53,7.19,90.63
002272.SZ,川润股份,110.00,20260622,2.53,6.65,226.94
