ts_code,stock_name,latest_close,max_high_119,break_ratio,gain
002608.SZ,江苏国信,9.2,8.91,3.254769921436578,10.047846889952151
600011.SH,华能国际,8.87,8.3,6.867469879518054,10.049627791563259
