股票代码,股票名称,总市值(亿),爆量日期,爆量倍数,涨幅(%),爆量金额(万元)
301310.SZ,鑫宏业,59.40,20260616,6.61,19.07,71.73
688590.SH,新致软件,50.50,20260616,5.13,10.01,63.51
300921.SZ,南凌科技,54.70,20260616,4.79,14.59,58.18
300066.SZ,三川智慧,64.60,20260616,4.09,13.76,103.16
002741.SZ,光华科技,108.00,20260612,3.48,7.24,217.19
301176.SZ,逸豪新材,75.30,20260616,3.47,19.99,215.81
300249.SZ,依米康,82.60,20260616,3.38,11.17,88.90
000510.SZ,新金路,89.00,20260616,3.21,7.70,278.26
300450.SZ,先导智能,853.00,20260616,3.18,15.96,688.73
002972.SZ,科安达,32.10,20260616,3.14,8.67,54.40
688484.SH,南芯科技,197.00,20260616,3.07,20.00,194.97
300014.SZ,亿纬锂能,1424.00,20260616,3.07,13.80,1099.54
688433.SH,华曙高科,391.00,20260616,2.97,14.94,93.48
600366.SH,宁波韵升,143.00,20260616,2.89,8.28,214.16
000922.SZ,佳电股份,112.00,20260616,2.86,9.02,91.77
000733.SZ,振华科技,260.00,20260616,2.81,8.60,503.00
605198.SH,安德利,193.00,20260616,2.80,10.00,99.52
002806.SZ,华锋股份,33.00,20260616,2.75,9.99,95.70
605168.SH,三人行,130.00,20260616,2.70,7.01,58.75
600416.SH,湘电股份,178.00,20260616,2.69,7.81,63.63
000564.SZ,供销大集,305.00,20260616,2.64,10.34,93.27
001257.SZ,盛龙股份,464.00,20260615,2.64,9.99,147.23
002145.SZ,钛能化学,169.00,20260616,2.61,6.67,61.94
300411.SZ,金盾股份,40.70,20260610,2.51,10.20,64.27
